supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:00466084000153,historical_winner,exact,1.00000,07954480000179-2-027051/2026,fact
sup:cnpj14:01437707000122,historical_winner,exact,1.00000,07954480000179-2-027089/2026,fact
sup:cnpj14:02600770000109,historical_winner,exact,1.00000,07954480000179-2-027049/2026,fact
sup:cnpj14:02600770000109,historical_winner,exact,1.00000,07954480000179-2-027111/2026,fact
sup:cnpj14:02908738000187,historical_winner,exact,1.00000,07954480000179-2-027120/2026,fact
sup:cnpj14:06053353000136,historical_winner,exact,1.00000,07954480000179-2-027110/2026,fact
sup:cnpj14:06106789000146,historical_winner,exact,1.00000,07954480000179-2-027108/2026,fact
sup:cnpj14:07197536000198,historical_winner,exact,1.00000,07954480000179-2-027119/2026,fact
sup:cnpj14:07667561000198,historical_winner,exact,1.00000,07954480000179-2-027102/2026,fact
sup:cnpj14:07822255000340,historical_winner,exact,1.00000,07954480000179-2-027104/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027046/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027098/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027100/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027103/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027107/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027115/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027116/2026,fact
sup:cnpj14:08077211000134,historical_winner,exact,1.00000,07954480000179-2-027117/2026,fact
sup:cnpj14:08697852000191,historical_winner,exact,1.00000,07954480000179-2-027095/2026,fact
sup:cnpj14:09053134000900,historical_winner,exact,1.00000,07954480000179-2-027036/2026,fact
sup:cnpj14:10394570000167,historical_winner,exact,1.00000,07954480000179-2-027045/2026,fact
sup:cnpj14:10447355000187,historical_winner,exact,1.00000,07954480000179-2-027118/2026,fact
sup:cnpj14:10586940000168,historical_winner,exact,1.00000,07954480000179-2-027037/2026,fact
sup:cnpj14:10782385000140,historical_winner,exact,1.00000,07954480000179-2-027109/2026,fact
sup:cnpj14:13414166000104,historical_winner,exact,1.00000,07954480000179-2-027044/2026,fact
sup:cnpj14:13414166000104,historical_winner,exact,1.00000,07954480000179-2-027138/2026,fact
sup:cnpj14:15145035000196,historical_winner,exact,1.00000,07954480000179-2-027113/2026,fact
sup:cnpj14:18459628009767,historical_winner,exact,1.00000,07954480000179-2-027092/2026,fact
sup:cnpj14:18836913000108,historical_winner,exact,1.00000,07954480000179-2-027039/2026,fact
sup:cnpj14:19005204000143,historical_winner,exact,1.00000,07954480000179-2-027094/2026,fact
sup:cnpj14:19717870000104,historical_winner,exact,1.00000,07954480000179-2-027097/2026,fact
sup:cnpj14:21595464000168,historical_winner,exact,1.00000,07954480000179-2-027096/2026,fact
sup:cnpj14:21595464000168,historical_winner,exact,1.00000,07954480000179-2-027112/2026,fact
sup:cnpj14:21595464000168,historical_winner,exact,1.00000,07954480000179-2-027114/2026,fact
sup:cnpj14:26230868000171,historical_winner,exact,1.00000,07954480000179-2-027048/2026,fact
sup:cnpj14:27523905000100,historical_winner,exact,1.00000,07954480000179-2-027105/2026,fact
sup:cnpj14:34412925000161,historical_winner,exact,1.00000,07954480000179-2-027040/2026,fact
sup:cnpj14:40744626000127,historical_winner,exact,1.00000,07954480000179-2-027047/2026,fact
sup:cnpj14:42705829000130,historical_winner,exact,1.00000,07954480000179-2-027050/2026,fact
sup:cnpj14:49324221000880,historical_winner,exact,1.00000,07954480000179-2-027093/2026,fact
sup:cnpj14:49324221000880,historical_winner,exact,1.00000,07954480000179-2-027101/2026,fact
sup:cnpj14:49851154000186,historical_winner,exact,1.00000,07954480000179-2-027099/2026,fact
sup:cnpj14:52332054000158,historical_winner,exact,1.00000,07954480000179-2-027043/2026,fact
sup:cnpj14:55643555000143,historical_winner,exact,1.00000,07954480000179-2-027106/2026,fact
sup:cnpj14:55692400000105,historical_winner,exact,1.00000,07954480000179-2-027035/2026,fact
sup:cnpj14:56982062000109,historical_winner,exact,1.00000,07954480000179-2-027042/2026,fact
sup:cnpj14:61485900001132,historical_winner,exact,1.00000,07954480000179-2-027091/2026,fact
sup:cnpj14:61866060000186,historical_winner,exact,1.00000,07954480000179-2-027041/2026,fact
sup:cnpj14:67729178000653,historical_winner,exact,1.00000,07954480000179-2-027038/2026,fact
sup:cnpj14:73856593000166,historical_winner,exact,1.00000,07954480000179-2-027090/2026,fact
