capacidade_operacional,classe_concorrente,cnpj,competitor_class,contratos_ativos,desagio,desagio_evidence,desagio_status,distribuicao_geografica,exemplos_contratos,identidade_canonica,n_contratos,nome,orgaos_em_que_venceu,rank,sample_contracts,selection_justification,selection_score,ticket_contratado_medio,ticket_formula,tipos_objeto,ufs,valor_contratado_total,valor_semantica
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,03574370000120,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 93}","[""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DA RUA LEOPOLDO OTTO ALFREDO WUL"", ""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DA RUA RICARDO MARQUARDT PERTENC"", ""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DAS RUAS RUDOLFO ENGEL E MARTIN ""]",03574370000120,93,EMPREITEIRA DE MAO DE OBRA ADRIMAR LTDA - EIRELI,"[""Camâra Municipal de Vereadores"", ""DEPARTAMENTO RODOVIÁRIO"", ""Diretoria de Obras de Infraestrutura Viária"", ""DIVISAO DE ESTRADAS E RODAGEM"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""MOBILIDADE URBANA"", ""MUNICÍPIO DE CAMPO ALEGRE"", ""MUNICÍPIO DE SCHROEDER"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Joinville - PMJ"", ""Secretaria de Administração"", ""Secretaria de Infra-estrutura"", ""Secretaria de Infraestrutura Urbana"", ""Secretaria de Obras, Servicos Publicos e Transport"", ""Secretaria de Planejamento e Desenvolv. Urbano"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO"", ""SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E RURAIS"", ""SEOB - Secretaria de Obras de Pomerode"", ""Subprefeitura do Itinga""]",1,"[""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DA RUA LEOPOLDO OTTO ALFREDO WUL"", ""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DA RUA RICARDO MARQUARDT PERTENC"", ""Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA DAS RUAS RUDOLFO ENGEL E MARTIN ""]","rank by ('n_contratos', 'valor_contratado_total'): n=93, valor=159994613.74; min_contracts>=2",252994613.74,1720372.19,valor_contratado_total / n_contratos,"[""obras_civis"", ""pavimentacao""]","[""SC""]",159994613.74,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,03620927000112,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 86}","[""Constitui objeto da presente licitação, à contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre"", ""Constitui o objeto da presente licitação a Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZA"", ""Contratação de empresa do ramo para pavimentação asfáltica (CBUQ), drenagem pluvial e sinalização viária na RUA EURICO GASPAR DUTRA (Trecho I – E0 a E0 + 207) – Bairro Vila Nova, compreendendo a área ""]",03620927000112,86,PAVIPLAN PAVIMENTAÇÃO LTDA.,"[""Camâra Municipal de Vereadores"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO RODOVIÁRIO"", ""DIVISÃO DE ADMINISTRACAO E PLANEJAMENTO"", ""DIVISAO DE ESTRADAS E RODAGEM"", ""Fundo de Saneamento Básico de Mafra"", ""FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL"", ""Gabinete do Vice-prefeito"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""Gerência de Planejamento e Meio Ambiente do Município de Massaranduba -SC"", ""Gestão da Secretaria de Planejamento e Urbanismo"", ""MOBILIDADE URBANA"", ""Obras Municipais"", ""PREFEITURA MUNICIPAL DE ITAIÓPOLIS - SC"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Mafra"", ""PREFEITURA MUNICIPAL DE MAJOR VIEIRA - SC"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Infra-estrutura"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO""]",2,"[""Constitui objeto da presente licitação, à contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre"", ""Constitui o objeto da presente licitação a Contratação de empresa especializada em obras e serviços de engenharia para executar por empreitada global a PAVIMENTAÇÃO, SERVIÇOS COMPLEMENTARES E SINALIZA"", ""Contratação de empresa do ramo para pavimentação asfáltica (CBUQ), drenagem pluvial e sinalização viária na RUA EURICO GASPAR DUTRA (Trecho I – E0 a E0 + 207) – Bairro Vila Nova, compreendendo a área ""]","rank by ('n_contratos', 'valor_contratado_total'): n=86, valor=141494995.08; min_contracts>=2",227494995.08,1645290.64,valor_contratado_total / n_contratos,"[""obras_civis"", ""pavimentacao""]","[""SC""]",141494995.08,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,43887548000108,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 69}","[""CONCORRÊNCIA VISANDO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, CALÇADAS, CICLOFAIXA E SIN"", ""Constitui objeto da presente licitação a Contratação de Empresa Especializada Para Pavimentação em Blocos de Concreto Intertravados (tijolão) da Rua Maria Tanchella."", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM, SINALIZAÇÃO E PASSEIOS DE DIVERSAS RUAS E PRAÇA GETÚLIO VARGAS, NOS BAIRROS CENTRO E ESPRAIADO, INCLU""]",43887548000108,69,CONSTRUTORA SCHROEDER E SCHMIDT LTDA EPP,"[""Departamento de Estradas de Rodagem"", ""Departamento de Planejamento"", ""Desenvolvimento Econômico"", ""DIRETORIA DE COMUNICAÇÃO E MÍDIA"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""Fundação Municipal de Esportes - Fme"", ""MUNICÍPIO DE SCHROEDER"", ""Obras Municipais"", ""Prefeitura de Gaspar - SC"", ""Prefeitura Municipal de Blumenau"", ""PREFEITURA MUNICIPAL DE ILHOTA"", ""PREFEITURA MUNICIPAL DE NAVEGANTES"", ""PREFEITURA MUNICIPAL DE NOVA TRENTO"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Educação"", ""Secretaria de Obras"", ""Secretaria de Obras e Servicos Publicos do Município de Guabiruba"", ""SECRETARIA DE OBRAS E SERVIÇOS URBANOS"", ""SECRETARIA DE PLANEJAMENTO URBANO"", ""Secretaria de Transporte Obras e Serviços Urbanos""]",3,"[""CONCORRÊNCIA VISANDO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, CALÇADAS, CICLOFAIXA E SIN"", ""Constitui objeto da presente licitação a Contratação de Empresa Especializada Para Pavimentação em Blocos de Concreto Intertravados (tijolão) da Rua Maria Tanchella."", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM, SINALIZAÇÃO E PASSEIOS DE DIVERSAS RUAS E PRAÇA GETÚLIO VARGAS, NOS BAIRROS CENTRO E ESPRAIADO, INCLU""]","rank by ('n_contratos', 'valor_contratado_total'): n=69, valor=56643181.3; min_contracts>=2",125643181.3,820915.67,valor_contratado_total / n_contratos,"[""pavimentacao""]","[""SC""]",56643181.3,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_adjacente,22798043000105,concorrente_adjacente,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 62}","[""A presente licitação tem por objeto a contratação de empresa especializada para execução de obra comum de engenharia, envolvendo o fornecimento de materiais e mão de obra necessários à pavimentação, d"", ""A presente licitação tem por objeto a contratação de empresa especializada para fornecimento de materiais e mão de obra necessários à pavimentação em concreto nas Ruas 3 de Maio, Augustinho Zamboni, B"", ""CONCORRÊNCIA ELETRÔNICA por EMPREITADA GLOBAL (material e mão de obra), Contratação de empresa especializada para execução de REPERFILAGEM E CAPEAMENTO ASFÁLTICO (pavimentação asfáltica sobre calçamen""]",22798043000105,62,KAENG INFRAESTRUTURA LTDA,"[""ADMINISTRAÇÃO"", ""ADM - Secret. Mun. de Obras e Serviços - SMOS"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DESENVOLVIMENTO ECONÔMICO E INOVAÇÃO"", ""MANUTENÇÃO SECRETARIA DE OBRAS E PROJETOS"", ""Município de Arroio Trinta"", ""MUNÍCIPIO DE ERVAL VELHO"", ""Município de Luzerna"", ""Município de Pinheiro Preto"", ""MUNICÍPIO DE SALTO VELOSO"", ""Prefeitura de Capinzal"", ""Prefeitura Municipal de Catanduvas"", ""Prefeitura Municipal de Erval Velho"", ""PREFEITURA MUNICIPAL DE HERVAL D´OESTE - SC"", ""PREFEITURA MUNICIPAL DE JOAÇABA"", ""VIDEIRA SANEAMENTO - VISAN""]",4,"[""A presente licitação tem por objeto a contratação de empresa especializada para execução de obra comum de engenharia, envolvendo o fornecimento de materiais e mão de obra necessários à pavimentação, d"", ""A presente licitação tem por objeto a contratação de empresa especializada para fornecimento de materiais e mão de obra necessários à pavimentação em concreto nas Ruas 3 de Maio, Augustinho Zamboni, B"", ""CONCORRÊNCIA ELETRÔNICA por EMPREITADA GLOBAL (material e mão de obra), Contratação de empresa especializada para execução de REPERFILAGEM E CAPEAMENTO ASFÁLTICO (pavimentação asfáltica sobre calçamen""]","rank by ('n_contratos', 'valor_contratado_total'): n=62, valor=83878637.89; min_contracts>=2",145878637.89,1352881.26,valor_contratado_total / n_contratos,"[""pavimentacao""]","[""SC""]",83878637.89,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_adjacente,03094645000129,concorrente_adjacente,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 61}","[""Constitui objeto da presente licitação a contratação de empresa especializada para execução, com fornecimento de mão de obra, materiais e equipamentos necessários, de pavimentação asfáltica da Estrada"", ""Constitui objeto da presente licitação, a contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre"", ""Constitui objeto da presente licitação, à contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre""]",03094645000129,61,INFRASUL - INFRAESTUTURA E EMPREENDIMENTOS LTDA,"[""Camâra Municipal de Vereadores"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO DE OBRAS E URBANISMO"", ""Departamento de Urbanismo"", ""Diretoria de Obras de Infraestrutura Viária"", ""Gabinete do Vice-prefeito"", ""Gerência de Planejamento e Meio Ambiente do Município de Massaranduba -SC"", ""MOBILIDADE URBANA"", ""MUNICÍPIO DE SCHROEDER"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Joinville - PMJ"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Infra-estrutura"", ""Secretaria de Planejamento e Desenvolv. Urbano"", ""SECRETARIA DE PLANEJAMENTO URBANO"", ""Secretaria Municipal de Infraestrutura Estratégica"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO"", ""SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E RURAIS"", ""Secretaria Municipal de Planejamento - SEPLAN"", ""SEOB - Secretaria de Obras de Pomerode""]",5,"[""Constitui objeto da presente licitação a contratação de empresa especializada para execução, com fornecimento de mão de obra, materiais e equipamentos necessários, de pavimentação asfáltica da Estrada"", ""Constitui objeto da presente licitação, a contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre"", ""Constitui objeto da presente licitação, à contratação de pessoa jurídica para prestação de serviços de engenharia, com fornecimento de materiais e mão de obra para pavimentação asfáltica, serviços pre""]","rank by ('n_contratos', 'valor_contratado_total'): n=61, valor=148114556.25; min_contracts>=2",209114556.25,2428107.48,valor_contratado_total / n_contratos,"[""pavimentacao""]","[""SC""]",148114556.25,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_adjacente,12535370000102,concorrente_adjacente,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 60}","[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS PARA A TOTAL EXECUÇÃO (COMPREENDENDO TODOS OS INSUMOS NECESSÁRIOS) PARA A OBRA DE PAVIMENTAÇÃO DA RUA REPÚBLICA DOMINACANA, EM PLENA E TOTAL CONFORMIDADE "", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS PARA A TOTAL EXECUÇÃO (COMPREENDENDO TODOS OS INSUMOS NECESSÁRIOS) PARA A OBRA DE PAVIMENTAÇÃO DA RUA TAPAJÓS, EM PLENA E TOTAL CONFORMIDADE COM OS MEMORI"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA (EMPREITADA GLOBAL) PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, PASSEIOS EM PAVER E SINALIZAÇÃO VIÁRIA PARA A ELEVAÇÃO DO TREVO DA RUA FRANZ XAVIER ""]",12535370000102,60,TERRABASE TERRAPLENAGEM LTDA,"[""Departamento de Estradas de Rodagem"", ""Departamento de Urbanismo"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""DIRETORIA DO SERVIÇO DE FISCALIZAÇÃO DE OBRAS"", ""FUNDO MUNICIPAL DE DEFESA CIVIL DO MUNICÍPIO DE RIO DOS CEDROS - FUNDEC"", ""Fundo Municipal de Proteção e Defesa Civil"", ""MOBILIDADE URBANA"", ""Obras Municipais"", ""Secretaria de Administração e Finanças"", ""Secretaria de Estado da Infraestrutura e Mobilidade"", ""Secretaria de Infraestrutura"", ""Secretaria de Transporte Obras e Serviços Urbanos"", ""Secretário de Infraestrutura"", ""Serviços Urbanos"", ""SVOS -  Secretaria de Viacao, Obras e Servicos""]",6,"[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS PARA A TOTAL EXECUÇÃO (COMPREENDENDO TODOS OS INSUMOS NECESSÁRIOS) PARA A OBRA DE PAVIMENTAÇÃO DA RUA REPÚBLICA DOMINACANA, EM PLENA E TOTAL CONFORMIDADE "", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS PARA A TOTAL EXECUÇÃO (COMPREENDENDO TODOS OS INSUMOS NECESSÁRIOS) PARA A OBRA DE PAVIMENTAÇÃO DA RUA TAPAJÓS, EM PLENA E TOTAL CONFORMIDADE COM OS MEMORI"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA (EMPREITADA GLOBAL) PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, PASSEIOS EM PAVER E SINALIZAÇÃO VIÁRIA PARA A ELEVAÇÃO DO TREVO DA RUA FRANZ XAVIER ""]","rank by ('n_contratos', 'valor_contratado_total'): n=60, valor=71067386.83; min_contracts>=2",131067386.83,1184456.45,valor_contratado_total / n_contratos,"[""pavimentacao""]","[""SC""]",71067386.83,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,02063876000102,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 57}","[""Contratação de empresa especializada para execução (com fornecimento de mão de obra, materiais e equipamentos necessários) mais serviços preliminares, drenagem, terraplanagem, serviços complementares "", ""Execução (com fornecimento de mão de obra, materiais e equipamentos necessários)\nmais serviços preliminares, drenagem, terraplanagem, serviços complementares e\nsinalização viária da pavimentação com p""]",02063876000102,57,CCT CONSTRUTORA DE OBRAS LTDA.,"[""Diretoria de Obras de Infraestrutura Viária"", ""Prefeitura Municipal de Joinville - PMJ"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC""]",7,"[""Contratação de empresa especializada para execução (com fornecimento de mão de obra, materiais e equipamentos necessários) mais serviços preliminares, drenagem, terraplanagem, serviços complementares "", ""Execução (com fornecimento de mão de obra, materiais e equipamentos necessários)\nmais serviços preliminares, drenagem, terraplanagem, serviços complementares e\nsinalização viária da pavimentação com p""]","rank by ('n_contratos', 'valor_contratado_total'): n=57, valor=14796871.13; min_contracts>=2",71796871.13,259594.23,valor_contratado_total / n_contratos,"[""terraplenagem""]","[""SC""]",14796871.13,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,05895635000118,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 56}","[""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a execução das obras de pavimentação asfáltica, contendo terraplenagem, drenagem pluvial e sinalização viária de "", ""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a execução de contratação de empresa do ramo pertinente para “Execução das obras de pavimentação asfáltica – repe"", ""A presente licitação tem por objetivo a pavimentação asfáltica com a Implantação da infraestrutura viária com a execução de drenagem, terraplanagem, sub-base, base, com fornecimento de materiais, mão ""]",05895635000118,56,JR CONSTRUÇÕES E TERRAPLENAGEM LTDA EPP - EPP,"[""DEPARTAMENTO DE ESTUDOS E PROJETOS URBANISTICOS"", ""DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS"", ""DEPARTAMENTO DE TRANSPORTES E OBRAS"", ""DEPARTAMENTO OPERACIONAL"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""MUNICÍPIO DE MORRO GRANDE"", ""MUNICIPIO DE PEDRAS GRANDES"", ""MUNICÍPIO DE TUBARÃO"", ""MUNICÍPIO DE URUSSANGA"", ""PREFEITURA"", ""Prefeitura de Gaspar - SC"", ""PREFEITURA MUNICIPAL DE BALNEÁRIO RINCÃO"", ""PREFEITURA MUNICIPAL DE CAPIVARI DE BAIXO - SC"", ""PREFEITURA MUNICIPAL DE CRICIÚMA - SC"", ""PREFEITURA MUNICIPAL DE FORQUILHINHA - SC"", ""PREFEITURA MUNICIPAL DE IÇARA - SC"", ""Prefeitura Municipal de Jaraguá do Sul"", ""PREFEITURA MUNICIPAL DE NAVEGANTES"", ""PREFEITURA MUNICIPAL DE TREZE DE MAIO - SC""]",8,"[""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a execução das obras de pavimentação asfáltica, contendo terraplenagem, drenagem pluvial e sinalização viária de "", ""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a execução de contratação de empresa do ramo pertinente para “Execução das obras de pavimentação asfáltica – repe"", ""A presente licitação tem por objetivo a pavimentação asfáltica com a Implantação da infraestrutura viária com a execução de drenagem, terraplanagem, sub-base, base, com fornecimento de materiais, mão ""]","rank by ('n_contratos', 'valor_contratado_total'): n=56, valor=110856796.81; min_contracts>=2",166856796.81,1979585.66,valor_contratado_total / n_contratos,"[""pavimentacao"", ""terraplenagem""]","[""SC""]",110856796.81,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_adjacente,12218083000179,concorrente_adjacente,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 54}","[""A presente licitação tem por objetivo a contratação de empresa especializada para implantação da infraestrutura viária com a execução da pavimentação em 95,00 metros de extensão da Rua São Miguel e 11"", ""A presente licitação tem por objeto a CONCORRÊNCIA ELETRÔNICA PARA \""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, URBANIZAÇÃO E SINALIZAÇÃO VI"", ""Contratação de empresa de engenharia para execução de Pavimentação em revestimento asfáltico, nas Estrada Geral Indaial - Trecho 02 e Rua Alvaro José de Medeiros - Trecho 02, com material e mão-de-obr""]",12218083000179,54,BCL INFRAESTRUTURA LTDA.,"[""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO DE INFRAESTRURA E OBRAS"", ""DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS"", ""DEPARTAMENTO DE TRANSPORTES E OBRAS"", ""MUNICÍPIO DE LAURO MULLER"", ""MUNICÍPIO DE ORLEANS"", ""MUNICÍPIO DE RIO FORTUNA"", ""MUNICÍPIO DE SÃO MARTINHO"", ""MUNICÍPIO DE URUSSANGA"", ""PREFEITURA"", ""PREFEITURA MUNICIPAL DE BRAÇO DO NORTE - SC"", ""PREFEITURA MUNICIPAL DE CAPIVARI DE BAIXO - SC"", ""PREFEITURA MUNICIPAL DE FORQUILHINHA - SC"", ""PREFEITURA MUNICIPAL DE GRÃO-PARÁ - SC"", ""Prefeitura Municipal de Pescaria Brava - SC"", ""PREFEITURA MUNICIPAL DE TREZE DE MAIO - SC"", ""SECRETARIA MUNICIPAL DE INFRA ESTRUTURA""]",9,"[""A presente licitação tem por objetivo a contratação de empresa especializada para implantação da infraestrutura viária com a execução da pavimentação em 95,00 metros de extensão da Rua São Miguel e 11"", ""A presente licitação tem por objeto a CONCORRÊNCIA ELETRÔNICA PARA \""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA, DRENAGEM PLUVIAL, URBANIZAÇÃO E SINALIZAÇÃO VI"", ""Contratação de empresa de engenharia para execução de Pavimentação em revestimento asfáltico, nas Estrada Geral Indaial - Trecho 02 e Rua Alvaro José de Medeiros - Trecho 02, com material e mão-de-obr""]","rank by ('n_contratos', 'valor_contratado_total'): n=54, valor=72385168.83; min_contracts>=2",126385168.83,1340466.09,valor_contratado_total / n_contratos,"[""pavimentacao""]","[""SC""]",72385168.83,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",concorrente_direto,27743102000153,concorrente_direto,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 51}","[""Contratação de concreto usinado para fornecimento e aplicação nas etapas de fundação, estrutura, pavimentação, ou qualquer outra fase do projeto que exija a utilização de concreto abrangendo todo muni"", ""CONTRATAÇÃO DE EMPRESA, EM REGIME DE EMPREITADA GLOBAL, PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA NO TRECHO COM EXTENSÃO DE 282,85 METROS, LOCALIZADO NA ESTRADA GERAL RIO DA PRATA CENTRAL, MUNICÍPIO DE "", ""CONTRATAÇÃO DE EMPRESA, EM REGIME DE EMPREITADA GLOBAL, PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA NO TRECHO COM EXTENSÃO DE 40 METROS, LOCALIZADO NA ESTRADA GERAL RIO DA PRATA CENTRAL, MUNICÍPIO DE RIO ""]",27743102000153,51,FJ CONSTRUTORA LTDA EPP,"[""Câmara Municipal de Vereadores"", ""Diretor. Obras, Transp.serviç.e Edif.públi.urbanos"", ""Prefeitura de Gaspar - SC"", ""Prefeitura Municipal de Balneário Camboriú"", ""PREFEITURA MUNICIPAL DE SÃO JOÃO BATISTA"", ""SECRETARIA DE INFRAESTRUTURA URBANA"", ""Secretaria de Obras e Servicos Publicos do Município de Guabiruba"", ""SECRETARIA MUNICIPAL DE OBRAS E INFRAESTRUTURA URBANA"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO"", ""Unidade Única""]",10,"[""Contratação de concreto usinado para fornecimento e aplicação nas etapas de fundação, estrutura, pavimentação, ou qualquer outra fase do projeto que exija a utilização de concreto abrangendo todo muni"", ""CONTRATAÇÃO DE EMPRESA, EM REGIME DE EMPREITADA GLOBAL, PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA NO TRECHO COM EXTENSÃO DE 282,85 METROS, LOCALIZADO NA ESTRADA GERAL RIO DA PRATA CENTRAL, MUNICÍPIO DE "", ""CONTRATAÇÃO DE EMPRESA, EM REGIME DE EMPREITADA GLOBAL, PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA NO TRECHO COM EXTENSÃO DE 40 METROS, LOCALIZADO NA ESTRADA GERAL RIO DA PRATA CENTRAL, MUNICÍPIO DE RIO ""]","rank by ('n_contratos', 'valor_contratado_total'): n=51, valor=53834725.21; min_contracts>=2",104834725.21000001,1055582.85,valor_contratado_total / n_contratos,"[""obras_civis"", ""pavimentacao""]","[""SC""]",53834725.21,CONTRATADO
