aderencia,aditivos_aplicados,confianca,contratado,contratado_cnpj,in_window,inicio,limitacoes,objeto,orgao,relicitacao,sector_classification,segmento,termino_efetivo,termino_fonte,termino_tipo,termino_verificado_em,valor,valor_semantica
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,CONSORCIO HABITANK NAVEGANTES,63077604000156,True,2025-10-23,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","CONCORRÊCIA ELETRÔNICA VISANDO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO E INSTALAÇÃO DE RESERVATÓRIO METÁLICO DE 6.000 m³ NO BAIRRO SÃO DOMINGOS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE ÁGUA E SANEAMENTO BÁSICO DE NAVEGANTES/SC.",PREFEITURA MUNICIPAL DE NAVEGANTES,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""saneamento""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""saneamento"", ""reason"": ""objeto de engenharia aderente (pos=0.40)"", ""confidence"": 0.75, ""textual_evidence"": ""CONCORRÊCIA ELETRÔNICA VISANDO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO E INSTALAÇÃO DE RESERVATÓRIO METÁLICO DE 6.000 m³ NO BAIRRO SÃO DOMINGOS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE ÁGUA E SANEAMENTO BÁSICO DE NAVEGANTES/SC."", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",saneamento,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,10407000.0,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,VB CONSTRUÇÃO CIVIL LTDA,08628996000196,True,2025-10-23,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS SERVIÇOS DE CONSTRUÇÃO DE CRECHE EM TEMPO INTEGRAL PADRÃO FNDE – TIPO 01, SITUADA NA RUA LEOLÁRIO DE ARAÚJO S/Nº, BAIRRO CENTRO, ILHOTA/SC. A INTERVENÇÃO ABRANGE UMA ÁREA A CONSTRUIR DE 1.514,30M², conforme termo de referência.",Unidade Única,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""construcao_edificios""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""edificacoes"", ""subcategory"": ""edificacoes"", ""reason"": ""objeto de engenharia aderente (pos=0.45)"", ""confidence"": 0.7625000000000001, ""textual_evidence"": ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DOS SERVIÇOS DE CONSTRUÇÃO DE CRECHE EM TEMPO INTEGRAL PADRÃO FNDE – TIPO 01, SITUADA NA RUA LEOLÁRIO DE ARAÚJO S/Nº, BAIRRO CENTRO, ILHOTA/SC. A INTERVENÇÃO ABRANGE UMA ÁREA A CONSTRUIR DE 1.514,30M², conforme termo de referên…"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",edificacoes,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,6542169.18,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,GAIA RODOVIAS LTDA.,03257777000124,True,2026-06-25,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]",CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA E SERVIÇOS COMPLEMENTARES EM DIVERSAS RUAS DO MUNICÍPIO DE PALMITOS/SC,PREFEITURA MUNICIPAL DE PALMITOS - SC,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""pavimentacao"", ""asfalto""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.85)"", ""confidence"": 0.8625, ""textual_evidence"": ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA E SERVIÇOS COMPLEMENTARES EM DIVERSAS RUAS DO MUNICÍPIO DE PALMITOS/SC"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,1411572.0,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,PRO ENG CONSTRUTORA LTDA,31281510000108,True,2026-06-24,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]",PAVIMENTAÇÃO DA ESTRADA SANTO ANJO (TRECHO II) DO MUNICÍPIO DE MASSARANDUBA (SC),Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""pavimentacao""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.45)"", ""confidence"": 0.7625000000000001, ""textual_evidence"": ""PAVIMENTAÇÃO DA ESTRADA SANTO ANJO (TRECHO II) DO MUNICÍPIO DE MASSARANDUBA (SC)"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,989900.0,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,EMBRAPAV - EMPRESA BRASILEIRA DE PAVIMENTACAO LTDA,12022153000119,True,2025-10-23,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","Contratação de empresa especializada, com fornecimento de materiais, mão de obra, equipamentos e insumos, para execução de obra de pavimentação asfáltica com concreto betuminoso usinado a quente (CBUQ), incluindo serviços de terraplenagem, base e sub-base, drenagem pluvial, meio-fio, sarjetas e sinalização viária na Rua Antonio Zancanaro, no Município de Xaxim-SC, conforme projeto técnico, memorial descritivo, planilha orçamentária e cronograma físico-financeiro.",PREFEITURA MUNICIPAL DE XAXIM - SC,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""terraplenagem"", ""pavimentacao"", ""asfalto"", ""drenagem""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""terraplenagem"", ""reason"": ""objeto de engenharia aderente (pos=1.72)"", ""confidence"": 0.99, ""textual_evidence"": ""Contratação de empresa especializada, com fornecimento de materiais, mão de obra, equipamentos e insumos, para execução de obra de pavimentação asfáltica com concreto betuminoso usinado a quente (CBUQ), incluindo serviços de terraplenagem, base e sub-base, drenagem pluvial, meio-…"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",terraplenagem,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,835000.0,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,JC CONSTRUÇÕES E PAVIMENTAÇÕES LTDA EPP,05898011000154,True,2026-05-26,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","Contratação de empresa especializada para execução de obras de pavimentação intertravada, drenagem pluvial e sinalização viária na Rua Palestina, Bairro Barragem, Rio do Sul/SC.",Secretaria de Infraestrutura,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""pavimentacao"", ""drenagem""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.87)"", ""confidence"": 0.8675, ""textual_evidence"": ""Contratação de empresa especializada para execução de obras de pavimentação intertravada, drenagem pluvial e sinalização viária na Rua Palestina, Bairro Barragem, Rio do Sul/SC."", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,825415.68,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,LUQUIPEÇAS LTDA ME,09208545000162,True,2025-10-23,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]",MÃO DE OBRA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS PARA FINS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DA USINA DE ASFALTO DO MUNICIPIO DE ITAJAÍ COM FORNECIMENTO DE PEÇAS ORIGINAIS/ GENUÍNAS.,PREFEITURA MUNICIPAL DE ITAJAÍ - SC,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""asfalto""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.40)"", ""confidence"": 0.75, ""textual_evidence"": ""MÃO DE OBRA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS PARA FINS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DA USINA DE ASFALTO DO MUNICIPIO DE ITAJAÍ COM FORNECIMENTO DE PEÇAS ORIGINAIS/ GENUÍNAS."", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,679999.79,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,PROVIAS ENGENHARIA E CONSULTORIA LTDA,23529844000120,True,2025-10-23,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","Adesão à Ata de Registro de Preços nº 005/2024, originada do Processo Licitatório nº 018/2024 do Município de Bom Jardim da Serra/SC, cujo objeto é o Registro de Preços para contratação de empresa de engenharia para execução de serviços técnicos especializados na elaboração de projetos de pavimentação asfáltica para rodovias, ciclovias e ponte, conforme condições, especificações e exigências estabelecidas no edital e em seus anexos.",MUNICÍPIO DE URUBICI,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""pavimentacao"", ""asfalto""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.85)"", ""confidence"": 0.8625, ""textual_evidence"": ""Adesão à Ata de Registro de Preços nº 005/2024, originada do Processo Licitatório nº 018/2024 do Município de Bom Jardim da Serra/SC, cujo objeto é o Registro de Preços para contratação de empresa de engenharia para execução de serviços técnicos especializados na elaboração de pr…"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-23,pncp_supplier_contracts,CONTRATUAL,2026-07-23,103399.98,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,IGM ARQUITETURA LTDA,32730243000171,True,2025-10-24,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REVITALIZAÇÃO DO EDIFÍCIO “MOINHO SÃO DOMINGOS”, BEM IMÓVEL TOMBADO DO MUNICÍPIO DE CORDILHEIRA ALTA/SC (DECRETO MUNICIPAL Nº 378/2022), SITUADO NA AVENIDA FERMINO TOZZO, Nº 454, BAIRRO CENTRO, CEP 89.819-000, CONFORME PROJETOS, MEMORIAL, ART E DEMAIS TERMOS DO PRESENTE EDITAL, COM VISTAS A REALIZAÇÃO DO PROJETO DENOMINADO “FÁBRICA DE CULTURA: REVITALIZAÇÃO DO MOINHO SÃO DOMINGOS”, NA FORMA DO PROCESSO Nº 2023/023189 E CONVÊNIO Nº 08/2024/FRBL, CELEBR...",PREFEITURA MUNICIPAL DE CORDILHEIRA ALTA - SC,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""infraestrutura_urbana""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""infraestrutura_urbana"", ""reason"": ""objeto de engenharia aderente (pos=0.38)"", ""confidence"": 0.745, ""textual_evidence"": ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REVITALIZAÇÃO DO EDIFÍCIO “MOINHO SÃO DOMINGOS”, BEM IMÓVEL TOMBADO DO MUNICÍPIO DE CORDILHEIRA ALTA/SC (DECRETO MUNICIPAL Nº 378/2022), SITUADO NA AVENIDA FERMINO TOZZO, Nº 454, BAIRRO CENTRO, CEP 89.819-000, CONFORME PROJETOS, MEMORIAL,…"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",infraestrutura_urbana,2026-10-24,pncp_supplier_contracts,CONTRATUAL,2026-07-23,2660000.0,CONTRATADO
ENGINEERING_HIGH_CONFIDENCE,[],BAIXA,APA PAVIMENTACOES LTDA,37729221000105,True,2026-02-17,"[""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""]","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E DEMAIS OBRIGAÇÕES NECESSÁRIAS PARA EXECUÇÃO DE PAVIMENTAÇÃO EM CONCRETO DA RUA ANTÔNIO GROSSKOPF, TRECHO PARCIAL, CONTEMPLANDO OS SERVIÇOS INICIAS, DRENAGEM, PAVIMENTAÇÃO EM CONCRETO, OBRAS COMPLEMENTARES E SINALIZAÇÃO VIÁRIA, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO TERMO DE REFERÊNCIA. O PROCESSO ESTÁ ATRELADO E CONDICIONADO A FONTE DE RECURSOS DO GOVERNO FEDERAL E CONTRAPARTIDA DA PREFEI...",MOBILIDADE URBANA,"{""mode"": ""EVIDENCE_CLASS"", ""methodology"": ""sinais observáveis (histórico de re-licitação do órgão, objeto recorrente, aditivos próximos do fim); NÃO percentual fabricado"", ""signals"": [], ""probability_pct"": null, ""confidence"": ""BAIXA"", ""limitations"": [""Sem modelo validado retrospectivamente"", ""Sinais não são probabilidade""], ""fabricated_percent_forbidden"": true}","{""label"": ""ENGINEERING_HIGH_CONFIDENCE"", ""positive_terms"": [""pavimentacao""], ""negative_terms"": [], ""excluded_terms"": [], ""category"": ""infraestrutura"", ""subcategory"": ""pavimentacao"", ""reason"": ""objeto de engenharia aderente (pos=0.45)"", ""confidence"": 0.7625000000000001, ""textual_evidence"": ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E DEMAIS OBRIGAÇÕES NECESSÁRIAS PARA EXECUÇÃO DE PAVIMENTAÇÃO EM CONCRETO DA RUA ANTÔNIO GROSSKOPF, TRECHO PARCIAL, CONTEMPLANDO OS SERVIÇOS INICIAS, DRENAGEM, PAVIMENTAÇÃO EM CONCRETO, OBRAS COMPLEM…"", ""rule_version"": ""extra-sector-classifier/2.2.0"", ""sector_match"": true}",pavimentacao,2026-10-24,pncp_supplier_contracts,CONTRATUAL,2026-07-23,1072000.0,CONTRATADO
