supplier_canonical_key,relation_kind,classification,score,contract_id,claim_level
sup:cnpj14:05782733000220,historical_winner,exact,1.00000,46374500000194-2-008771/2026,fact
sup:cnpj14:12418191000195,historical_winner,exact,1.00000,46374500000194-2-008789/2026,fact
sup:cnpj14:26168820000180,historical_winner,exact,1.00000,46374500000194-2-008755/2026,fact
sup:cnpj14:49692912000160,historical_winner,exact,1.00000,46374500000194-2-008770/2026,fact
sup:cnpj14:27908285000110,historical_winner,exact,1.00000,46374500000194-2-008781/2026,fact
sup:cnpj14:04307650002502,historical_winner,exact,1.00000,46374500000194-2-008788/2026,fact
sup:cnpj14:47869078000453,historical_winner,exact,1.00000,46374500000194-2-008747/2026,fact
sup:cnpj14:25534201000108,historical_winner,exact,1.00000,46374500000194-2-008754/2026,fact
sup:cnpj14:49324221000104,historical_winner,exact,1.00000,46374500000194-2-008766/2026,fact
sup:cnpj14:44051581000247,historical_winner,exact,1.00000,46374500000194-2-008769/2026,fact
sup:cnpj14:67729178000491,historical_winner,exact,1.00000,46374500000194-2-008779/2026,fact
sup:cnpj14:10586940000168,historical_winner,exact,1.00000,46374500000194-2-008780/2026,fact
sup:cnpj14:07295190000160,historical_winner,exact,1.00000,46374500000194-2-008784/2026,fact
sup:cnpj14:17624087000170,historical_winner,exact,1.00000,46374500000194-2-008787/2026,fact
sup:cnpj14:06105362000123,historical_winner,exact,1.00000,46374500000194-2-008742/2026,fact
sup:cnpj14:00938703000165,historical_winner,exact,1.00000,46374500000194-2-008746/2026,fact
sup:cnpj14:05793185000152,historical_winner,exact,1.00000,46374500000194-2-008750/2026,fact
sup:cnpj14:10261012000123,historical_winner,exact,1.00000,46374500000194-2-008753/2026,fact
sup:cnpj14:56605993000180,historical_winner,exact,1.00000,46374500000194-2-008757/2026,fact
sup:cnpj14:10340721000102,historical_winner,exact,1.00000,46374500000194-2-008760/2026,fact
sup:cnpj14:94389400000184,historical_winner,exact,1.00000,46374500000194-2-008763/2026,fact
sup:cnpj14:17700763000733,historical_winner,exact,1.00000,46374500000194-2-008768/2026,fact
sup:cnpj14:55309074000104,historical_winner,exact,1.00000,46374500000194-2-008774/2026,fact
sup:cnpj14:56795674000184,historical_winner,exact,1.00000,46374500000194-2-008776/2026,fact
sup:cnpj14:55825641000177,historical_winner,exact,1.00000,46374500000194-2-008777/2026,fact
sup:cnpj14:43295831000140,historical_winner,exact,1.00000,46374500000194-2-008778/2026,fact
sup:cnpj14:55309074000104,historical_winner,exact,1.00000,46374500000194-2-008782/2026,fact
sup:cnpj14:12499494000260,historical_winner,exact,1.00000,46374500000194-2-008783/2026,fact
sup:cnpj14:14779687000110,historical_winner,exact,1.00000,46374500000194-2-008785/2026,fact
sup:cnpj14:05005873000100,historical_winner,exact,1.00000,46374500000194-2-008786/2026,fact
sup:cnpj14:63887771000162,historical_winner,exact,1.00000,46374500000194-2-008790/2026,fact
sup:cnpj14:59309302000199,historical_winner,exact,1.00000,46374500000194-2-008745/2026,fact
sup:cnpj14:01854654000145,historical_winner,exact,1.00000,46374500000194-2-008743/2026,fact
sup:cnpj14:05847630000110,historical_winner,exact,1.00000,46374500000194-2-008744/2026,fact
sup:cnpj14:53246704000105,historical_winner,exact,1.00000,46374500000194-2-008748/2026,fact
sup:cnpj14:59834889000155,historical_winner,exact,1.00000,46374500000194-2-008749/2026,fact
sup:cnpj14:20211791000106,historical_winner,exact,1.00000,46374500000194-2-008751/2026,fact
sup:cnpj14:02794555000420,historical_winner,exact,1.00000,46374500000194-2-008752/2026,fact
sup:cnpj14:68393438000110,historical_winner,exact,1.00000,46374500000194-2-008761/2026,fact
sup:cnpj14:36399751000170,historical_winner,exact,1.00000,46374500000194-2-008756/2026,fact
sup:cnpj14:25534201000108,historical_winner,exact,1.00000,46374500000194-2-008758/2026,fact
sup:cnpj14:67577692000106,historical_winner,exact,1.00000,46374500000194-2-008759/2026,fact
sup:cnpj14:18459628009767,historical_winner,exact,1.00000,46374500000194-2-008765/2026,fact
sup:cnpj14:33735524000180,historical_winner,exact,1.00000,46374500000194-2-008762/2026,fact
sup:cnpj14:57056711000103,historical_winner,exact,1.00000,46374500000194-2-008764/2026,fact
sup:cnpj14:05656727000145,historical_winner,exact,1.00000,46374500000194-2-008767/2026,fact
sup:cnpj14:44051581000247,historical_winner,exact,1.00000,46374500000194-2-008772/2026,fact
sup:cnpj14:44734671002286,historical_winner,exact,1.00000,46374500000194-2-008773/2026,fact
sup:cnpj14:05005873000100,historical_winner,exact,1.00000,46374500000194-2-008775/2026,fact
sup:cnpj14:43295831000140,historical_winner,exact,1.00000,46374500000194-2-008791/2026,fact
