claim_id,kind,statement,source,collection_id,cycle_run_id,source_record_run_id,normalized_table,normalized_id,rule,product,source_record_id,scope,indicator
opp-9,opportunity,Oportunidade SEED-PNCP-00360305000104-0 orgão=CEFOR ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,9,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-10,opportunity,Oportunidade SEED-PNCP-00394452000103-0 orgão=SECRETARIA GERAL DO EXERCITO/MEX/DF ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,10,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-11,opportunity,Oportunidade SEED-PNCP-00394544000185-0 orgão=SUPERINTENDENCIA ESTADUAL DO MS/TO ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,11,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-1,opportunity,Oportunidade 11360515000119-1-000013/2026 orgão=FUNDO MUNICIPAL DE SAUDE DE SANTA TEREZINHA DO PROGRESSO ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,1,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-2,opportunity,Oportunidade 07654807000197-1-000072/2026 orgão=CONSORCIO INTERMUNICIPAL DE SAUDE DO ALTO URUGUAI CATARINENSE ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,2,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-3,opportunity,Oportunidade 10432684000154-1-000049/2025 orgão=FUNDO MUNICIPAL DE SAUDE ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,3,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
opp-4,opportunity,Oportunidade 83102541000158-1-000167/2025 orgão=MUNICIPIO DE PORTO UNIAO ranking=REVIEW valor_estimado=None (estimado_ou_nao_declarado),pncp,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_opportunities-20260724T214053Z-f8742a1bfd,,opportunity_intel,4,opportunity_intel.ranking + status_canonico + extra_scope,opportunities.csv / executive_summary.md,,,
contract-82836057000190-2-001020/2026,contract,Contrato órgão=MUNICÍPIO DE GAROPABA fornecedor=CEPALAB LABORATORIOS S.A valor_contratado=13320.00 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,82836057000190-2-001020/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,82836057000190-2-001020/2026,extra_universe_200km,
contract-83102343000194-2-002449/2026,contract,Contrato órgão=MUNICÍPIO DE BRUSQUE fornecedor=SK MATERIAIS PARA ESCRITORIO LTDA valor_contratado=135.90 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,83102343000194-2-002449/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,83102343000194-2-002449/2026,extra_universe_200km,
contract-82836057000190-2-001016/2026,contract,Contrato órgão=MUNICÍPIO DE GAROPABA fornecedor=NUTRIPORT COMERCIAL LTDA valor_contratado=23223.80 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,82836057000190-2-001016/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,82836057000190-2-001016/2026,extra_universe_200km,
contract-82836057000190-2-001019/2026,contract,Contrato órgão=MUNICÍPIO DE GAROPABA fornecedor=SEBOLD INDÚSTRIA DE COSMÉTICOS LTDA valor_contratado=176.32 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,82836057000190-2-001019/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,82836057000190-2-001019/2026,extra_universe_200km,
contract-95815379000102-2-000475/2026,contract,Contrato órgão=MUNICÍPIO DE BOMBINHAS fornecedor=MYR COMERCIO DE ARTIGOS PEDAGOGICOS LTDA valor_contratado=440.00 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,95815379000102-2-000475/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,95815379000102-2-000475/2026,extra_universe_200km,
contract-83102343000194-2-002448/2026,contract,Contrato órgão=MUNICÍPIO DE BRUSQUE fornecedor=MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A valor_contratado=5279.94 (valor_contratado),pncp_contracts,col-extra-weekly-20260724T214052Z-8da20af7,collect-pncp_contracts-20260724T214053Z-978b39a746,,pncp_supplier_contracts,83102343000194-2-002448/2026,extra_universe_200km + valor_contratado_not_paid,contracts.csv / executive_summary.md,83102343000194-2-002448/2026,extra_universe_200km,
