contrato_id,orgao_cnpj,orgao_nome,fornecedor_cnpj,fornecedor_nome,objeto_contrato,valor_total,data_inicio,data_fim,data_publicacao,uf,municipio,source,source_id,ingested_at,source_date_semantics,orgao_cnpj_8,valor_tipo,valor_nao_e_pago,valor_note,cycle_collection_id,cycle_run_id,source_record_run_id,source_record_id,scope,normalized_table
82836057000190-2-001020/2026,82836057000190,MUNICÍPIO DE GAROPABA,02248312000144,CEPALAB LABORATORIOS S.A,"TIRAS, DISPOSITIVOS E INSUMOS PARA CONTROLE GLICÊMICO - LEI 14.133/2021",13320.00,2026-07-22,2026-08-07,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001020/2026,2026-07-23 18:41:38.128232+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001020/2026,extra_universe_200km,pncp_supplier_contracts
83102343000194-2-002449/2026,83102343000194,MUNICÍPIO DE BRUSQUE,29222667000110,SK MATERIAIS PARA ESCRITORIO LTDA,"MATERIAIS DE EXPEDIENTE, ESCOLAR E DE ARTESANATO - LEI 14.133/2021",135.90,2026-07-22,2026-08-07,2026-07-23,SC,Brusque,pncp_contracts,83102343000194-2-002449/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,83102343,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,83102343000194-2-002449/2026,extra_universe_200km,pncp_supplier_contracts
82836057000190-2-001016/2026,82836057000190,MUNICÍPIO DE GAROPABA,03612312000497,NUTRIPORT COMERCIAL LTDA,FÓRMULAS E SUPLEMENTOS ALIMENTARES - LEI 14.133/2021,23223.80,2026-07-22,2026-08-07,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001016/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001016/2026,extra_universe_200km,pncp_supplier_contracts
82836057000190-2-001019/2026,82836057000190,MUNICÍPIO DE GAROPABA,39655478000195,SEBOLD INDÚSTRIA DE COSMÉTICOS LTDA,PRODUTOS DE HIGIENE E USO PESSOAL - LEI 14.133/2021,176.32,2026-07-22,2026-08-07,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001019/2026,2026-07-23 18:41:38.128232+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001019/2026,extra_universe_200km,pncp_supplier_contracts
95815379000102-2-000475/2026,95815379000102,MUNICÍPIO DE BOMBINHAS,46449285000143,MYR COMERCIO DE ARTIGOS PEDAGOGICOS LTDA,MATERIAIS ESPORTIVOS - LEI 14.133/2021,440.00,2026-07-20,2026-08-22,2026-07-23,SC,Bombinhas,pncp_contracts,95815379000102-2-000475/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,95815379,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,95815379000102-2-000475/2026,extra_universe_200km,pncp_supplier_contracts
83102343000194-2-002448/2026,83102343000194,MUNICÍPIO DE BRUSQUE,07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A,"MEDICAMENTOS, SUPLEMENTOS ALIMENTARES E CORRELATOS - LEI 14.133/2021",5279.94,2026-07-22,2026-08-07,2026-07-23,SC,Brusque,pncp_contracts,83102343000194-2-002448/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,83102343,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,83102343000194-2-002448/2026,extra_universe_200km,pncp_supplier_contracts
64372423000115-2-000003/2026,64372423000115,Servico Autonomo Municipal de Agua e Esgoto - Samae,04310564000181,CIEE/SC-CENTRO DE INT. EMPRESA-ESCOLA DE SC,"Dispensa de licitação referente à contratação de empresa especializada na prestação de serviços de administração, na condição de Agente de Integração, para operacionalização do Programa de Concessão de Vagas de Estágio Remunerado do Serviço Autônomo Municipal de Água e Esgoto - SAMAE de Porto Belo, destinado a estudantes regularmente matriculados e frequentando o Ensino Médio, Ensino Técnico e Ensino Superior.",1847.40,2026-07-23,2027-07-23,2026-07-23,SC,Porto Belo,pncp_contracts,64372423000115-2-000003/2026,2026-07-23 18:41:49.620766+00:00,dataPublicacaoPncp,64372423,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,64372423000115-2-000003/2026,extra_universe_200km,pncp_supplier_contracts
82836057000190-2-001015/2026,82836057000190,MUNICÍPIO DE GAROPABA,03612312000497,NUTRIPORT COMERCIAL LTDA,FÓRMULAS E SUPLEMENTOS ALIMENTARES - LEI 14.133/2021,1713.00,2026-07-22,2026-08-07,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001015/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001015/2026,extra_universe_200km,pncp_supplier_contracts
82836057000190-2-001017/2026,82836057000190,MUNICÍPIO DE GAROPABA,03612312000497,NUTRIPORT COMERCIAL LTDA,FÓRMULAS E SUPLEMENTOS ALIMENTARES - LEI 14.133/2021,1142.00,2026-07-22,2026-08-07,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001017/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001017/2026,extra_universe_200km,pncp_supplier_contracts
82836057000190-2-001018/2026,82836057000190,MUNICÍPIO DE GAROPABA,93920361000137,REIFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,CADEIRAS PARA ESCRITÓRIO E LONGARINAS - LEI 14.133/2021 (RENOVADO),1408.00,2026-07-22,2026-08-22,2026-07-23,SC,Garopaba,pncp_contracts,82836057000190-2-001018/2026,2026-07-23 18:41:19.956818+00:00,dataPublicacaoPncp,82836057,valor_contratado,True,valor_total é contratado/homologado na fonte — não pagar/medido,col-extra-weekly-20260724T220411Z-71efe758,collect-pncp_contracts-20260724T220413Z-d4f8aa5d3b,,82836057000190-2-001018/2026,extra_universe_200km,pncp_supplier_contracts
