contract_id,object_original,agency,uf,publication_date,snapshot_id,source_row_hash,stratum,reviewer_1_label,reviewer_1_reason,reviewer_2_label,reviewer_2_reason,adjudicated_label,adjudicator,reviewed_at
15609787000160-2-000003/2026,CONSTRUÇÃO DA EDIFICAÇÃO DO CEU DA CULTURA DO NOVO PAC NO MUNICÍPIO DE LARANJEIRAS/SE,FUNDAÇÃO DE CULTURA E ARTE APERIPÊ DE SERGIPE,SE,2026-07-03,confenge_commercial_pncp_supplier_contracts,02b3796cfbec08e06b209f2a765f9c1a095cf50ca45755ec76a797065061d602,engenharia_obras_claras,,,,,,,
83102293000145-2-000716/2026,"CONTRATAÇÃO DE EMPRESA, VIA REGISTRO DE PREÇOS, PARA PRESTAÇÃO DE SERVIÇOS DE CALCETEIRO, VISANDO A EXECUÇÃO DE REPAROS EM CALÇAMENTOS NAS DIVERSAS RUAS DO MUNICÍPIO (LAJOTA SEXTAVADA, PAVER INTERTRAVADO DE CONCRETO, PEDRA PARALELEPÍPEDO E MEIO-FIO CONCRETO) E PAVIMENTAÇÃO DE PEQUENAS ÁREAS NAS VIAS PÚBLICAS DO MUNICÍPIO DE CAMBORIÚ, CONFORME QUANTIDADES, NECESSIDADES E ESPECIFICAÇÕES CONSTANTES NO ESTUDO TÉCNICO PRELIMINAR, NO TERMO DE REFERÊNCIA E NOS DEMAIS DOCUMENTOS QUE CONSTITUEM O PROC...",SECRETARIA DE OBRAS E SERVIÇOS URBANOS,SC,2026-03-17,confenge_commercial_pncp_supplier_contracts,757cf364ed6cb2d5ce8ea97a68b14cd823d11b4dc6175a2602a506d6a8f185e3,engenharia_obras_claras,,,,,,,
07954480000179-2-011392/2026,AQUISIÇÃO - MATERIAL DE CONSUMO - MATERIAL QUÍMICO - EEMTI AYRES DE SOUSA - SOBRAL - CREDE 6,EEM AYRES DE SOUSA,CE,2026-04-29,confenge_commercial_pncp_supplier_contracts,6ff92f19e43d7243f2f380373c0a7348f5e42f2f432f1a22e912512377bf99da,engenharia_obras_claras,,,,,,,
12846471000102-2-000002/2026,"CONTRATACAO DE EMPRESA ESPECIALIZADA EM CONSTRUCAO CIVIL, OBJETIVANDO A REFORMA DA UNIDADE BASICA DE SAUDE PALMERA, LOCALIZADA NO DISTRITO CANAA, ZONA RURAL DO MUNICIPIO DE IPIXUNA DO PARA, EM CONFORMIDADE COM OS PROJETOS BASICOS, PLANILHAS ORCAMENTARIAS, MEMORIAIS DESCRITIVOS E CRONOGRAMAS FISICOS-FINANCEIROS.",FUNDO MUNICIPAL DE SAUDE DE IPIXUNA DO PARA,PA,2026-07-09,confenge_commercial_pncp_supplier_contracts,d2d090abb192fbee90574d3dc7b4474d5ed7e820e76f2e77ba4ca3fa3b9275a6,engenharia_obras_claras,,,,,,,
08173502000126-2-000011/2026,"Locação de uma máquina do tipo retroescavadeira hidráulica, sobre rodas, com carregadeira, acompanhada de operador devidamente habilitado e qualificado, destinada à execução de serviços de escavação, carga, transporte e movimentação de materiais diversos, a serem utilizados em obras e intervenções de infraestrutura, drenagem, terraplenagem e demais atividades correlatas, visando atender às necessidades da Prefeitura Municipal de Cerro Corá/RN, por meio da Secretaria Municipal de Agricultura e...",MUNICIPIO DE CERRO CORÁ,RN,2026-03-19,confenge_commercial_pncp_supplier_contracts,0024920ee360f967d48777c945539495fb79e12314c6002010460ee3b78daca6,engenharia_obras_claras,,,,,,,
64037815000128-2-000752/2026,"Aquisição de materiais de construção para uso em manutenções emergenciais de prédios públicos, obras de alvenaria entre outras necessidades da Secretaria Municipal de Serviços Públicos, através de SRP (Sistema de Registro de Preços).",SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS MUNICIPAIS,SP,2026-02-25,confenge_commercial_pncp_supplier_contracts,bacef0a8db738f101347d46deae9a77b232e0f064f678e82ca292ccd163ef9a2,engenharia_obras_claras,,,,,,,
76920800000192-2-000017/2026,"Contratação de empresa especializada para fornecimento de licença de uso (assinatura), implantação, treinamento, manutenção e suporte técnico de Sistema Informatizado de Pesquisa e Comparação de Preços de Mercado, denominado comercialmente SISTEMA TRAZ VALOR, em plataforma web (SaaS), a ser utilizado de forma integrada à Tabela/Tempário do SINDIREPA (Sistema “SOLUÇÕES AUTOMOTIVAS BSW LTDA), para fins de composição de preços de peças, insumos e mão de obra nos serviços de manutenção da frota m...",PREFEITURA MUNICIPAL DE WENCESLAU BRAZ - PR,PR,2026-02-25,confenge_commercial_pncp_supplier_contracts,bf19d857b920e3f796acc63e10f6bb5ce6d0168f46e4e06a86cc224573cb7dbd,engenharia_obras_claras,,,,,,,
09034960000147-2-000051/2026,EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO EM PARALELEPÍPEDO EM VIAS PÚBLICAS NO MUNICÍPIO DE PIO IX – PI.,EPI-INSTITUTO DE DESENVOLVIMENTO DO PIAUI,PI,2026-05-20,confenge_commercial_pncp_supplier_contracts,28a625947ba6dac1d5bdcdf6e8cc40c6f8c0967274d05399ddfede8cda7e8832,engenharia_obras_claras,,,,,,,
45371820000128-2-001280/2026,"REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO MECÂNICA DE TRATORES E IMPLEMENTOS ROÇADEIRAS, COM O FORNECIMENTO DE COMPONENTES, ACESSÓRIOS PEÇAS E PARTES E MÃO DE OBRA",PREFEITURA MUNICIPAL SERTÃOZINHO,SP,2026-04-27,confenge_commercial_pncp_supplier_contracts,14a0a1a4ac97f3e53855f1d939a5e60431ad4eadc9dc5f0e425989b9119f3e47,engenharia_obras_claras,,,,,,,
00396895000125-2-000366/2026,"O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE LIMPEZA E CONSERVAÇÃO PREDIAL COM FORNECIMENTO DE MATERIAIS E EQUIPAMENTOS NECESSÁRIOS AO DESEMPENHO DAS ATIVIDADES, A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.",SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,TO,2026-06-25,confenge_commercial_pncp_supplier_contracts,b65b4f62f4f32a6fb74b3f8499573ce608a601cc7bcace7f92281a1453e2d80b,engenharia_obras_claras,,,,,,,
18094813000153-2-000001/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO RAMO DA CONSTRUÇÃO CIVIL PARA EXECUÇÃO DA FASE DE ACABAMENTOS DA RODOVIÁRIA MUNICIPAL, COMPREENDENDO A REALIZAÇÃO DE TODOS OS SERVIÇOS NECESSÁRIOS À CONCLUSÃO DA OBRA",Unidade Única,MG,2026-03-30,confenge_commercial_pncp_supplier_contracts,3f50d43f8d3463772c997dced69addca029fb9796f78697aef4e001fffd8017a,engenharia_obras_claras,,,,,,,
