cnpj14,event_type,author,payload_json,created_at
12253900000120,EXPORT,system,"{""rank"": 1, ""score"": 9.737, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
95257945000108,EXPORT,system,"{""rank"": 2, ""score"": 9.5276, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
27254414000101,EXPORT,system,"{""rank"": 3, ""score"": 9.5, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
19648512000197,EXPORT,system,"{""rank"": 4, ""score"": 9.5, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
38517835000196,EXPORT,system,"{""rank"": 5, ""score"": 9.2243, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
45145494000130,EXPORT,system,"{""rank"": 6, ""score"": 9.1, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
15247296000117,EXPORT,system,"{""rank"": 7, ""score"": 8.9406, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
07192929000109,EXPORT,system,"{""rank"": 8, ""score"": 8.7, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
52067902000149,EXPORT,system,"{""rank"": 9, ""score"": 8.7, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
62913677000178,EXPORT,system,"{""rank"": 10, ""score"": 8.7, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""STRONG_ENGINEERING_FIT"", ""profile_version"": ""1.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""8b6b4168ce0a1955f76e81745fe62c99411320dcd3d2a227ad68c726c8214ec4"", ""source_run_id"": ""cl-20260725T230038Z-dfec6c05"", ""rule_version"": ""commercial-validity-v1""}",2026-07-25T23:00:53Z
