rank,cnpj14,razao_social,score_total,priority,signals_fired,suggested_offer,next_human_step,human_status,human_reason,reviewer,reviewed_at
1,12253900000120,BRANIX EMPREENDIMENTOS LTDA,9.737,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
2,95257945000108,CONSTRUBRÁS CONSTRUTORA LTDA,9.5276,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
3,27254414000101,FAK EMPREENDIMENTOS LTDA,9.5,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
4,19648512000197,KARAIBA CONSULTORIA E PROJETOS LTDA.,9.5,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
5,38517835000196,PROJESOL ENGENHARIA LTDA,9.2243,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
6,45145494000130,CONSTRUTORA IRMAOS WARTHA LTDA,9.1,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
7,15247296000117,IBERICA CONSTRUÇÕES CIVIS E VIARIAS LTDA ME,8.9406,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
8,07192929000109,CONSTRUTORA JLV LTDA,8.7,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
9,52067902000149,WE TORRES ARTEFATOS DE CIMENTO E PRE MOLDADOS LTDA,8.7,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
10,62913677000178,ALIANCA ENGENHARIA E PAVIMENTACAO LTDA,8.7,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
11,29084108000191,AUTENTIKA ENGENHARIA E CONSTRUTORA LTDA,8.6559,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
12,22798043000105,KAENG INFRAESTRUTURA LTDA,8.5984,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
13,20123886000178,PRE-MOLDADOS E CONSTRUTORA VIANA LTDA,8.5773,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,monitoramento,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
14,00472805000138,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
15,00220982000127,MATT CONSTRUTORA LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
16,61608477000149,DGB ENGENHARIA E CONSTRUCOES LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
17,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
18,03094645000129,INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
19,22835076000170,CONSORCIO INTEGRADO MULTIFINALITARIO DO VALE DO JEQUITINHONH,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
20,10249046000100,CONSTRUCOES SCHOROEDER LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
