rank_position,cnpj14,razao_social,score_total,priority,suggested_offer,next_human_step,commercial_state,signals_fired_count,signals_not_computable_count,total_value,contract_count
1,12253900000120,BRANIX EMPREENDIMENTOS LTDA,9.737,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,9701239.95,9
2,95257945000108,CONSTRUBRÁS CONSTRUTORA LTDA,9.5276,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,90302635.2,20
3,27254414000101,FAK EMPREENDIMENTOS LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,484880.27999999997,9
4,19648512000197,KARAIBA CONSULTORIA E PROJETOS LTDA.,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,99147.21,11
5,38517835000196,PROJESOL ENGENHARIA LTDA,9.2243,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,45065.7,10
6,45145494000130,CONSTRUTORA IRMAOS WARTHA LTDA,9.1,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,2654300.01,8
7,15247296000117,IBERICA CONSTRUÇÕES CIVIS E VIARIAS LTDA ME,8.9406,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,6167077.0,9
8,07192929000109,CONSTRUTORA JLV LTDA,8.7,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,9504000.0,8
9,52067902000149,WE TORRES ARTEFATOS DE CIMENTO E PRE MOLDADOS LTDA,8.7,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,5847600.0,9
10,62913677000178,ALIANCA ENGENHARIA E PAVIMENTACAO LTDA,8.7,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,1875580.44,7
11,29084108000191,AUTENTIKA ENGENHARIA E CONSTRUTORA LTDA,8.6559,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,4849831.16,10
12,22798043000105,KAENG INFRAESTRUTURA LTDA,8.5984,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,12962815.969999999,11
13,20123886000178,PRE-MOLDADOS E CONSTRUTORA VIANA LTDA,8.5773,CRITICAL,monitoramento,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,3302815.8,6
14,00472805000138,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,86301674.51,27
15,00220982000127,MATT CONSTRUTORA LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,83214615.08,26
16,61608477000149,DGB ENGENHARIA E CONSTRUCOES LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,58272321.34,10
17,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,56056341.03,18
18,03094645000129,INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,53712459.4,21
19,22835076000170,CONSORCIO INTEGRADO MULTIFINALITARIO DO VALE DO JEQUITINHONH,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,37330874.839999996,15
20,10249046000100,CONSTRUCOES SCHOROEDER LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,31625511.07,14
