rank_position,cnpj14,razao_social,score_total,priority,suggested_offer,next_human_step,commercial_state,signals_fired_count,signals_not_computable_count,total_value,contract_count
1,07192414000109,COSTA OESTE SERVICOS LTDA,10.0853,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,184604284.05,11
2,02316749000500,PAX COMERCIO DE PNEUS LTDA,10.0689,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,4378.7,12
3,59457959000101,PRO ACTIVE TERCEIRIZACAO LTDA,10.0429,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,306777.26,12
4,12253900000120,BRANIX EMPREENDIMENTOS LTDA - ME.,9.943,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,9895639.95,10
5,58109690000100,MG AUTO PECAS E SERVICOS LTDA,9.9414,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,213334.05,44
6,27254414000101,FAK EMPREENDIMENTOS LTDA,9.8843,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,2668844.18,12
7,95257945000108,CONSTRUBRÁS CONSTRUTORA LTDA,9.7869,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,90302635.2,20
8,60344157000166,CODESAN SERVICOS E OBRAS,9.5455,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,10988654.11,11
9,96355854000160,CONVIVA SERVICOS E GESTAO DE MAO DE OBRA LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,201086536.14,10
10,08764222000192,IMK INDUSTRIA E COMERCIO DE PRE MOLDADOS LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,1024560.62,15
11,10789336000139,CRAFT LOCACOES DE EQUIPAMENTOS LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,838348.0,23
12,34339589000179,EXPRESSO BRASIL LOGISTICA TRANSPORTES E MAQUINAS LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,424608.68,29
13,03720375000114,SAO MIGUEL MATERIAIS P CONSTRUCAO LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,329504.99,16
14,02019741000140,PATROMETAL LTDA ME,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,259923.26,11
15,58569841000102,GM TRATORPECAS E SERVICOS LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,227349.85,14
16,19648512000197,KARAIBA CONSULTORIA E PROJETOS LTDA.,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,99147.21,11
17,26445328000105,CHURRASCARIA E PIZZARIA CHOPINHO LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,81674.47,15
18,24131976000161,GIGTRACTOR COMERCIO DE PECAS E SERVICOS PARA TRATO,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,48111.21,15
19,54077847000101,AUTO ELETRICA MENDES LTDA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,27843.03,44
20,50337569000115,LIVIA BEATRIZ FRANCO DE SOUZA,9.5,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,27652.0,27
