cnpj14,event_type,author,payload_json,created_at
27254414000101,EXPORT,system,"{""rank"": 1, ""score"": 9.5914, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
95257945000108,EXPORT,system,"{""rank"": 2, ""score"": 9.5276, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
13591585000103,EXPORT,system,"{""rank"": 3, ""score"": 9.0141, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
15247296000117,EXPORT,system,"{""rank"": 4, ""score"": 8.9406, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
29084108000191,EXPORT,system,"{""rank"": 5, ""score"": 8.6559, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
22798043000105,EXPORT,system,"{""rank"": 6, ""score"": 8.5984, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
10558895000138,EXPORT,system,"{""rank"": 7, ""score"": 8.4, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
00472805000138,EXPORT,system,"{""rank"": 8, ""score"": 8.4, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
00220982000127,EXPORT,system,"{""rank"": 9, ""score"": 8.4, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
61608477000149,EXPORT,system,"{""rank"": 10, ""score"": 8.4, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
06145928000140,EXPORT,system,"{""rank"": 11, ""score"": 8.4, ""commercial_state"": ""NEW"", ""supplier_sector_fit"": ""CONFIRMED_ENGINEERING"", ""profile_version"": ""2.0.0"", ""catalog_version"": ""a02e6c66adef2795c71906e4a3fd0d1a2c2c55c9449d2205940a637011e1004d"", ""dataset_snapshot_id"": ""9624f50f368953f1007f6efbff403665d47e6d92bc83ccc4d579483b4028d86b"", ""source_run_id"": ""cl-20260726T003820Z-f8e90e36"", ""rule_version"": ""commercial-validity-v1""}",2026-07-26T00:38:52Z
