rank,cnpj14,razao_social,score_total,priority,signals_fired,suggested_offer,next_human_step,human_status,human_reason,reviewer,reviewed_at
1,27254414000101,FAK EMPREENDIMENTOS LTDA,9.5914,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
2,95257945000108,CONSTRUBRAS CONSTRUTORA LTDA,9.5276,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
3,13591585000103,ARMANT SOLUCÕES EM CLIMATIZACAO LTDA,9.0141,CRITICAL,concurrent_portfolio|agency_concentration|contract_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
4,15247296000117,IBERICA CONSTRUÇÕES CIVIS E VIARIAS LTDA ME,8.9406,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
5,29084108000191,AUTENTIKA CONSTRUÇÕES LTDA,8.6559,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
6,22798043000105,KAENG INFRAESTRUTURA LTDA,8.5984,CRITICAL,concurrent_portfolio|agency_concentration|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
7,10558895000138,NOROMIX CONCRETO S/A,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
8,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
9,00220982000127,MATT CONSTRUTORA LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
10,61608477000149,DGB ENGENHARIA E CONSTRUCOES LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
11,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
12,03094645000129,INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
13,21763372000140,RIBEIRO E ANJOS EMPREENDIMENTOS E ENGENHARIA LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
14,10249046000100,CONSTRUCOES SCHOROEDER LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
15,09223659000181,VIGA - PAVIMENTACAO E OBRAS LTDA.,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
16,26277170000101,CONCRESUL ENGENHARIA LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
17,43887548000108,CONSTRUTORA SCHROEDER E SCHMIDT LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
18,02740940000142,TERRA E TECNICA ENGENHARIA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
19,93336030000154,ENPHASE PAVIMENTACOES LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
20,12535370000102,TERRABASE TERRAPLENAGEM LTDA,8.4,CRITICAL,concurrent_portfolio|near_expiry|win_recurrence,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,,,,
