rank_position,cnpj14,razao_social,score_total,priority,suggested_offer,next_human_step,commercial_state,signals_fired_count,signals_not_computable_count,total_value,contract_count
1,27254414000101,FAK EMPREENDIMENTOS LTDA,9.5914,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,2668844.18,12
2,95257945000108,CONSTRUBRAS CONSTRUTORA LTDA,9.5276,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,90302635.2,20
3,13591585000103,ARMANT SOLUCÕES EM CLIMATIZACAO LTDA,9.0141,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,5,9,4561803.43,12
4,15247296000117,IBERICA CONSTRUÇÕES CIVIS E VIARIAS LTDA ME,8.9406,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,6167077.0,9
5,29084108000191,AUTENTIKA CONSTRUÇÕES LTDA,8.6559,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,4849831.16,10
6,22798043000105,KAENG INFRAESTRUTURA LTDA,8.5984,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,4,9,12962815.969999999,11
7,10558895000138,NOROMIX CONCRETO S/A,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,87614862.36,32
8,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,87169516.69,30
9,00220982000127,MATT CONSTRUTORA LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,84196563.05,27
10,61608477000149,DGB ENGENHARIA E CONSTRUCOES LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,62581235.6,12
11,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,56056341.03,18
12,03094645000129,INFRASUL - INFRAESTRUTURA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,53712459.4,21
13,21763372000140,RIBEIRO E ANJOS EMPREENDIMENTOS E ENGENHARIA LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,31673370.54,13
14,10249046000100,CONSTRUCOES SCHOROEDER LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,31625511.07,14
15,09223659000181,VIGA - PAVIMENTACAO E OBRAS LTDA.,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,28305987.419999998,18
16,26277170000101,CONCRESUL ENGENHARIA LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,23333187.74,20
17,43887548000108,CONSTRUTORA SCHROEDER E SCHMIDT LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,19645170.330000002,30
18,02740940000142,TERRA E TECNICA ENGENHARIA E EMPREENDIMENTOS LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,16062496.73,10
19,93336030000154,ENPHASE PAVIMENTACOES LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,13543059.040000001,15
20,12535370000102,TERRABASE TERRAPLENAGEM LTDA,8.4,CRITICAL,acompanhamento_admin,Revisar evidências e preparar abordagem consultiva em até 2 dias úteis.,NEW,3,9,10625066.19,13
