rank_position,agency_id,cnpj,nome_oficial,uf,municipio,populacao,faixa_populacional,priority_score,publishability,mode,selected_service_id,conflict_state,relationship_state,contract_count,total_value
1,1e7ce218446f38d5,82804212000196,MUNICÍPIO DE ÁGUAS DE CHAPECÓ,SC,Águas de Chapecó,6613,up_to_10k,0.7175,PUBLISHABLE,REACTIVE_OPPORTUNITY,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,8,787057.99
2,b224bed3ce3981cb,85361863000147,PREFEITURA MUNICIPAL DE PALMITOS - SC,SC,Palmitos,16321,10k_to_25k,0.5925,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,3,10088.44
3,64973b2341e2610b,82939380000199,MUNICÍPIO DE JOAÇABA,SC,Joaçaba,30113,25k_to_50k,0.5925,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,9,100319.23
4,28d3df4df0799169,95780458000117,PREFEITURA MUNICIPAL DE SANGÃO,SC,Sangão,12345,10k_to_25k,0.5775,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,16,421295.84
5,dcbd14ae311e49a9,83102517000119,MUNICÍPIO DE ITAIÓPOLIS,SC,Itaiópolis,22746,10k_to_25k,0.5675,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,10,2970026.76
6,334057cc3f6389f5,83102681000126,MUNICÍPIO DE POUSO REDONDO,SC,Pouso Redondo,19234,10k_to_25k,0.5675,PUBLISHABLE,REACTIVE_OPPORTUNITY,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,16,3027032.81
7,f58a24de9be9d862,82836057000190,MUNICÍPIO DE GAROPABA,SC,Garopaba,22978,10k_to_25k,0.5675,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,26,13537198.299999999
8,b79b0aab8efe31d9,82777236000101,PREFEITURA MUNICIPAL DE PONTE SERRADA - SC,SC,Ponte Serrada,11234,10k_to_25k,0.5475,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,1,316234.0
9,fd02bc480a5cbc17,82939414000145,Prefeitura Municipal de Catanduvas,SC,Catanduvas,10623,10k_to_25k,0.5475,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,9,12282.44
10,044a9df8310badbd,01593132000137,MUNICÍPIO DE JUPIÁ,SC,Jupiá,2555,up_to_10k,0.5475,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,1,261399.86
11,fcde2b810d3177b2,83102418000137,MUNICÍPIO DE IBIRAMA,SC,Ibirama,19621,10k_to_25k,0.5225,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,16,89684.49
12,a51d7ce0a4432ee3,80912009000108,MUNICÍPIO DE PARAÍSO,SC,Paraíso,4267,up_to_10k,0.5225,PUBLISHABLE,REACTIVE_OPPORTUNITY,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,5,6737.95
13,5afa1dc1b862f322,82939232000174,MUNICÍPIO DE CAMPOS NOVOS,SC,Campos Novos,36882,25k_to_50k,0.5225,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,14,545485.7
14,59815c640b55a708,82821208000136,MUNICÍPIO DE ITAPIRANGA,SC,Itapiranga,16234,10k_to_25k,0.5225,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,74,268583.74
15,f21da1a358cc0e47,83102244000102,Prefeitura de Gaspar - SC,SC,Gaspar,72770,50k_to_100k,0.5125,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,6,239655.52
16,15f364c7322f4011,82821174000180,MUNICIPIO DE SAO MIGUEL D'OESTE,SC,São Miguel do Oeste,44320,25k_to_50k,0.4775,PUBLISHABLE,REACTIVE_OPPORTUNITY,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,25,127169.31
17,6f91efa5e278b373,83021857000115,MUNICÍPIO DE PINHALZINHO,SC,Pinhalzinho,16321,10k_to_25k,0.4775,PUBLISHABLE,REACTIVE_OPPORTUNITY,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,11,14600.56
18,63c009dec8aaa5dd,83788281000116,Fundação Cultural de São Bento do Sul,SC,São Bento do Sul,85295,50k_to_100k,0.4675,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,1,443500.0
19,9c4e4aaa1cfc4f65,82892365000132,MUNICÍPIO DE PAULO LOPES,SC,Paulo Lopes,7234,up_to_10k,0.4525,PUBLISHABLE,PROACTIVE_INSTITUTIONAL_PROSPECT,ORCAMENTO_E_PLANEJAMENTO_DE_OBRAS,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,13,1181603.43
20,444fb273d015e685,83009860000113,MUNICÍPIO DE XANXERÊ,SC,Xanxerê,51612,50k_to_100k,0.4425,PUBLISHABLE,REACTIVE_OPPORTUNITY,REVISAO_PRE_PUBLICACAO,CONFLICT_CHECK_PENDING,HUMAN_REVIEW_REQUIRED,12,1571577.38
