agency_id,selected_service_id,service_fit_score,need_score,priority_score
1e7ce218446f38d5,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,0.75,1.0,0.5975
b224bed3ce3981cb,REVISAO_PRE_PUBLICACAO,0.55,0.75,0.4725
64973b2341e2610b,REVISAO_PRE_PUBLICACAO,0.55,0.75,0.4725
28d3df4df0799169,REVISAO_PRE_PUBLICACAO,0.55,0.6,0.4575
dcbd14ae311e49a9,REVISAO_PRE_PUBLICACAO,0.45,0.9,0.4475
334057cc3f6389f5,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,0.45,0.9,0.4475
f58a24de9be9d862,REVISAO_PRE_PUBLICACAO,0.45,0.9,0.4475
b79b0aab8efe31d9,REVISAO_PRE_PUBLICACAO,0.55,0.75,0.4275
fd02bc480a5cbc17,REVISAO_PRE_PUBLICACAO,0.55,0.6,0.4275
044a9df8310badbd,REVISAO_PRE_PUBLICACAO,0.55,0.75,0.4275
fcde2b810d3177b2,REVISAO_PRE_PUBLICACAO,0.45,0.75,0.4025
a51d7ce0a4432ee3,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,0.45,0.6,0.4025
5afa1dc1b862f322,REVISAO_PRE_PUBLICACAO,0.45,0.75,0.4025
59815c640b55a708,REVISAO_PRE_PUBLICACAO,0.45,0.75,0.4025
f21da1a358cc0e47,REVISAO_PRE_PUBLICACAO,0.55,0.65,0.3925
15f364c7322f4011,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,0.45,0.6,0.3575
6f91efa5e278b373,PLANEJAMENTO_TECNICO_DA_CONTRATACAO,0.45,0.6,0.3575
63c009dec8aaa5dd,REVISAO_PRE_PUBLICACAO,0.55,0.65,0.3475
9c4e4aaa1cfc4f65,ORCAMENTO_E_PLANEJAMENTO_DE_OBRAS,0.45,0.75,0.3325
444fb273d015e685,REVISAO_PRE_PUBLICACAO,0.45,0.65,0.3225
