capacidade_operacional,cnpj,contratos_ativos,desagio,desagio_evidence,desagio_status,distribuicao_geografica,identidade_canonica,n_contratos,nome,orgaos_em_que_venceu,rank,selection_justification,selection_score,ticket_contratado_medio,ticket_formula,tipos_objeto,valor_contratado_total,valor_semantica
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",03574370000120,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 93}",03574370000120,93,EMPREITEIRA DE MAO DE OBRA ADRIMAR LTDA - EIRELI,"[""Camâra Municipal de Vereadores"", ""DEPARTAMENTO RODOVIÁRIO"", ""Diretoria de Obras de Infraestrutura Viária"", ""DIVISAO DE ESTRADAS E RODAGEM"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""MOBILIDADE URBANA"", ""MUNICÍPIO DE CAMPO ALEGRE"", ""MUNICÍPIO DE SCHROEDER"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Joinville - PMJ"", ""Secretaria de Administração"", ""Secretaria de Infra-estrutura"", ""Secretaria de Infraestrutura Urbana"", ""Secretaria de Obras, Servicos Publicos e Transport"", ""Secretaria de Planejamento e Desenvolv. Urbano"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO"", ""SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E RURAIS"", ""SEOB - Secretaria de Obras de Pomerode"", ""Subprefeitura do Itinga""]",1,"rank by ('n_contratos', 'valor_contratado_total'): n=93, valor=159994613.74; min_contracts>=2",252994613.74,1720372.19,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",159994613.74,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",03620927000112,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 84}",03620927000112,84,PAVIPLAN PAVIMENTAÇÃO LTDA.,"[""Camâra Municipal de Vereadores"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO RODOVIÁRIO"", ""DIVISÃO DE ADMINISTRACAO E PLANEJAMENTO"", ""DIVISAO DE ESTRADAS E RODAGEM"", ""Fundo de Saneamento Básico de Mafra"", ""FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL"", ""Gabinete do Vice-prefeito"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""Gerência de Planejamento e Meio Ambiente do Município de Massaranduba -SC"", ""Gestão da Secretaria de Planejamento e Urbanismo"", ""MOBILIDADE URBANA"", ""Obras Municipais"", ""PREFEITURA MUNICIPAL DE ITAIÓPOLIS - SC"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Mafra"", ""PREFEITURA MUNICIPAL DE MAJOR VIEIRA - SC"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Infra-estrutura"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO""]",2,"rank by ('n_contratos', 'valor_contratado_total'): n=84, valor=140706472.22; min_contracts>=2",224706472.22,1675077.05,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",140706472.22,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",12547887000111,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 70}",12547887000111,70,POLARIS SERVICOS E CONSTRUCOES LTDA-IR 1.2%,"[""Fundo Municipal de Terras, Habitação Popular e Saneamento - FMTHPS"", ""Prefeitura Municipal de Joinville - PMJ""]",3,"rank by ('n_contratos', 'valor_contratado_total'): n=70, valor=17402564.23; min_contracts>=2",87402564.23,248608.06,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",17402564.23,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",43887548000108,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 65}",43887548000108,65,CONSTRUTORA SCHROEDER E SCHMIDT LTDA EPP,"[""Departamento de Estradas de Rodagem"", ""Departamento de Planejamento"", ""Desenvolvimento Econômico"", ""DIRETORIA DE COMUNICAÇÃO E MÍDIA"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""Fundação Municipal de Esportes - Fme"", ""MUNICÍPIO DE SCHROEDER"", ""Prefeitura de Gaspar - SC"", ""Prefeitura Municipal de Blumenau"", ""PREFEITURA MUNICIPAL DE ILHOTA"", ""PREFEITURA MUNICIPAL DE NAVEGANTES"", ""PREFEITURA MUNICIPAL DE NOVA TRENTO"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Educação"", ""Secretaria de Obras"", ""Secretaria de Obras e Servicos Publicos do Município de Guabiruba"", ""SECRETARIA DE OBRAS E SERVIÇOS URBANOS"", ""Secretaria de Transporte Obras e Serviços Urbanos"", ""Secretaria Municipal de Infraestrutura"", ""Secretaria Municipal de Infraestrutura Estratégica""]",4,"rank by ('n_contratos', 'valor_contratado_total'): n=65, valor=54246028.79; min_contracts>=2",119246028.78999999,834554.29,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",54246028.79,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",03094645000129,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 63}",03094645000129,63,INFRASUL - INFRAESTUTURA E EMPREENDIMENTOS LTDA,"[""Camâra Municipal de Vereadores"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO DE OBRAS E URBANISMO"", ""Departamento de Urbanismo"", ""Diretoria de Obras de Infraestrutura Viária"", ""Gabinete do Vice-prefeito"", ""Gerência de Planejamento e Meio Ambiente do Município de Massaranduba -SC"", ""MOBILIDADE URBANA"", ""MUNICÍPIO DE SCHROEDER"", ""Prefeitura Municipal de Jaraguá do Sul"", ""Prefeitura Municipal de Joinville - PMJ"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC"", ""Secretaria de Infra-estrutura"", ""Secretaria de Planejamento e Desenvolv. Urbano"", ""SECRETARIA DE PLANEJAMENTO URBANO"", ""Secretaria Municipal de Infraestrutura Estratégica"", ""SECRETARIA MUNICIPAL DE OBRAS E PLANEJAMENTO"", ""SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS URBANOS E RURAIS"", ""Secretaria Municipal de Planejamento - SEPLAN"", ""SEOB - Secretaria de Obras de Pomerode""]",5,"rank by ('n_contratos', 'valor_contratado_total'): n=63, valor=154646448.14; min_contracts>=2",217646448.14,2454705.53,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",154646448.14,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",22798043000105,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 59}",22798043000105,59,KAENG INFRAESTRUTURA LTDA,"[""ADMINISTRAÇÃO"", ""ADM - Secret. Mun. de Obras e Serviços - SMOS"", ""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DESENVOLVIMENTO ECONÔMICO E INOVAÇÃO"", ""MANUTENÇÃO SECRETARIA DE OBRAS E PROJETOS"", ""Município de Arroio Trinta"", ""MUNÍCIPIO DE ERVAL VELHO"", ""Município de Luzerna"", ""MUNICÍPIO DE SALTO VELOSO"", ""Prefeitura de Capinzal"", ""Prefeitura Municipal de Catanduvas"", ""Prefeitura Municipal de Erval Velho"", ""PREFEITURA MUNICIPAL DE HERVAL D´OESTE - SC"", ""PREFEITURA MUNICIPAL DE JOAÇABA"", ""VIDEIRA SANEAMENTO - VISAN""]",6,"rank by ('n_contratos', 'valor_contratado_total'): n=59, valor=82520640.58; min_contracts>=2",141520640.57999998,1398654.93,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",82520640.58,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",05895635000118,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 58}",05895635000118,58,JR CONSTRUÇÕES E TERRAPLENAGEM LTDA EPP - EPP,"[""DEPARTAMENTO DE ESTUDOS E PROJETOS URBANISTICOS"", ""DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS"", ""DEPARTAMENTO DE TRANSPORTES E OBRAS"", ""DEPARTAMENTO OPERACIONAL"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""Gerência de Obras e Serviços Urbanos do Município de Massaranduba -SC"", ""MUNICÍPIO DE MORRO GRANDE"", ""MUNICIPIO DE PEDRAS GRANDES"", ""MUNICÍPIO DE TUBARÃO"", ""MUNICÍPIO DE URUSSANGA"", ""PREFEITURA"", ""Prefeitura de Gaspar - SC"", ""PREFEITURA MUNICIPAL DE BALNEÁRIO RINCÃO"", ""PREFEITURA MUNICIPAL DE CAPIVARI DE BAIXO - SC"", ""PREFEITURA MUNICIPAL DE CRICIÚMA - SC"", ""PREFEITURA MUNICIPAL DE FORQUILHINHA - SC"", ""PREFEITURA MUNICIPAL DE IÇARA - SC"", ""Prefeitura Municipal de Jaraguá do Sul"", ""PREFEITURA MUNICIPAL DE NAVEGANTES"", ""PREFEITURA MUNICIPAL DE TREZE DE MAIO - SC""]",7,"rank by ('n_contratos', 'valor_contratado_total'): n=58, valor=111184145.08; min_contracts>=2",169184145.07999998,1916968.02,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",111184145.08,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",02063876000102,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 57}",02063876000102,57,CCT CONSTRUTORA DE OBRAS LTDA.,"[""Diretoria de Obras de Infraestrutura Viária"", ""Prefeitura Municipal de Joinville - PMJ"", ""PREFEITURA MUNICIPAL DE SCHROEDER - SC""]",8,"rank by ('n_contratos', 'valor_contratado_total'): n=57, valor=14796871.13; min_contracts>=2",71796871.13,259594.23,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",14796871.13,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",12218083000179,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 54}",12218083000179,54,BCL INFRAESTRUTURA LTDA.,"[""CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA"", ""DEPARTAMENTO DE INFRAESTRURA E OBRAS"", ""DEPARTAMENTO DE TRANSPORTES E OBRAS"", ""MUNICÍPIO DE LAURO MULLER"", ""MUNICÍPIO DE ORLEANS"", ""MUNICÍPIO DE RIO FORTUNA"", ""MUNICÍPIO DE SÃO MARTINHO"", ""MUNICÍPIO DE URUSSANGA"", ""PREFEITURA"", ""PREFEITURA MUNICIPAL DE BRAÇO DO NORTE - SC"", ""PREFEITURA MUNICIPAL DE CAPIVARI DE BAIXO - SC"", ""PREFEITURA MUNICIPAL DE FORQUILHINHA - SC"", ""PREFEITURA MUNICIPAL DE GRÃO-PARÁ - SC"", ""Prefeitura Municipal de Pescaria Brava - SC"", ""PREFEITURA MUNICIPAL DE TREZE DE MAIO - SC"", ""SECRETARIA MUNICIPAL DE INFRA ESTRUTURA""]",9,"rank by ('n_contratos', 'valor_contratado_total'): n=54, valor=72226452.65; min_contracts>=2",126226452.65,1337526.9,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",72226452.65,CONTRATADO
"{""label"": ""HYPOTHESIS"", ""claim_as_fact_forbidden"": true, ""text"": ""Capacidade operacional não afirmada como fato sem evidência""}",12535370000102,[],,estimado/homologado not linked to same certame/lote/item,INSUFFICIENT_PAIR,"{""SC"": 54}",12535370000102,54,TERRABASE TERRAPLENAGEM LTDA,"[""Departamento de Urbanismo"", ""DIRETORIA DE OBRAS E SERVIÇOS URBANOS"", ""DIRETORIA DO SERVIÇO DE FISCALIZAÇÃO DE OBRAS"", ""FUNDO MUNICIPAL DE DEFESA CIVIL DO MUNICÍPIO DE RIO DOS CEDROS - FUNDEC"", ""Obras Municipais"", ""Secretaria de Estado da Infraestrutura e Mobilidade"", ""Secretaria de Infraestrutura"", ""Secretaria de Transporte Obras e Serviços Urbanos"", ""Secretário de Infraestrutura"", ""Serviços Urbanos"", ""SVOS -  Secretaria de Viacao, Obras e Servicos""]",10,"rank by ('n_contratos', 'valor_contratado_total'): n=54, valor=65149279.12; min_contracts>=2",119149279.12,1206468.13,valor_contratado_total / n_contratos,"[""engenharia_extra_profile""]",65149279.12,CONTRATADO
