consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,resultado_zero,ticket_medio,ticket_medio_formula,uf,valor_semantica,valor_total
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",9585 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CURITIBANOS,83754044000134,2026-07-23,2023-07-20,9585,1,False,4313.62,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,41346040.53
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",9074 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE BRUSQUE,83102343000194,2026-07-23,2023-07-20,9074,2,False,7338.81,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,66592364.67
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",9020 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CANOINHAS,83102384000180,2026-07-23,2023-07-20,9020,3,False,3187.55,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,28751678.27
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",8995 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CAÇADOR,83074302000131,2026-07-23,2023-07-20,8995,4,False,5042.94,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,45361212.05
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",8807 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE VIDEIRA,83039842000184,2026-07-23,2023-07-20,8807,5,False,6247.63,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,55022904.91
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",8398 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE CAMBORIÚ,83102293000145,2026-07-23,2023-07-20,8398,6,False,7106.62,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,59681400.53
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",7890 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE FRAIBURGO,82947979000174,2026-07-23,2023-07-20,7890,7,False,3599.41,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,28399310.66
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",7275 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE BRAÇO DO NORTE,82926551000145,2026-07-23,2023-07-20,7275,8,False,5013.31,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,36471845.95
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",7257 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PORTO UNIÃO,83102541000158,2026-07-23,2023-07-20,7257,9,False,16168.12,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,117332060.38
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",6849 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE JARAGUÁ DO SUL,83102459000123,2026-07-23,2023-07-20,6849,10,False,4545.8,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,31134151.48
