ranking,outreach_status,prioridade_abordagem,score_fornecedor,cnpj,razao_social,nome_fantasia,sede_municipio,sede_uf,sul_priority,cnae,situacao_cadastral,porte_cadastral,qtd_contratos_candidatos,orgaos_contratantes,valor_total_portfolio_analisado,melhor_contrato_id,melhor_orgao,melhor_classificacao,argumento_comercial,mensagem_abordagem,proxima_acao,riscos,email,telefone,site,contato_verificavel
1,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,49.82,05802590000190,CONSTRUTORA JUREMA LTDA,,Teresina,PI,False,,,,6,Departamento de Estradas de Rodagem do Piauí,721427699.0699999,06535751000199-2-000009/2024,Departamento de Estradas de Rodagem do Piauí,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
2,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,48.89,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,PLANATERRA,CHAPECO,SC,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,14,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | ERS-DEPARTAMENTO AUT. DE ESTRADAS DE RODAGEM | PREFEITURA MUNICIPAL DE PALMITOS - SC | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA | Secretaria de Estado da Infraestrutura e Mobilidade,799628428.6400001,04892707000100-2-000494/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
3,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,48.4,80095466000157,CONSTRUTORA OLIVEIRA LTDA,,MARAVILHA,SC,True,4120400 - Construção de edifícios,ATIVA,,11,Departamento de Estradas de Rodagem do Município de  São Carlos/SC | MUNICÍPIO DE GALVÃO | Prefeitura Municipal de Chapecó | SECRETARIA DE OBRAS,228720010.6,83021808000182-2-000395/2024,Prefeitura Municipal de Chapecó,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
4,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,48.24,88348024000187,SBS ENGENHARIA E CONSTRUCOES LTDA.,,PORTO ALEGRE,RS,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,2,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,66174282.25,04892707000100-2-000458/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
5,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,47.72,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,***********,BELO HORIZONTE,MG,False,4211101 - Construção de rodovias e ferrovias,ATIVA,,118,"AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | AGESUL-Agência Estadual de Gestão de Empreendimentos de Campo Grande/MS | DEPART.NACIONAL DE INFRA-ESTR. DE TRANSPORTE | DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES | DER - Departamento de Estradas de Rodagem do Estado do Paraná | DER/DI/GAO - COMPRAS | DER/DM/GMR | PREFEITURA MUNICIPAL DE MARICA - RJ | PREFEITURA SÃO GONÇALO DO RIO ABAIXO | Prefeitura Municipal de Magé | SECRETARIA DE ESTADO DE INFRA-ESTRUTURA | SECRETARIA MUNICIPAL DE PLANEJAMENTO, DESENVOLVIME | SUP. REG. DO DNIT NO EST. DO RIO G. DO NORTE | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE MATO GROSSO | SUP. REG. DO DNIT NO ESTADO DE MINAS GERAIS | SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA | SUP. REG. DO DNIT NO ESTADO DO ESPIRITO SANTO | SUP. REG. DO DNIT NO ESTADO DO MARANHÃO | SUP. REG. DO DNIT NO ESTADO DO PARANA | SUP. REG. DO DNIT NO ESTADO DO PIAUI | SUP. REG. DO DNIT NO ESTADO DO RIO DE JANEIRO | SUP. REG. DO DNIT NO ESTADO DO TOCANTINS | SUP. REG. DO DNIT NOS ESTADOS DE GOIAS E DF | SUP. REG. DO DNIT NOS ESTADOS DO AM E RR | SUP. REGIONAL DO DNIT NO ESTADO DA BAHIA | SUP. REGIONAL DO DNIT NO ESTADO DE PERNAMBUCO | SUP. REGIONAL DO DNIT NO ESTADO DO CEARA | SUPERINT. REG. DO DNIT NO EST. DE RONDONIA | SUPERINTENDENCIA REG.NO ESTADO DO AMAPA/DNIT | SUPERINTENDENCIA REGIONAL DO DNIT - AC | SUPERINTENDÊNCIA REGIONAL DO DNIT - MG | SUPERINTENDÊNCIA REGIONAL DO DNIT - PA | SUPERINTENDÊNCIA REGIONAL DO DNIT - RO | SUPERINTENDêNCIA REGIONAL NO ESTADO DO PARA | Secretaria de Estado da Infraestrutura e Mobilidade | Unidade Única",7180220091.080001,04892707000100-2-000350/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
6,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,47.31,92190503000195,CONSTRUTORA PELOTENSE LTDA,CONSTRUTORA PELOTENSE,PORTO ALEGRE,RS,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,2,ERS-DEPARTAMENTO AUT. DE ESTRADAS DE RODAGEM | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,92756919.13,04892707000100-2-000567/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
7,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,47.14,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,,CURITIBA,PR,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,14,DEPARTAMENTO DE ESTRADAS DE RODAGEM | DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA RODOVIÁRIA DE SERGIPE | DER - Departamento de Estradas de Rodagem do Estado do Paraná | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE SERGIPE | SUP. REG. DO DNIT NO ESTADO DO PARANA | SUP. REGIONAL DO DNIT NO ESTADO DA BAHIA | UNIDADE ADMINISTRATIVA,1292520581.6100001,04892707000100-2-000579/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
8,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,46.59,75911438000120,ARTELESTE CONSTRUCOES LIMITADA,,Porto Alegre,RS,True,,,,4,SECRETARIA DE ESTADO DE INFRA-ESTRUTURA | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,265180457.74,04892707000100-2-000508/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
9,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,45.89,02955426000124,NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,,Porto Alegre,RS,True,,,,15,DEPART.NACIONAL DE INFRA-ESTR. DE TRANSPORTE | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA | SUP. REG. DO DNIT NO ESTADO DO PARANA | Secretaria de Estado da Infraestrutura e Mobilidade,806209961.7299999,04892707000100-2-000561/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
10,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,45.85,92943398000118,CONSTRUTORA CIDADE LIMITADA,,PORTO ALEGRE,RS,True,4212000 - Construção de obras de arte especiais,ATIVA,,4,PREFEITURA MUNICIPAL DE SÃO LUÍS - MA | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,365323312.35999995,04892707000100-2-000620/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
