ranking,commercial_stage,classificacao,opportunity_score,verification_score,commercial_fit_score,priority_score,cnpj,razao_social,uf,municipio_empresa,orgao_contratante,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_probable_14133,exact_budget_date,proxy_date,proxy_type,minimum_elapsed_confirmed,temporal_reasoning,calculation_blocked,data_base_status,valor_potencial,teto_teorico,document_request_ready,contact_readiness,human_review_status,claim_readiness,email,telefone,site,argumento_comercial,linguagem_proibida,proxima_acao,sinais_favoraveis,incertezas,documentos_faltantes
25,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,96.0,17.5,74.4,76.13,10249046000100,CONSTRUCOES SCHOROEDER EIRELI    -,SC,BIGUACU,SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA,04892707000100-2-000445/2023,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E O CONSÓRCIO  SCHOROEDER-SULCATARINENSE CREMA BR-470, PARA EXECUÇÃO PARA EXECUÇÃO DE SERVIÇOS DO PROJETO CONSTANTE DO PROGRAMA CREMA NA RODOVIA BR-470; TRECHO: ENTR R. FCO. DE PAULA SEARA (NAVEGANTES) - DIV SC/RS (INÍCIO DA PONTE SOBRE O RIO PELOTAS); SUBTR",171072604.27,UNKNOWN,False,True,,2024-01-08,data_assinatura,True,Assinatura em 2024-01-08 há 939 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4830661853,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.84 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.84) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
161,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,98.5,17.5,67.9,72.5,02955426000124,NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,PR,CURITIBA,SUP. REG. DO DNIT NO ESTADO DE SANTA CATARINA,04892707000100-2-000142/2024,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E A EMPRESA NEOVIA INFRAESTRUTURA RODOVIÁRIA LTDA, PARA EXECUÇÃO DOS SERVIÇOS NECESSÁRIOS DE MANUTENÇÃO RODOVIÁRIA (CONSERVAÇÃO/RECUPERAÇÃO) NAS RODOVIAS BR-282/SC, NO SEGMENTO DO KM 532,5 AO KM 599,5, BR-480/SC, NO SEGMENTO DO KM 124,5 AO KM 133,3, E BR-158",194105060.9,UNKNOWN,False,True,,2024-05-09,data_assinatura,True,Assinatura em 2024-05-09 há 817 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4130759000,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.94 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.94) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
193,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,97.0,17.5,65.8,71.38,07928501000181,CAMARGO E CAMARGO CONSTRUÇOES E SERVIÇOS LTDA,PR,CURITIBA,DEPARTAMENTO DE ARQUITETURA E ENGENHARIA,76105576000185-2-000036/2024,"EXECUÇÃO DE OBRA DE ENGENHARIA DA ""CONSTRUÇÃO DE EDIFÍCIO EM ALVENARIA DE UNIDADE DE SAÚDE DA FAMÍLIA PROJETO PADRONIZADO PADRÃO 1 PARA O ESTADO DO PARANÁ (UBS PAPANDUVA).",170597772.0,UNKNOWN,False,True,,2024-01-08,data_assinatura,True,Assinatura em 2024-01-08 há 939 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4132051394,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.88 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como edificacoes (conf=0.88) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
268,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,95.0,17.5,63.0,69.88,92943398000118,CONSTRUTORA CIDADE LIMITADA,RS,PORTO ALEGRE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000192/2024,ELABORAÇÃO DE PROJETO E EXECUÇÃO DAS OBRAS EMERGENCIAIS PARA CONSTRUÇÃO DA PONTE SOBRE O RIO CAÍ NA BR-116/RS ENTRE OS MUNICÍPIOS DE CAXIAS DO SUL/RS E NOVA PETRÓPOLIS/RS.,245611510.28,UNKNOWN,False,True,,2024-06-05,data_assinatura,True,Assinatura em 2024-06-05 há 790 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5133886465,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pontes_estruturas (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
274,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,95.0,17.5,63.0,69.88,79096020000168,ENGERAMA ENGENHARIA E EMPREENDIMENTOS LTDA,PR,CAMPO LARGO,PREFEITURA MUNICIPAL DE SAO JOSE DOS PINHAIS,76105543000135-2-000098/2024,"Contratação de serviços de engenharia para execução da obra de Construção do Hospital e Maternidade Municipal, localizado na Avenida Rui Barbosa, nº 10.797, no Município de São José dos Pinhais, com área total a ser construída de 22.173,21m2, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos e, nas condições estabelecidas no Termo de Referência.",154990000.0,UNKNOWN,False,True,,2024-09-10,data_assinatura,True,Assinatura em 2024-09-10 há 693 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,413922011,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
276,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,95.0,17.5,63.0,69.88,57437373000141,CONSORCIO PALMEIRA,PR,CURITIBA,DER - Departamento de Estradas de Rodagem do Estado do Paraná,76669324000189-2-000083/2024,"Execução das obras de restauração e ampliação de capacidade da rodovia PR-151, no trecho compreendido entre o entroncamento com a PR-438, km 344,51, em Ponta Grossa, e a interseção com a BR-277, km 377,22 em Palmeira, com extensão de 32,71 km.",257215008.0,UNKNOWN,False,True,,2024-10-28,data_assinatura,True,Assinatura em 2024-10-28 há 645 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4103253333,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
277,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,95.0,17.5,63.0,69.88,58220887000103,CONSORCIO DALBA - CLC,PR,GUARAPUAVA,DER - Departamento de Estradas de Rodagem do Estado do Paraná,76669324000189-2-000092/2024,"Execução das obras de duplicação em pavimento rígido e restauração em Whitetopping da rodovia PR-170/PRC-466, de Turvo a Palmeirinha, numa extensão de 27,02 km.",293750016.0,UNKNOWN,False,True,,2024-12-09,data_assinatura,True,Assinatura em 2024-12-09 há 603 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4230359550,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
341,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,94.0,17.5,61.6,69.13,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,PR,CURITIBA,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000003/2024,ELABORAÇÃO DOS PROJETOS E EXECUÇÃO DAS OBRAS E SERVIÇOS EMERGENCIAIS DECORRENTES DA RUPTURA DO CORPO ESTRADAL NA BR-290/RS ENTRE O SEGMENTO DO KM 311+800 AO KM 312+200.,208710106.61,UNKNOWN,False,True,,2024-01-04,data_assinatura,True,Assinatura em 2024-01-04 há 943 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4130253333,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
342,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,94.0,17.5,61.6,69.13,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,PR,CURITIBA,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000442/2023,"ELABORAÇÃO DOS PROJETOS E EXECUÇÃO DAS OBRAS E SERVIÇOS EMERGENCIAIS DECORRENTES DA RUPTURA E ESCORREGAMENTO DO TALUDE NA BR-290/RS ENTRE O KM 287,95 E O KM 288,05.",283768106.18,UNKNOWN,False,True,,2024-01-04,data_assinatura,True,Assinatura em 2024-01-04 há 943 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4130253333,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_infraestrutura (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
343,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,94.0,17.5,61.6,69.13,55018852000106,CONSORCIO SANCHES TRIPOLONI - CONSOL - CLEVELANDIA - PATO BRANCO,PR,MARINGA,DER - Departamento de Estradas de Rodagem do Estado do Paraná,76669324000189-2-000035/2024,"Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração em Whitetopping na PRC- 280, entre Clevelândia e Pato Branco, numa extensão de 37,49 km.",180950000.0,UNKNOWN,False,True,,2024-06-04,data_assinatura,True,Assinatura em 2024-06-04 há 791 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4421015959,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
632,DIAGNOSTIC_OUTREACH_READY,LEGAL_REGIME_UNKNOWN,90.0,17.5,56.0,66.13,03928516000199,VERDI SISTEMAS CONSTRUTIVOS LTDA,RS,PORTO ALEGRE,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,17176399000169-2-000036/2024,"Contratação de empresa especializada, em regime de contratação integrada, para Elaboração de projeto básico, projeto executivo e Construção de nova PENITENCIÁRIA ESTADUAL DE CAXIAS DO SUL – PECS II, com capacidade de 1710 vagas, sendo 1488 vagas coletivas + 18 vagas PCD + 56 vagas duplas disciplinares + 88 vagas de alojamento e área construída de 25.335,78 m2.",261891145.31,UNKNOWN,False,True,,2024-12-27,data_assinatura,True,Assinatura em 2024-12-27 há 585 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5135401025,,"Identificamos contratos de obras com interregno anual potencialmente transcorrido. Isso não significa, por si só, que exista valor pendente, mas pode justificar uma conferência técnica da cláusula, da data-base, das medições e dos reajustes já aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | document_request_parallel_action | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
