ranking,commercial_stage,classificacao,opportunity_score,verification_score,commercial_fit_score,priority_score,cnpj,razao_social,uf,municipio_empresa,orgao_contratante,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_probable_14133,exact_budget_date,proxy_date,proxy_type,minimum_elapsed_confirmed,temporal_reasoning,calculation_blocked,data_base_status,valor_potencial,teto_teorico,document_request_ready,contact_readiness,human_review_status,claim_readiness,email,telefone,site,argumento_comercial,linguagem_proibida,proxima_acao,sinais_favoraveis,incertezas,documentos_faltantes
337,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,83.0,15.0,92.2,69.24,12535370000102,TERRABASE TERRAPLENAGEM LTDA,SC,TIMBO,Secretaria de Transporte Obras e Serviços Urbanos,83102780000108-2-000267/2024,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE PAVIMENTAÇÃO ASFALTICA E ADEQUAÇÕES DE GEOMETRIA DA RUA KARL BLAESE COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA, EM CONFORMIDADE COM OS PROJETOS, MEMORIAL DESCRITIVO E DEMAIS ANEXOS DO EDITAL",6154295.88,UNKNOWN,False,True,,2024-06-06,data_assinatura,True,Assinatura em 2024-06-06 há 789 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (pavimentacao rodoviaria). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Manter em inteligência comercial; enriquecer sinais.,obra_classificada_conf=0.92 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.92) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
384,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,15.0,90.8,68.71,80095466000157,CONSTRUTORA OLIVEIRA LTDA,SC,MARAVILHA,MUNICÍPIO DE GALVÃO,83009902000116-2-000099/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA SOBRE PEDRAS IRREGULARES, LEITO NATURAL E REPERFILAMENTO ASFÁLTICO EM ESTRADAS DO PERÍMETRO RURAL DO MUNICÍPIO, COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA, CONFORME PROJETOS E MEMORIAL DESCRITIVO ANEXOS, com recursos financeiros oriundos de convênio com a Secretaria de Estado de Infraestrutura – SIE, Processo SCC",7690000.0,UNKNOWN,False,True,,2024-05-07,data_assinatura,True,Assinatura em 2024-05-07 há 819 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (pavimentacao rodoviaria). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Manter em inteligência comercial; enriquecer sinais.,obra_classificada_conf=0.88 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.88) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
457,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.94,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-001663/2024,Contratação de empresa especializada para construção do Centro de Educação Infantil Minas Gerais.,19949952.31,UNKNOWN,False,True,,2024-11-14,data_assinatura,True,Assinatura em 2024-11-14 há 628 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
466,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.85,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-001191/2024,Contratação de empresa especializada para Construção do CEI Juliano Busarello.,18879433.38,UNKNOWN,False,True,,2024-07-25,data_assinatura,True,Assinatura em 2024-07-25 há 740 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
493,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.61,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-001214/2024,Contratação de empresa especializada para construção do Centro de Educação Infantil Ministro Luiz Galotti,16271287.44,UNKNOWN,False,True,,2024-07-31,data_assinatura,True,Assinatura em 2024-07-31 há 734 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
495,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.59,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-001725/2024,Contratação de empresa especializada para construção do Centro de Educação Infantil Senador Rodrigo Lobo.,16148994.76,UNKNOWN,False,True,,2024-11-27,data_assinatura,True,Assinatura em 2024-11-27 há 615 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
523,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.38,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-000902/2025,Contratação de empresa especializada para construção do Centro de Educação Infantil Estrada Timbé.,14003948.0,UNKNOWN,False,True,,2025-05-14,data_assinatura,True,Assinatura em 2025-05-14 há 447 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (pavimentacao rodoviaria). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
531,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.31,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-001606/2024,Contratação de empresa especializada para construção do Centro de Educação Infantil Heitor Dominino.,13290900.0,UNKNOWN,False,True,,2024-10-30,data_assinatura,True,Assinatura em 2024-10-30 há 643 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
544,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.23,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Prefeitura Municipal de Joinville - PMJ,83169623000110-2-000523/2025,Contratação de empresa especializada para construção do Centro de Educação Infantil Astra Urban,12569499.45,UNKNOWN,False,True,,2025-04-03,data_assinatura,True,Assinatura em 2025-04-03 há 488 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
569,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,82.0,17.5,81.0,67.06,05901551000140,EMBRACOL ENGENHARIA DE OBRAS LTDA,SC,JOINVILLE,Fundo Municipal de Saúde - FMS,08184821000137-2-000283/2025,Contratação de empresa especializada para construção da UBSF Jardim Edilene.,11073000.0,UNKNOWN,False,True,,2025-02-18,data_assinatura,True,Assinatura em 2025-02-18 há 532 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,none,human_review_pending,claim_blocked,,,,Sinal comercial de possível maturidade anual em obra (obras engenharia geral). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
617,POTENTIAL_ADJUSTMENT_SIGNAL,LEGAL_REGIME_UNKNOWN,87.0,17.5,63.0,66.68,57142280000190,IP SANTA MARIA CONCESSIONARIA DE ILUMINACAO PUBLICA S.A.,RS,SANTA MARIA,PREFEITURA MUNICIPAL DE SANTA MARIA/RS,88488366000100-2-000255/2024,CONCESSAO ADMINISTRATIVA PARA A EXECUCAO DE OBRAS E PRESTACAO DE SERVICOS RELATIVOS A MODERNIZACAO  EFICIENTIZACAO  EXPANSAO  OPERACAO E MANUTENCAO DA INFRAESTRUTURA DA REDE MUNICIPAL DE ILUMINACAO PUBLICA DE SANTA MARIA RS.,219667530.24,UNKNOWN,False,True,,2024-09-25,data_assinatura,True,Assinatura em 2024-09-25 há 678 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial permitido.,True,PROXY_PROSPECTION_ONLY,,,False,high,human_review_pending,claim_blocked,,5196498564,,Sinal comercial de possível maturidade anual em obra (obras infraestrutura). Não constitui afirmação de crédito. Temporal=B_CONSERVATIVE_SIGNATURE_GT_12M.,"Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Triagem nacional: aprofundar se prioridade comercial alta.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_altamente_provavel | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_infraestrutura (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY],Regime 14.133 provável (ano/PNCP/menção) mas não comprovado em documento oficial | data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
