ranking,commercial_stage,classificacao,opportunity_score,verification_score,commercial_fit_score,priority_score,cnpj,razao_social,uf,municipio_empresa,orgao_contratante,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_probable_14133,exact_budget_date,proxy_date,proxy_type,minimum_elapsed_confirmed,temporal_reasoning,calculation_blocked,data_base_status,valor_potencial,teto_teorico,document_request_ready,contact_readiness,human_review_status,claim_readiness,email,telefone,site,argumento_comercial,linguagem_proibida,proxima_acao,sinais_favoraveis,incertezas,documentos_faltantes
120,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,46.6,68.0,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,MG,BELO HORIZONTE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000493/2024,"EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-470/RS DO KM 253,5 AO KM 287,3, SOB JURISDIÇÃO DA UNIDADE LOCAL DE PASSO FUNDO/RS.",405546040.48,LEI_14133_2021,True,True,,2024-10-29,data_assinatura,True,Assinatura em 2024-10-29 há 644 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,3132987050,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
121,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,46.6,68.0,19758842000135,LCM CONSTRUCAO E COMERCIO S.A,MG,BELO HORIZONTE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000550/2024,EXECUÇÃO DOS SERVIÇOS EMERGENCIAIS NA RODOVIA BR-470/RS - KM 178+950 AO KM 191+980 - LOTE 01 (VERANÓPOLIS) - SOB JURISDIÇÃO DA UNIDADE LOCAL DE PASSO FUNDO/RS.,171729639.03,LEI_14133_2021,True,True,,2024-11-28,data_assinatura,True,Assinatura em 2024-11-28 há 614 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,3132987050,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
2,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,95.0,35.0,63.0,77.5,92943398000118,CONSTRUTORA CIDADE LIMITADA,RS,PORTO ALEGRE,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000192/2024,ELABORAÇÃO DE PROJETO E EXECUÇÃO DAS OBRAS EMERGENCIAIS PARA CONSTRUÇÃO DA PONTE SOBRE O RIO CAÍ NA BR-116/RS ENTRE OS MUNICÍPIOS DE CAXIAS DO SUL/RS E NOVA PETRÓPOLIS/RS.,245611510.28,LEI_14133_2021,True,True,,2024-06-05,data_assinatura,True,Assinatura em 2024-06-05 há 790 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5133886465,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.80 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pontes_estruturas (conf=0.80) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
7,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,90.0,35.0,56.0,73.75,03928516000199,VERDI SISTEMAS CONSTRUTIVOS LTDA,RS,PORTO ALEGRE,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,17176399000169-2-000036/2024,"Contratação de empresa especializada, em regime de contratação integrada, para Elaboração de projeto básico, projeto executivo e Construção de nova PENITENCIÁRIA ESTADUAL DE CAXIAS DO SUL – PECS II, com capacidade de 1710 vagas, sendo 1488 vagas coletivas + 18 vagas PCD + 56 vagas duplas disciplinares + 88 vagas de alojamento e área construída de 25.335,78 m2.",261891145.31,LEI_14133_2021,True,True,,2024-12-27,data_assinatura,True,Assinatura em 2024-12-27 há 585 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5135401025,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
8,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,90.0,35.0,56.0,73.75,03928516000199,VERDI SISTEMAS CONSTRUTIVOS LTDA,RS,PORTO ALEGRE,SUPERINTENDÊNCIA DOS SERVIÇOS PENITENCIÁRIOS,17176399000169-2-000037/2024,"Elaboração de projeto básico, projeto executivo e Construção de nova Penitenciária em Rio Grande",241665761.11,LEI_14133_2021,True,True,,2024-12-27,data_assinatura,True,Assinatura em 2024-12-27 há 585 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5135401025,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
1,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,97.0,35.0,65.8,79.0,07928501000181,CAMARGO E CAMARGO CONSTRUÇOES E SERVIÇOS LTDA,PR,CURITIBA,DEPARTAMENTO DE ARQUITETURA E ENGENHARIA,76105576000185-2-000036/2024,"EXECUÇÃO DE OBRA DE ENGENHARIA DA ""CONSTRUÇÃO DE EDIFÍCIO EM ALVENARIA DE UNIDADE DE SAÚDE DA FAMÍLIA PROJETO PADRONIZADO PADRÃO 1 PARA O ESTADO DO PARANÁ (UBS PAPANDUVA).",170597772.0,LEI_14133_2021,True,True,,2024-01-08,data_assinatura,True,Assinatura em 2024-01-08 há 939 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4132051394,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.88 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como edificacoes (conf=0.88) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
4,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,61.6,76.75,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,PR,CURITIBA,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000442/2023,"ELABORAÇÃO DOS PROJETOS E EXECUÇÃO DAS OBRAS E SERVIÇOS EMERGENCIAIS DECORRENTES DA RUPTURA E ESCORREGAMENTO DO TALUDE NA BR-290/RS ENTRE O KM 287,95 E O KM 288,05.",283768106.18,LEI_14133_2021,True,True,,2024-01-04,data_assinatura,True,Assinatura em 2024-01-04 há 943 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4130253333,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_infraestrutura (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
3,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,94.0,35.0,61.6,76.75,92779503000125,CASTILHO ENGENHARIA E EMPREENDIMENTOS S/A,PR,CURITIBA,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,04892707000100-2-000003/2024,ELABORAÇÃO DOS PROJETOS E EXECUÇÃO DAS OBRAS E SERVIÇOS EMERGENCIAIS DECORRENTES DA RUPTURA DO CORPO ESTRADAL NA BR-290/RS ENTRE O SEGMENTO DO KM 311+800 AO KM 312+200.,208710106.61,LEI_14133_2021,True,True,,2024-01-04,data_assinatura,True,Assinatura em 2024-01-04 há 943 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4130253333,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.76 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=0.76) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
475,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,80.0,32.5,46.0,61.88,48430801000113,SAUDE PINHAIS SPE LTDA,PR,PINHAIS,Fundo Municipal de Saúde,95423000000100-2-000001/2022,"CONCORRÊNCIA PÚBLICA PARA CELEBRAÇÃO DE CONTRATO DE PARCERIA PÚBLICO-PRIVADA, NA MODALIDADE CONCESSÃO ADMINISTRATIVA, DESTINADA À CONSTRUÇÃO, EQUIPAGEM E OPERACIONALIZAÇÃO DE SERVIÇOS ""BATA CINZA"" NO NOVO HOSPITAL MUNICIPAL DE PINHAIS/PR.",1204059732.33,LEI_14133_2021,True,True,,2022-12-08,data_assinatura,True,Assinatura em 2022-12-08 há 1335 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,4138910771,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=0.60 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como obras_engenharia_geral (conf=0.60) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
12,DIAGNOSTIC_OUTREACH_READY,RESEARCH_REQUIRED,100.0,35.0,55.0,72.5,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,SP,SAO PAULO,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,92883834000100-2-000004/2025,"Contração de empresa para execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia do Lote 11, de acordo com o Termo de Referência e demais condiçõe",183022165.15,LEI_14133_2021,True,True,,2025-01-20,data_assinatura,True,Assinatura em 2025-01-20 há 561 dias (≥365). O orçamento estimado necessariamente antecede a contratação; portanto o primeiro interregno anual já transcorreu de forma conservadora. Data-base exata ausente — cálculo bloqueado; diagnóstico comercial condicionado ao regime.,True,PROXY_PROSPECTION_ONLY,,,True,high,human_review_pending,claim_blocked,,5421071000,,"Identificamos contrato de obra regido pela Lei 14.133 com interregno anual potencialmente transcorrido. Isso não significa, por si só, existência de valor pendente, mas justifica conferir cláusula, data-base, medições e reajustes aplicados.","Não afirmar valor devido, inadimplemento, crédito constituído ou reajuste definitivamente não pago sem verificação documental completa e revisão humana registrada.",Abordagem diagnóstica prudente oferecendo conferência técnica — sem afirmar valor devido. Linguagem adequada ao nível de regime.,obra_classificada_conf=1.00 | fornecedor_privado | obrigacao_financeira_potencialmente_aberta | regime_14133_comprovado | interregno_conservador_por_assinatura_gt_12m | Objeto classificado como pavimentacao_rodoviaria (conf=1.00) | Interregno mínimo conservador confirmado (level=B_CONSERVATIVE_SIGNATURE_GT_12M; proxy=data_assinatura) | Interregno ≥12m na data-base efetiva (proxy:data_assinatura) [TEMPORAL_CANDIDATE_BY_PROXY] | Regime comprovado: LEI_14133_2021,data-base exata do orçamento ausente — cálculo preciso bloqueado,clausula_reajuste | data_base_orcamento_estimado | indice_ou_formula | texto_oficial_contrato_edital | medicoes | apostilas | memoria_reajuste
