ranking,commercial_stage,cnpj,razao_social,uf,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_evidence_level,proxy_date,minimum_elapsed_confirmed,claim_readiness,priority_score
1,DOCUMENT_REQUEST_READY,02955426000124,NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,SC,04892707000100-2-000057/2025,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E A EMPRESA NEOVIA INFRAESTRUTURA RODOVIÁRIA LTDA, PARA EX",74706463.0,UNKNOWN,False,R-D,2025-02-10,True,claim_blocked,72.75
2,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUCOES S.A,SC,04892707000100-2-000324/2023,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E A EMPRESA SETEP CONSTRUÇÕES S.A. S.A., PARA EXECUÇÃO DOS",59699324.43,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2023-08-25,True,claim_blocked,72.75
3,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUÇÕES S.A,SC,12075748000132-2-000063/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",17271546.5,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,72.4
4,DOCUMENT_REQUEST_READY,80996861000100,PROSUL PROJETOS SUPERVISAO E PLANEJAMENTO LTDA,SC,04892707000100-2-000100/2025,"TERMO DE CONTRATO DE PRESTAÇÃO DE SERVIÇO DE ENGENHARIA QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES - DNIT E A EMPRESA PROSUL - PROJETOS, SUPERVISÃO E PLANEJAMENTO LTDA",36062447.38,UNKNOWN,False,R-D,2025-02-26,True,claim_blocked,72.32
5,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUCOES E TERRAPLENAGEM LTDA EPP,SC,17243084000197-2-000027/2024,"A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a execução das obras de pavimentação asfáltica, contendo terraplenagem, drenagem pluvial e sinalização viária de ",2113500.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,71.82
6,DOCUMENT_REQUEST_READY,84689066000392,BRITAGEM VOGELSANGER LTDA,SC,12075748000132-2-000068/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",10422999.51,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,71.69
7,DOCUMENT_REQUEST_READY,79485892000118,PACOPEDRA PAVIMENTADORA E COMERCIO DE PEDRAS LTDA,SC,83102277000152-2-000028/2024,"LICITAÇÃO PÚBLICA COM DIVULGAÇÃO INTERNACIONAL (LPI) PARA EXECUÇÃO DAS OBRAS DO BINÁRIO DO CENTRO - REURBANIZAÇÃO DA AV. CORONEL MARCOS KONDER, AV. 7 DE SETEMBRO, AV. JOCA BRANDÃO E AV. GOVERNADOR ABR",54521396.03,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-20,True,claim_blocked,71.63
8,DOCUMENT_REQUEST_READY,84689066000392,BRITAGEM VOGELSANGER LTDA,SC,04892707000100-2-000439/2023,"CONTRATO QUE TEM POR OBJETO A EXECUÇÃO DOS SERVIÇOS DE CONSTRUÇÃO DA INTERSEÇÃO EM DOIS NÍVEIS NA RODOVIA BR-282/SC, EM RANCHO QUEIMADO/SC, TRECHO FLORIANÓPOLIS - FRONT. BRASIL/ARGENTINA (PONTE SOBRE ",51045982.57,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2023-12-22,True,claim_blocked,71.63
9,DOCUMENT_REQUEST_READY,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,SC,82951344000140-2-000004/2023,MANUTENÇÃO (CONSERVAÇÃO/RECUPERAÇÃO) DE RODOVIAS PAVIMENTADAS E ESTRADAS NÃO PAVIMENTADAS SOB A JURISDIÇÃO DA COORDENADORIA REGIONAL OESTE – SIE/CROES - LOTE 01,38914159.94,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-01-03,True,claim_blocked,71.63
10,DOCUMENT_REQUEST_READY,09223659000181,VIGA PAVIMENTAÇÃO E OBRAS LTDA,SC,12075748000132-2-000112/2024,"O objeto da Licitação compreende a contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções cor",9813756.42,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-22,True,claim_blocked,71.61
