empresa,cnpj,contrato_principal,demais_contratos,objeto,orgao,valor_validado,vigencia_inicio,vigencia_fim,regime,clausula,data_base,data_base_state,indice,paginas_e_trechos,historico_reajuste,contato_email,contato_telefone,contato_site,contato_fonte,contato_data_consulta,contato_verificavel,riscos,mensagem_exploratoria_sugerida,decisao_sugerida,tiago_decision,outreach_status,document_link_status,score,sede_uf
CONSTRUTORA OLIVEIRA LTDA,80095466000157,83021808000182-2-000395/2024,83021808000182-2-000326/2024 | 83021808000182-2-000097/2024 | 83021808000182-2-000455/2024 | 83021808000182-2-000061/2024 | 83021808000182-2-000339/2024 | 83021808000182-2-000440/2024 | 83021808000182-2-000159/2024 | 83021808000182-2-000449/2024 | 83021808000182-2-000037/2024 | 83021808000182-2-000206/2025 | 83021808000182-2-000029/2024 | 83021808000182-2-000343/2024,CONSTRUÇÃO DO CENTRO ADMINISTRATIVO DA PREFEITURA MUNICIPAL DE CHAPECÓ,Departamento de Estradas de Rodagem do Município de  São Carlos/SC,76619000.0,,,LEI_14133_2021,"após a 
comprovação dos requisitos para habilitação, analisada a proposta e eventuais documentos 
complementares e, feita a negociação, assinar o contrato ou a ata de registro de preços.  
 
 
 DO REAJUSTAMENTO EM SENTIDO GERAL . 
 
 As regras acerca do reajustamento em sentido geral do valor co ntratual são as 
estabelecidas na minuta do contrato , anexo a este Edital.  
 
 
 DO RECEBIMENTO DO OBJETO E DA FISCALIZAÇÃO . 
 
 A fiscalização do co ntrato será realizada pelo servidor designado, o qual deverá ter 
formação nas áreas de engenharia ou arquitetura, atendendo inclusive o disposto n",SICRO/01/2025,EXACT_DATE_IN_REFERENCED_BUDGET,,"regime_legal_14133 p=1-110: alidade CONCORRÊNCIA , na forma ELETRÔNICA , 
nos termos da Lei nº 14.133/2021,  || clausula_reajuste p=1-110: após a 
comprovação dos requisitos para habilitação, analisada a proposta e even || data_base p=1-110: ustáveis no prazo de um ano 
contado da data do orçamento estimado.  
 
   || indice_fora_da_clausula p=1-110: acional da Construção Civil - INCC” - 
FGV, calculados, de acord || indice_fora_da_clausula p=1-110: os 
oficiais (SICRO, SIE/SC E SINAPI) para estimar os preços unitá || indice_fora_da_clausula p=1-110: a bancos de preços 
oficiais (SICRO, SIE/SC E SINAPI) para estima",,,4936643636,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,51.39,SC
SBS ENGENHARIA E CONSTRUCOES LTDA.,88348024000187,04892707000100-2-000458/2024,92883834000100-2-000010/2024 | 88566872000162-2-000087/2026,"CONTRATAÇÃO EMERGENCIAL NECESSÁRIA PARA ESTABILIZAÇÃO DE TALUDES E REVITALIZAÇÃO DO PAVIMENTO, TENDO EM VISTA A RECUPERAÇÃO DA TRAFEGABILIDADE E SEGURANÇA MÍNIMAS DA RODOVIA BR-116/RS, NO SEGMENTO DO KM 56,00 AO KM 135,00, NO ÂMBITO DA UNIDADE LOCAL DE VACARIA/RS.",DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,44275684.93,,,LEI_14133_2021,"16. DOS PEDIDOS DE ESCLARECIMENTOS, IMPUGNAÇÕES E RECURSOS  
17. DA ADJUDICAÇÃO E DA HOMOLOGAÇÃO  
18. DO TERMO DE CONTRATO  
19. DA GESTÃO E FISCALIZAÇÃO DO CONTRATO  
20. DOS PAGAMENTOS  
21. DO REAJUSTAMENTO DE PREÇOS  
22. DA FONTE DE RECURSOS  
23. DAS OBRIGAÇÕES DO ADJUDICATÁRIO  
24. DA GARANTIA DE EXECUÇÃO  
25. DAS INFRAÇÕES E SANÇÕES ADMINISTRATIVAS  
26. DO RECEBIMENTO DO OBJETO  
02/07/2024 09:21:05 SPGG/COORD/OBRAS/364382401 AUTORIZADA A ABERTURA 2521
23043500212200

[page=3]
 
 
 
 
 
Subsecretaria da Administração Central de Licitações – CELIC RS  
Av. Borges De Medeiros, 1501 – 2º Andar",2022-10,EXACT_DATE_IN_REFERENCED_BUDGET,,"data-base p/cell=1: ICRO 4011352 “Imprimação com Emulsão As fáltica”, data-base Outubro de 
2022, correspondendo a 1,30 litros/m2. No entant || regime_legal_14133 p=1-68: poderão ser 
substituídos, nos termos do § 6º do art. 67 da Lei 14.133/2021, por || clausula_reajuste p=1-68: 16. DOS PEDIDOS DE ESCLARECIMENTOS, IMPUGNAÇÕES E RECURSOS  
17. DA ADJUDICAÇÃO  || indice_fora_da_clausula p=1-68: Preços ao Consumidor Amplo – IPCA, do Sistema Nacional 
de Índi || indice_fora_da_clausula p=1-68: mônio líquido atualizado pelo IGPM: ____  
  
Cálculo 1: (Valor || indice_fora_da_clausula p=1-68: ra profissional 
(Metodologia SICRO – Relatório Sintético de Mão || data_base p=1-249: - faixa C - 
areia e brita comerciais”, data-base Outubro de 202 2. Sendo assim, || indice_fora_da_clausula p=1-249: 3 - N3N3   unid. 2,00 
6.9.14 SINAPI-
101009 Carga, Manobra E Desc",,,5133348512,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,49.85,RS
CONSTRUTORA PELOTENSE LTDA,92190503000195,04892707000100-2-000567/2024,92883834000100-2-000052/2025,"EXECUÇÃO SERVIÇOS EMERGENCIAIS NECESSÁRIOS PARA A ESTABILIDADE DE TALUDES DE CORTE E REFORÇO NOS MUROS DE CONTENÇÃO NECESSÁRIOS PARA A RECUPERAÇÃO DA TRAFEGABILIDADE E SEGURANÇA MÍNIMAS DA RODOVIA BR-158/RS, NO SEGMENTO DO KM 310+000 AO KM 324+000, NA JURISDIÇÃO DA UNIDADE LOCAL DE SANTA MARIA/RS.",SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,57526919.13,,,LEI_14133_2021,"es encontram-se definidos no Termo de Referência, anexo a este Contrato.
 
Minuta de Contrato Situação de Emergência (19266480)         SEI 50610.004302/2024-22 / pg. 2
[page=3]
7
.
CLÁUSULA SÉTIMA – REAJUSTE (
ART. 92, V)
7
.
1
.
Os preços inicialmente contratados são ﬁxos e irreajustáveis no prazo de
um ano contado da data do orçamento estimado.
7
.
1
.
1
.
O orçamento estimado pela Administração baseou-se nas planilhas
referenciais, elaboradas com base no SICRO do mês de
 
XXXXX//202X
.
7
.
2
.
Após o interregno de um ano, independentemente de pedido do
contratado, os preços iniciais serão reajusta",,GENERIC_RULE_WITHOUT_DATE,SICRO,"regime_legal_14133 p=1-19: isposições da 
Lei 14.981 de 20 de setembro de 2024
,
 e da Lei
nº 14.133, de 1º || clausula_reajuste p=1-19: es encontram-se definidos no Termo de Referência, anexo a este Contrato.
 
Minut || indice_na_clausula_reajuste p=1-19: es encontram-se definidos no Termo de Referência, anexo a este Contrato.
 
Minut || data_base p=1-19: justáveis no prazo de
um ano contado da data do orçamento estimado.
7
.
1
.
1
.
 || indice_fora_da_clausula p=1-4: sessenta e cinco centavos), 
SICRO 
de 
ABRIL/2024
, 
ONERADO 
( || regime_legal_14133 p=1-25: e 20 de setembro de
2024 e 
pelo artigo 18, § § 1º e 2º da 
Lei nº 14.133, de 1º || data_base p=1-25: inexistentes no SICRO,
c
onsiderando a data-base de abril/2024.
III
 -
Foi desen || indice_fora_da_clausula p=1-25: ro (EMOP/RJ), inexistentes no SICRO,
c
onsiderando a data-base de",,,5133322700,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_PARTIAL,48.92,RS
ENCOPAV ENGENHARIA LTDA,00061493000170,92883834000100-2-000007/2025,92883834000100-2-000008/2025 | 92883834000100-2-000008/2024 | 04892707000100-2-000418/2023 | 92883834000100-2-000015/2024 | 92883834000100-2-000013/2024 | 92883834000100-2-000025/2024 | 88830609000139-2-002524/2024 | 92883834000100-2-000017/2025 | 04892707000100-2-000191/2024 | 92883834000100-2-000018/2024 | 92883834000100-2-000012/2025 | 87838330000139-2-000370/2024,"Contratação de empresa para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem
como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia ERS-444, no trecho relativo aos segmentos do km 26,05 ao km ",DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,103971437.14,,,LEI_14133_2021,"ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento será efetuado no
prazo de 30 (trinta) dias da protocolização da nota fiscal ou nota fiscal-fatura.
CLÁUSULA SEXTA — DA ATUALIZAÇÃO MONETÁRIA
6.1. Os valores do presente contrato não pagos na data prevista serão corrigidos até a
data do efetivo pagamento, “pro rata die”, pelo Índice de Preços ao Consumidor Amplo — IPCA, do Sistema
Nacional de Índices de Preços ao Consumidor — SNIPC, ou outro que venha a substituí-lo. 
CLÁUSULA SÉTIMA — DO REAJUSTE DOS PREÇOS
7.1 O contrato será reajustado, observado o interregno mínimo de um ano, a con",2024-12,EXACT_DATE_IN_REFERENCED_BUDGET,,"regime_legal_14133 p=1-24: ução  nº  14908,  com  fundamento  na  Lei  nº  14.981/24;  Lei  nº  14.133/21;  || clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || indice_na_clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || regime_legal_14133 p=1-24: Resolução nº XXXX , com  fundamento na Lei  nº  14.981/24; Lei  nº  14.133/21;   || clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || indice_na_clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || regime_legal_14133 p=1-79: to) do valor total do  contrato, nos termos do art. 98, da 
Lei nº 14.133/2021,  || clausula_reajuste p=1-79: ............................................ ............... 41  
13.  VALOR DE ",,,5135791100,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_UNVERIFIED,48.79,RS
CONSORCIO PAVIMENTA PONTA GROSSA,55219671000130,76175884000187-2-000146/2024,76175884000187-2-000148/2024,Execução de obras de pavimentação em Concreto Betuminoso Usinado a Quente (CBUQ) no perímetro urbano.,Unidade administrativa,135800000.0,,,LEI_14133_2021,"acréscimos ou supressões, em conformidade com o
artigo 124, seus parágrafos e incisos da Lei nº 14.133/2021.
 
22.11 
Independentemente do prazo de duração do contrato utilizar-se-á como critério de reajuste o Índice
Nacional de Preços ao Consumidor Amplo - IPCA, nos termos do art. 89 do Decreto Municipal nº 21.500/2023,
com data-base vinculada à data do orçamento estimado, que no presente caso foi finalizado no dia
06/FEV/2024
.
 
22.12 
A concessão do reajuste será realizada de oficio mediante apostilamento ao contrato.
 
22.13
 É obrigatória a apresentação de garantia nos contratos de obras e serv",2023-12,EXACT_DATE_IN_REFERENCED_BUDGET,IPCA,"regime_legal_14133 p=1-55: o item 1 deste edital. 
 
A presente licitação é baseada na Lei nº 14.133/2021,  || clausula_reajuste p=1-55: acréscimos ou supressões, em conformidade com o
artigo 124, seus parágrafos e in || indice_na_clausula_reajuste p=1-55:  acréscimos ou supressões, em conformidade com o
artigo 124, seus parágrafos e i || data_base p=1-55: o Decreto Municipal nº 21.500/2023,
com data-base vinculada à data do orçamento  || indice_fora_da_clausula p=1-55: Preços ao Consumidor Amplo OU INCC DI/FGV (ÍNDICE DEVE SER ELEIT || indice_fora_da_clausula p=1-55: / I0)
R = SR – S
I12 = índice INCC-DI/FGV do 12º mês após proposta || data_base p=1-20: io previsto para a obra: NÃO DESONERADO
Data base do Orçamento: 12-2023
Nome: Mi || indice_fora_da_clausula p=1-20: Total
(R$)↓
5.068.614,32 
1. SINAPI Pavimentação do Bairro Jardim",,,4232292255,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_UNVERIFIED,38.49,PR
CONSTRUTORA CIDADE LIMITADA,92943398000118,04892707000100-2-000192/2024,04892707000100-2-000620/2024 | 04892707000100-2-000619/2024,ELABORAÇÃO DE PROJETO E EXECUÇÃO DAS OBRAS EMERGENCIAIS PARA CONSTRUÇÃO DA PONTE SOBRE O RIO CAÍ NA BR-116/RS ENTRE OS MUNICÍPIOS DE CAXIAS DO SUL/RS E NOVA PETRÓPOLIS/RS.,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,245611510.28,,,LEI_14133_2021,"GAMENT O (ART. 92, V E VI)
6.1. O prazo para pagamento ao contratado e demais condições a ele referentes encontram-se definidos no Termo de Referência, anexo a este Contrato.
 
7. CLÁUSULA  SÉTIMA  – REAJUSTE ( ART. 92, V)
7.1. Os preços inicialmente contratados são fixos e irreajustáveis no prazo de um ano contado da data do orçamento estimado.
7.1.1. O orçamento estimado pela Administração baseou-se nas planilhas referenciais, elaboradas com base no SICRO do mês de  janeiro/2024 .
7.2. Após o interregno de um ano, independentemente de pedido do contratado, os preços iniciais serão reajustados, media",2024-01,EXACT_COMPETENCE_IN_REAJUSTE_CLAUSE,"SICRO, IPCA","regime_legal_14133 p=1-7: nº 50610.002394/2024-14  e em observância às disposições da Lei nº 14.133, de 1º || clausula_reajuste p=1-7: GAMENT O (ART. 92, V E VI)
6.1. O prazo para pagamento ao contratado e demais co || indice_na_clausula_reajuste p=1-7: GAMENT O (ART. 92, V E VI)
6.1. O prazo para pagamento ao contratado e demais co || data_base p=1-7: justáveis no prazo de um ano contado da data do orçamento estimado.
7.1.1. O orç || regime_legal_14133 p=1-16: QUE O OBJET O NÃO SE ENQUADRA  COMO BEM DE LUXO (ART. 20 DE LEI 14.133/2021 E DE || clausula_reajuste p=1-16: a serem atendidos.
12.8. As Instruções Normativas encontram-se disponíveis no en || data_base p=1-16: zação de itens integrantes do SICRO, na data-base  de JANEIRO de 2024 , com even || indice_fora_da_clausula p=1-16: Preços ao Consumidor  Amplo - IPCA , após decorridos 30 dias con",,,5133886465,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_UNVERIFIED,38.36,RS
LEONARDO GABRIEL CHIMELLI GHELLER,29914632000142,76105659000174-2-000163/2025,,"CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAL DE CONSTRUÇÃO PARA MANUTENÇÃO PREVENTIVA E CORRETIVA, PARA OS PRÓPRIOS OU ALUGADOS, PERTENCENTES AO MUNICÍPIO DE ALMIRANTE TAMANDARÉ, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE TERMO DE REFERÊNCIA;",PREFEITURA MUNICIPAL DE ALMIRANTE TAMANDARE,144671987.0,,,LEI_14133_2021,"a incidir sobre o objeto licitado.  
 
20.5.  Nenhum pagamento s erá efetuado à empresa a ser contratada 
enquanto pendente de liquidação qualquer obrigação, não podendo este 
fato ensejar direito de reajustamento de preços ou a atualização monetária.  
 
21. DO REAJUSTE:  
 
21.1.  Os preços propostos serão considerados fixos, ressalvada s as 
hipóteses legais de admissibilidade de reajuste, previstos na Lei 
14.133/2021, com periodicidade mínima de 01 (um) ano utilizando para tal 
o ""Membro"" de Preços do Mercado (IGPM), publicado pela Fundação Getúlio 
Vargas, com base na seguinte fórmula : 
I1 
PR = PB.",,NOT_LOCATED,IGPM,"regime_legal_14133 p=1-205: e licitação 
por irregularidade na aplicação do art. 164 da Lei 14.133/2021 ou p || clausula_reajuste p=1-205: a incidir sobre o objeto licitado.  
 
20.5.  Nenhum pagamento s erá efetuado à  || indice_na_clausula_reajuste p=1-205: a incidir sobre o objeto licitado.  
 
20.5.  Nenhum pagamento s erá efetuado à  || indice_fora_da_clausula p=1-205: bela de preços de insumo s do SINAPI, deverá a empresa 
contratada",,,4199544069,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,35.48,PR
CONSTRUTORA ALEGRETENSE LTDA,07807120000144,92883834000100-2-000015/2025,92883834000100-2-000019/2025 | 87896874000157-2-000272/2024 | 87896874000157-2-000258/2024 | 87896874000157-2-000165/2024 | 87896874000157-2-000268/2024 | 92883834000100-2-000008/2026 | 87896874000157-2-000555/2024 | 92883834000100-2-000011/2026,"Contratação de empresa do ramo de engenharia para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia ERS-640, Lote 15, trecho entr. ERS-241,",DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,106912731.06,,,LEI_14133_2021,"ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento será efetuado no
prazo de 30 (trinta) dias da protocolização da nota fiscal ou nota fiscal-fatura.
CLÁUSULA SEXTA — DA ATUALIZAÇÃO MONETÁRIA
6.1. Os valores do presente contrato não pagos na data prevista serão corrigidos até a
data do efetivo pagamento, “pro rata die”, pelo Índice de Preços ao Consumidor Amplo — IPCA, do Sistema
Nacional de Índices de Preços ao Consumidor — SNIPC, ou outro que venha a substituí-lo. 
CLÁUSULA SÉTIMA — DO REAJUSTE DOS PREÇOS
7.1 O contrato será reajustado, observado o interregno mínimo de um ano, a con",2024-04,EXACT_DATE_IN_REFERENCED_BUDGET,,"regime_legal_14133 p=1-24: Resolução nº XXXX , com  fundamento na Lei  nº  14.981/24; Lei  nº  14.133/21;   || clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || indice_na_clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || regime_legal_14133 p=1-114: to) do valor total do  contrato, nos termos do art. 98, da 
Lei nº 14.133/2021,  || clausula_reajuste p=1-114: ............................................ ............... 41  
13.  VALOR DE  || data_base p=1-114: ns de f orma sintética, 
considerando o orçamento estimado, balizado na meto dol || indice_fora_da_clausula p=1-114: ENTO  Referente ao Lote 15 
- SICRO - mês-base referente ao Lote || regime_legal_14133 p=1-29: ração de anteprojetos , na forma do inc. XXIV do art. 6º da Lei nº 14.133, 
de 1",,,5534262007,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,34.05,RS
COESUL-CONSTRUTORA EXTREMO SUL LTDA,87654547000199,92883834000100-2-000003/2025,91693317000106-2-000008/2026 | 87890992000158-2-000063/2024 | 87990800000185-2-000034/2024 | 94577590000163-2-000020/2024 | 88363189000128-2-000339/2024 | 88363189000128-2-000340/2024 | 88363189000128-2-000343/2024 | 91566844000150-2-000035/2025 | 98671597000109-2-000232/2024 | 94577590000163-2-000020/2025 | 91693317000106-2-000024/2026 | 93235950000186-2-000002/2025,"Contratação de empresa do ramo de engenharia para elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia do Lote 8, Rodovia VRS-826; Extensão (km): 19,56 km; Trecho: Entr.",DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,55684265.26,,,LEI_14133_2021,"ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento será efetuado no
prazo de 30 (trinta) dias da protocolização da nota fiscal ou nota fiscal-fatura.
CLÁUSULA SEXTA — DA ATUALIZAÇÃO MONETÁRIA
6.1. Os valores do presente contrato não pagos na data prevista serão corrigidos até a
data do efetivo pagamento, “pro rata die”, pelo Índice de Preços ao Consumidor Amplo — IPCA, do Sistema
Nacional de Índices de Preços ao Consumidor — SNIPC, ou outro que venha a substituí-lo. 
CLÁUSULA SÉTIMA — DO REAJUSTE DOS PREÇOS
7.1 O contrato será reajustado, observado o interregno mínimo de um ano, a con",2024-12,EXACT_DATE_IN_REFERENCED_BUDGET,,"regime_legal_14133 p=1-24: AER,
Resolução nº xxxx, com fundamento na Lei nº 14.981/24; Lei nº 14.133/21; De || clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || indice_na_clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || regime_legal_14133 p=1-79: to) do valor total do  contrato, nos termos do art. 98, da 
Lei nº 14.133/2021,  || clausula_reajuste p=1-79: ............................................ ............... 41  
13.  VALOR DE  || data_base p=1-79: ns de f orma sintética, 
considerando o orçamento estimado, balizado na meto dol || indice_fora_da_clausula p=1-79: MENTO  Referente ao Lote 8 
- SICRO - mês-base referente ao Lote || regime_legal_14133 p=1-28: ração de anteprojetos , na forma do inc. XXIV do art. 6º da Lei nº 14.133, 
de 1",,,5133655533,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,34.05,RS
"TONIOLO, BUSNELLO S/A - TUNEIS, TERRAPLENAGENS E PAVIMENTACO",89723977000140,92883834000100-2-000059/2025,87344016000108-2-000066/2023 | 87344016000108-2-000043/2024 | 87344016000108-2-000031/2024 | 87344016000108-2-000084/2024 | 87344016000108-2-000091/2024 | 87344016000108-2-000092/2024 | 88830609000139-2-001791/2026 | 88370879000104-2-000022/2024 | 91984492000152-2-000039/2025,"Contratação de empresa do ramo de engenharia para a execução dos serviços de elaboração de projetos básico e executivo de engenharia e execução de obras emergenciais de requalificação e reabilitação funcional do pavimento, da drenagem e da sinalização, bem
como obras de contenção e melhorias necessárias para reestabelecimento e qualificação viária da rodovia ERS- 452, trecho entr. ERS-122 (P/ Bom",DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,56407589.02,,,LEI_14133_2021,"ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento será efetuado no
prazo de 30 (trinta) dias da protocolização da nota fiscal ou nota fiscal-fatura.
CLÁUSULA SEXTA — DA ATUALIZAÇÃO MONETÁRIA
6.1. Os valores do presente contrato não pagos na data prevista serão corrigidos até a
data do efetivo pagamento, “pro rata die”, pelo Índice de Preços ao Consumidor Amplo — IPCA, do Sistema
Nacional de Índices de Preços ao Consumidor — SNIPC, ou outro que venha a substituí-lo. 
CLÁUSULA SÉTIMA — DO REAJUSTE DOS PREÇOS
7.1 O contrato será reajustado, observado o interregno mínimo de um ano, a con",2024-12,EXACT_DATE_IN_REFERENCED_BUDGET,,"regime_legal_14133 p=1-24: ,  Resolução nº XXXX , com fundamento na Lei nº
14.981/24;  Lei  nº  14.133/21;  || clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || indice_na_clausula_reajuste p=1-24: ação da
obra.
5.13. Observado o atendimento às cláusulas anteriores, o pagamento || regime_legal_14133 p=1-79: to) do valor total do  contrato, nos termos do art. 98, da 
Lei nº 14.133/2021,  || clausula_reajuste p=1-79: ............................................ ............... 41  
13.  VALOR DE  || data_base p=1-79: ns de f orma sintética, 
considerando o orçamento estimado, balizado na meto dol || indice_fora_da_clausula p=1-79: MENTO  Referente ao Lote 7 
- SICRO - mês-base referente ao Lote || regime_legal_14133 p=1-28: ração de anteprojetos , na forma do inc. XXIV do art. 6º da Lei nº 14.133, 
de 1",,,5130212120,,brasilapi_or_portfolio,2026-08-05,True,"['ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido', 'Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.', 'indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade']","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.",DEFER,,DOCUMENT_REQUEST_CANDIDATE,DOCUMENT_LINK_VERIFIED,34.05,RS
