cnpj,razao_social,nome_fantasia,activity_class,sector_fit,target_fit_class,target_fit_confidence,target_fit_reason_codes,exec_contracts,in_universe,outreach_eligibility,contracts_n_local_db,contract_objects_sample,orgaos_sample,primary_service_recomputed,service_code_warmbly_sample,service_fit_rationale,why_reajuste_14133,human_target_class,service_decision_class,email_send_ready_after_fix,send_ready_reasons,contact_email
00172255000131,ROSA IMOVEIS LTDA.,,,,,,"name_hard_out_without_execution;name_markers:imoveis,moveis",0,False,MISSING_FROM_UNIVERSE,0,"Contratação de serviço técnico especializado de elaboração de Laudo Técnico de Avaliação Imobiliária (LTAI- (NBR) ou PTAM (CRECI)) do imóvel referente à Sede, c",CONSELHO REG.REPRES.COMERCIAL NO ESTADO MT,diagnostico_contratual_b2g,REAJUSTE_14133,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/a","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00300400000112,MILAN MOVEIS INDUSTRIA E COMERCIO LTDA,,,,,,name_hard_out_without_execution;name_markers:moveis,0,False,MISSING_FROM_UNIVERSE,0,[LICITANET] - AQUISIÇÃO DE CONJUNTOS ESCOLARES DESTINADOS AOS ALUNOS E,,diagnostico_contratual_b2g,REAJUSTE_14133,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/a","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00328717000167,"MS COMERCIO, SERVICOS E MANUTENCAO DE FROTAS LTDA,",,,,,,"name_hard_out_without_execution;name_markers:frotas,manutencao de frotas",0,False,MISSING_FROM_UNIVERSE,0,"AQUISIÇÃO DE PEÇAS E SERVIÇOS PARA REVISÃO PREVENTIVA DE 250 HORAS DO VEÍCULO TRATOR YTO NLX754, CHASSI 32323761- PERTENCENTE A SECRETARIA DE AGRICULTURA E DESE",GERAL,diagnostico_contratual_b2g,REAJUSTE_14133,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/a","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00384799000167,PEIXOTO COMERCIO IMPORTACAO EXPORTACAO LTDA.,,,,,,"name_hard_out_without_execution;name_markers:importacao exportacao,comercio importacao",0,True,ELIGIBLE,2,"A necessidade emergencial surgiu em virtude dos pneus não constarem em ATA DE REGISTRO DE PREÇOS e de não possuírem estoque nas forças, sendo que a indisponibil",Secretaria de Estado de Justiça e Segurança Pública,diagnostico_contratual_b2g,REAJUSTE_14133,Fallback comercial correto quando especialidade não é sustentada. Reajuste jamais é default.,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00472805000138,Traçado Construções e Serviços Ltda.,,,,,,multi_execution_contracts_triangulation;activity_class_engineering,7,True,ELIGIBLE,8,"Contratação de empresa especializada para execução de obras de pavimentação asfáltica e de passeio com blocos intertratavados, na forma de e | orgão=MUNICÍPIO D | Pavimentacao asfaltica nova em CBUQ e sinalizacao Horizontal e Vertical em trecho de estrada municipal  ligacao entre o municipio de Fagunde | orgão=PREFEITURA  | CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, CONFORME ESPECIFICA | orgão=Prefeitura  | CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MATERIAIS E MÃO DE OBRA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, CONFORME ESPECIFICA | orgão=Prefeitura  | Pavimentação Asfáltica no trecho que interliga o Município de Jacutinga - RS com o Município de Quatro Irmãos  RS, conforme Convênio Adminis | orgão=PM Jacuting",MUNICÍPIO DE PONTE PRETA - RS | PREFEITURA MUNICIPAL DE FAGUNDES VARELA | Prefeitura Municipal de Coxilha | Prefeitura Municipal de Coxilha | PM Jacutinga,apoio_licitacoes_propostas,REAJUSTE_14133,"Atividade de licitação/proposta observada. Janela competitiva, não reajuste.","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=apoio_licitacoes_propostas; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",TRUE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00472805000308,TRACADO CONSTRUCOES E SERVICOS LTDA,,,,,,possible_or_single_execution_needs_research,1,False,MISSING_FROM_UNIVERSE,0,"Contratação do fornecimento de emulsão asfáltica para a realização de manutenção e conservação da ruas e avenidas do Município, conforme ETP, TR, justificativa,",SECRETARIA MUNICIPAL DE OBRAS,diagnostico_contratual_b2g,REAJUSTE_14133,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/a","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",TARGET_REQUIRES_RESEARCH,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00507949000182,JATOBETON ENGENHARIA LTDA,,,,,,sector_strong_plus_execution_contract,7,True,ELIGIBLE,8,"CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DOS ESTUDOS, PROJETOS BÁSICO E EXECUTIVO DE ENGENHARIA, EXECUÇÃO DAS OBRAS DE REABILITAÇÃO DE 01 (UMA | orgão=DEPARTAMENT | O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DOS ESTUDOS, PROJETOS BÁSICO E EXECUTIVO DE ENGENHARIA E EXECUÇÃ | orgão=SUP. REG. D | Contratação Semi-Integrada de empresa de engenharia para execução dos serviços necessários para elaboração do projeto executivo de engenhari | orgão=SECRETARIA  | CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DOS ESTUDOS, PROJETOS BÁSICO E EXECUTIVO DE ENGENHARIA, EXECUÇÃO DAS OBRAS DE REABILITAÇÃO DE 03 (TRÊ | orgão=DEPARTAMENT | CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DOS ESTUDOS, PROJETOS BÁSICO E EXECUTIVO DE ENGENHARIA, EXECUÇÃO DAS OBRAS DE REABILITAÇÃO DE 01 (UMA | orgão=DEPARTAMENT",DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES | SUP. REG. DO DNIT NO ESTADO DA PARAIBA | SECRETARIA DE ESTADO DE INFRA-ESTRUTURA | DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES | DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES,gestao_monitoramento_contratual,REAJUSTE_14133,Portfólio multi-contrato sem dor concreta dominante (gestão/monitoramento — especialidade só com sinais específicos). Monitoramento/gestão supera janela de verificação de reajuste; não inventar orçamento/BDI sem sinal de planilha.,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=gestao_monitoramento_contratual; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",TRUE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00567892000107,VISOMES COMERCIAL METROLOGICA LTDA,,,,,,name_hard_out_without_execution;name_markers:metrologica,0,True,ELIGIBLE,1,"CONTRATAÇÃO DE SERVIÇO DE CALIBRAÇÃO RBC DE 2 (DUAS) LEITORAS DE ELISA, MARCAS TECAN E BIOCHROM, PERTENCENTES AO LABORATÓRIO DIA/LDDV, BEM COMO DE 1 (UM) TERMOC",LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA,diagnostico_contratual_b2g,REAJUSTE_14133,Fallback comercial correto quando especialidade não é sustentada. Reajuste jamais é default.,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=medicoes_glosas_memoria; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00688075000450,RODO SERVICE LTDA,,,,,,default_research,0,False,MISSING_FROM_UNIVERSE,8,Aquisição de dois Ônibus e um veiculo. | orgão=PREFEITURA MUNICIPAL DE MANDAGUAÇU - PR | R$1640000.0,PREFEITURA MUNICIPAL DE MANDAGUAÇU - PR,apoio_licitacoes_propostas,REAJUSTE_14133,"Atividade de licitação/proposta observada. Janela competitiva, não reajuste.","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",TARGET_REQUIRES_RESEARCH,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
00757668000188,ISOMEDICAL COMERCIAL LTDA,,,,,,"name_hard_out_without_execution;name_markers:isomedical,medical",0,False,MISSING_FROM_UNIVERSE,0,"AQUISIÇÃO DE CONJUNTO CATETER BALÃO, CATETER DIAGNÓSTICO, HASTE PARA HIGIENE ORAL E OUTROS | orgão=ESP-INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA | R$38500.0",ESP-INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA,diagnostico_contratual_b2g,REAJUSTE_14133,"Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/a","Warmbly sample ServiceCode=REAJUSTE_14133 with empty why_you/micro_offer; recomputed primary=diagnostico_contratual_b2g; root causes: (1) possible-fit ICP, (2) pass_count total fallback, (3) Warmbly/account layer REAJUSTE default or reajuste-campaign feed, (4) missing COPY_CONTEXT_READY gate.",FALSE_TARGET,SERVICE_WRONG,False,not_send_ready_post_integrity_fix,
