cnpj14,razao_social,cohort,target_fit_class,human_class,sector_fit,activity_class,exec_contracts,in_universe,email_send_ready_after_fix,service_warmbly,service_recomputed
00172255000131,ROSA IMOVEIS LTDA.,incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
00300400000112,MILAN MOVEIS INDUSTRIA E COMERCIO LTDA,incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
00328717000167,"MS COMERCIO, SERVICOS E MANUTENCAO DE FROTAS LTDA,",incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
00384799000167,PEIXOTO COMERCIO IMPORTACAO EXPORTACAO LTDA.,incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,True,False,REAJUSTE_14133,diagnostico_contratual_b2g
00472805000138,Traçado Construções e Serviços Ltda.,incident_10,TARGET_CONFIRMED,TRUE_TARGET,POSSIBLE_ENGINEERING_FIT,ENGINEERING_SERVICE_PROVIDER,7,True,False,REAJUSTE_14133,apoio_licitacoes_propostas
00472805000308,TRACADO CONSTRUCOES E SERVICOS LTDA,incident_10,TARGET_PROBABLE_RESEARCH,TARGET_REQUIRES_RESEARCH,POSSIBLE_ENGINEERING_FIT,OTHER,1,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
00507949000182,JATOBETON ENGENHARIA LTDA,incident_10,TARGET_CONFIRMED,TRUE_TARGET,STRONG_ENGINEERING_FIT,ENGINEERING_SERVICE_PROVIDER,7,True,False,REAJUSTE_14133,auditoria_orcamento_bdi
00567892000107,VISOMES COMERCIAL METROLOGICA LTDA,incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,True,False,REAJUSTE_14133,medicoes_glosas_memoria
00688075000450,RODO SERVICE LTDA,incident_10,TARGET_PROBABLE_RESEARCH,TARGET_REQUIRES_RESEARCH,UNKNOWN,OTHER,0,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
00757668000188,ISOMEDICAL COMERCIAL LTDA,incident_10,TARGET_OUT_OF_SCOPE,FALSE_TARGET,UNKNOWN,OTHER,0,False,False,REAJUSTE_14133,diagnostico_contratual_b2g
32487258000150,Almeida & Filho Terraplenagens Ltda,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,REEQUILIBRIO,reequilibrio_economico_financeiro
02810894000100,SAMP CONSTRUTORA DE OBRAS LTDA,clean_feed_TARGET_CONFIRMED,TARGET_CONFIRMED,TRUE_TARGET,STRONG/CONFIRMED filter,,,True,False,PLANILHAS,auditoria_orcamento_bdi
