ibge_code,cnpj,name,canonical_name,entity_type,municipio,uf,lat,lon,distance_km,zone,sources
4215703,62761279,SECRETARIA MUNICIPAL DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO,secretaria_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,80674252,SANTO AMARO DA IMPERATRIZ CAMARA DE VEREADORES,SANTO AMARO DA IMPERATRIZ CAMARA DE VEREADORES,camara_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,82892324,MUNICIPIO DE SANTO AMARO DA IMPERATRIZ,MUNICIPIO DE SANTO AMARO DA IMPERATRIZ,prefeitura,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,02179215,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,fundacao_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,02305652,FUNDO MUNICIPAL DE TURISMO,FUNDO MUNICIPAL DE TURISMO,fundacao_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,02307870,FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROPECUARIO,FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROPECUARIO,fundacao_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,03752747,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO M,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO M,autarquia_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4215703,15715814,DIRETORIA DE DEFESA CIVIL DE SANTO AMARO DA IMPERATRIZ,DIRETORIA DE DEFESA CIVIL DE SANTO AMARO DA IMPERATRIZ,secretaria_municipal,SANTO AMARO DA IMPERATRIZ,SC,-27.6852,-48.7813,25.1,DENTRO,seed:R-0
4206009,66233173,SECRETARIA MUNICIPAL DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO,secretaria_municipal,GOVERNADOR CELSO RAMOS,SC,-27.3172,-48.5576,30.9,DENTRO,seed:R-0
4206009,74047341,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,autarquia_municipal,GOVERNADOR CELSO RAMOS,SC,-27.3172,-48.5576,30.9,DENTRO,seed:R-0
4206009,82703018,GOVERNADOR CELSO RAMOS CAMARA MUNICIPAL,GOVERNADOR CELSO RAMOS CAMARA MUNICIPAL,camara_municipal,GOVERNADOR CELSO RAMOS,SC,-27.3172,-48.5576,30.9,DENTRO,seed:R-0
4206009,82892373,MUNICIPIO DE GOVERNADOR CELSO RAMOS,MUNICIPIO DE GOVERNADOR CELSO RAMOS,prefeitura,GOVERNADOR CELSO RAMOS,SC,-27.3172,-48.5576,30.9,DENTRO,seed:R-0
4206009,32579624,FUNDACAO DO MEIO AMBIENTE DE GOVERNADOR CELSO RAMOS - FAMGOV,FUNDACAO DO MEIO AMBIENTE DE GOVERNADOR CELSO RAMOS - FAMGOV,fundacao_municipal,GOVERNADOR CELSO RAMOS,SC,-27.3172,-48.5576,30.9,DENTRO,seed:R-0
4218004,72254576,FUNDACAO MUNICIPAL DE ESPORTES,FUNDACAO MUNICIPAL DE ESPORTES,fundacao_municipal,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4218004,80669864,CAMARA MUNICIPAL DE VEREADORES DE TIJUCAS,CAMARA MUNICIPAL DE VEREADORES DE TIJUCAS,camara_municipal,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4218004,82577636,MUNICIPIO DE TIJUCAS,MUNICIPIO DE TIJUCAS,prefeitura,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4218004,02396675,SAMAE - SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,SAMAE - SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,autarquia_municipal,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4218004,05048537,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE TIJUCAS,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE TIJUCAS,fundacao_municipal,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4218004,07790808,FUNDACAO CULTURAL TRADICAO DE TIJUCAS,FUNDACAO CULTURAL TRADICAO DE TIJUCAS,fundacao_municipal,TIJUCAS,SC,-27.2354,-48.6322,40.9,DENTRO,seed:R-0
4203709,81286254,FUNDACAO HOSPITALAR MUNICIPAL DE CANELINHA,FUNDACAO HOSPITALAR MUNICIPAL DE CANELINHA,fundacao_municipal,CANELINHA,SC,-27.2616,-48.7658,42.9,DENTRO,seed:R-0
4203709,82562893,MUNICIPIO DE CANELINHA,MUNICIPIO DE CANELINHA,prefeitura,CANELINHA,SC,-27.2616,-48.7658,42.9,DENTRO,seed:R-0
4203709,82562935,CANELINHA PREFEITURA,CANELINHA PREFEITURA,secretaria_municipal,CANELINHA,SC,-27.2616,-48.7658,42.9,DENTRO,seed:R-0
4203709,00525967,CAMARA DE VEREADORES DO MUNICIPIO DE CANELINHA,CAMARA DE VEREADORES DO MUNICIPIO DE CANELINHA,camara_municipal,CANELINHA,SC,-27.2616,-48.7658,42.9,DENTRO,seed:R-0
4203709,10863375,"SERVICO MUNICIPAL DE AGUA, INFRA ESTRUTURA E SANEAMENTO DE CANELINHA - SEMAIS","SERVICO MUNICIPAL DE AGUA, INFRA ESTRUTURA E SANEAMENTO DE CANELINHA - SEMAIS",autarquia_municipal,CANELINHA,SC,-27.2616,-48.7658,42.9,DENTRO,seed:R-0
4212304,62800397,SECRETARIA MUNICIPAL DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO,secretaria_municipal,PAULO LOPES,SC,-27.9607,-48.6864,42.8,DENTRO,seed:R-0
4212304,79886578,CAMARA MUNICIPAL DE PAULO LOPES,CAMARA MUNICIPAL DE PAULO LOPES,camara_municipal,PAULO LOPES,SC,-27.9607,-48.6864,42.8,DENTRO,seed:R-0
4212304,82892365,MUNICIPIO DE PAULO LOPES,MUNICIPIO DE PAULO LOPES,prefeitura,PAULO LOPES,SC,-27.9607,-48.6864,42.8,DENTRO,seed:R-0
4212304,03933794,INST.DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE PAULO LOPES - IPRELOPES,INST.DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE PAULO LOPES - IPRELOPES,autarquia_municipal,PAULO LOPES,SC,-27.9607,-48.6864,42.8,DENTRO,seed:R-0
4200903,82951195,MUNICIPIO DE ANGELINA,MUNICIPIO DE ANGELINA,prefeitura,ANGELINA,SC,-27.5704,-48.9879,43.4,DENTRO,seed:R-0
4200903,03863650,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANGELINA,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANGELINA,autarquia_municipal,ANGELINA,SC,-27.5704,-48.9879,43.4,DENTRO,seed:R-0
4200903,04656359,CAMARA MUNICIPAL DE ANGELINA,CAMARA MUNICIPAL DE ANGELINA,camara_municipal,ANGELINA,SC,-27.5704,-48.9879,43.4,DENTRO,seed:R-0
