municipio,slug,ibge,url,entities_count
FLORIANOPOLIS,florianopolis,4205407,https://florianopolis.sc.gov.br,22
TUBARAO,tubarao,4218707,https://tubarao.sc.gov.br,16
SAO JOSE,sao-jose,4216602,https://sao-jose.sc.gov.br,15
RIO DO SUL,rio-do-sul,4214805,https://rio-do-sul.sc.gov.br,14
JARAGUA DO SUL,jaragua-do-sul,4208906,https://jaragua-do-sul.sc.gov.br,13
PORTO BELO,porto-belo,4213500,https://porto-belo.sc.gov.br,13
BALNEARIO CAMBORIU,balneario-camboriu,4202008,https://balneario-camboriu.sc.gov.br,13
BALNEARIO DE PICARRAS,balneario-de-picarras,4212809,https://balneario-de-picarras.sc.gov.br,12
CAPINZAL,capinzal,4203907,https://capinzal.sc.gov.br,12
CACADOR,cacador,4203006,https://cacador.sc.gov.br,11
SAO BENTO DO SUL,sao-bento-do-sul,4215802,https://sao-bento-do-sul.sc.gov.br,11
LAGUNA,laguna,4209409,https://laguna.sc.gov.br,10
SAO MIGUEL DO OESTE,sao-miguel-do-oeste,4217204,https://sao-miguel-do-oeste.sc.gov.br,10
BARRA VELHA,barra-velha,4202107,https://barra-velha.sc.gov.br,9
CAMPO ALEGRE,campo-alegre,4203303,https://campo-alegre.sc.gov.br,9
JOACABA,joacaba,4209003,https://joacaba.sc.gov.br,9
MAFRA,mafra,4210100,https://mafra.sc.gov.br,9
SAO JOAO BATISTA,sao-joao-batista,4216305,https://sao-joao-batista.sc.gov.br,9
ITAPEMA,itapema,4208302,https://itapema.sc.gov.br,9
OTACILIO COSTA,otacilio-costa,4211751,https://otacilio-costa.sc.gov.br,8
SANTO AMARO DA IMPERATRIZ,santo-amaro-da-imperatriz,4215703,https://santo-amaro-da-imperatriz.sc.gov.br,8
CAMPO ERE,campo-ere,4203501,https://campo-ere.sc.gov.br,8
CAMPOS NOVOS,campos-novos,4203600,https://campos-novos.sc.gov.br,7
CURITIBANOS,curitibanos,4204806,https://curitibanos.sc.gov.br,7
ILHOTA,ilhota,4207106,https://ilhota.sc.gov.br,7
IMARUI,imarui,4207205,https://imarui.sc.gov.br,7
LAURO MULLER,lauro-muller,4209607,https://lauro-muller.sc.gov.br,7
MAJOR VIEIRA,major-vieira,4210308,https://major-vieira.sc.gov.br,7
MATOS COSTA,matos-costa,4210704,https://matos-costa.sc.gov.br,7
MARAVILHA,maravilha,4210506,https://maravilha.sc.gov.br,7
ORLEANS,orleans,4211702,https://orleans.sc.gov.br,7
PORTO UNIAO,porto-uniao,4213609,https://porto-uniao.sc.gov.br,7
PRAIA GRANDE,praia-grande,4213807,https://praia-grande.sc.gov.br,7
RIO NEGRINHO,rio-negrinho,4215000,https://rio-negrinho.sc.gov.br,7
URUSSANGA,urussanga,4219002,https://urussanga.sc.gov.br,7
BOM JARDIM DA SERRA,bom-jardim-da-serra,4202503,https://bom-jardim-da-serra.sc.gov.br,6
COCAL DO SUL,cocal-do-sul,4204251,https://cocal-do-sul.sc.gov.br,6
CORREIA PINTO,correia-pinto,4204558,https://correia-pinto.sc.gov.br,6
IPORA DO OESTE,ipora-do-oeste,4207650,https://ipora-do-oeste.sc.gov.br,6
MORRO DA FUMACA,morro-da-fumaca,4211207,https://morro-da-fumaca.sc.gov.br,6
NOVA TRENTO,nova-trento,4211504,https://nova-trento.sc.gov.br,6
SAO FRANCISCO DO SUL,sao-francisco-do-sul,4216206,https://sao-francisco-do-sul.sc.gov.br,6
SAO LOURENCO DO OESTE,sao-lourenco-do-oeste,4216909,https://sao-lourenco-do-oeste.sc.gov.br,6
TROMBUDO CENTRAL,trombudo-central,4218608,https://trombudo-central.sc.gov.br,6
TURVO,turvo,4218806,https://turvo.sc.gov.br,6
ARMAZEM,armazem,4201505,https://armazem.sc.gov.br,6
ANTONIO CARLOS,antonio-carlos,4201208,https://antonio-carlos.sc.gov.br,5
BALNEARIO GAIVOTA,balneario-gaivota,4202073,https://balneario-gaivota.sc.gov.br,5
BALNEARIO RINCAO,balneario-rincao,4220000,https://balneario-rincao.sc.gov.br,5
CAPAO ALTO,capao-alto,4203253,https://capao-alto.sc.gov.br,5
ANITAPOLIS,anitapolis,4201109,https://anitapolis.sc.gov.br,5
