id;razao_social;cnpj_8;municipio;codigo_ibge;natureza_juridica;causa_raiz;investigado_em;observacoes
1179;CAMARA MUNICIPAL DE VEREADORES DE ABDON BATISTA SC;05632918;ABDON BATISTA;4200051;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 05632918"
1178;SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO;80630080;ABDON BATISTA;4200051;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em ABDON BATISTA sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 80630080"
1326;CAMARA MUNICIPAL DE VEREADORES DE ABELARDO LUZ;80624711;ABELARDO LUZ;4200101;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 80624711"
1325;SECRETARIA MUNICIPAL DA EDUCACAO;59960022;ABELARDO LUZ;4200101;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em ABELARDO LUZ sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 59960022"
2071;SECRETARIA MUNICIPAL DO DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ESPORTIVO DE AGROLANDIA SC;31394690;AGROLANDIA;4200200;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em AGROLANDIA sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 31394690"
1582;AGRONOMICA CAMARA DE VEREADORES;81161838;AGRONOMICA;4200309;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 81161838"
1727;CAMARA MUNICIPAL DE VEREADORES;00539883;AGUAS DE CHAPECO;4200507;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 00539883"
2021;SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA;30378794;AGUAS DE CHAPECO;4200507;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em AGUAS DE CHAPECO sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 30378794"
1491;SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E ESPORTES;59957585;AGUAS FRIAS;4200556;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em AGUAS FRIAS sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 59957585"
1932;CAMARA MUNICIPAL DE AGUAS MORNAS;10978121;AGUAS MORNAS;4200606;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 10978121"
