opportunity_id,source_id,orgao_nome,objeto,valor_estimado,modalidade,status_canonico,system_recommendation,system_internal_ranking,system_confidence,stratum,human_decision,human_reason,hard_block_confirmed,missing_information,would_present_to_client,reviewed_at,reviewer
169,82513045000124-1-000014/2026,CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DE SANTA CATARINA,"Contratação de empresa especializada na prestação de serviço de transporte (mudança comercial) , na modalidade terrestre, para transportar mobiliários, equipamentos, documentos, materiais de expedient",20130.55,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
6,83169623000110-1-000429/2025,MUNICIPIO DE JOINVILLE,"Contratação de empresa para realização dos serviços de manutenção preventiva, corretiva e limpeza de espelhos d'água e fontanários (chafariz/splash/ fonte interativa)",2028000.00,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
286,82577636000165-1-000104/2026,MUNICIPIO DE TIJUCAS,"Contratação de empresa especializada para fornecimento de materiais e execução dos serviços de implantaçao de praça pública, localizada na Rua Luiz Feller nº 282 (loteamento Feller I), bairro Joáia, d",451642.78,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
151,02216925000108-1-000015/2026,FUNDACAO CULTURAL HELMY WENDT MAYER,CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA NO PREDIO FUNDAÇÃO CULTURAL HELMY WENDT MAYER.,141432.46,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
289,11607006000148-1-000027/2026,FUNDO MUNICIPAL DE SAUDE DE TIJUCAS,"Contratação de empresa especializada para fornecimento de materiais e a execução dos serviços de reforma da unidade básica de saúde Dona Calina, localizada no bairro Praça, para atender as demandas do",346531.36,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
304,01612812000150-1-000092/2026,MUNICIPIO DE SAO BERNARDINO,O OBJETO DA PRESENTE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA CIVIL PARA EXECUÇÃO DA REFORMA DO GINÁSIO DE ESPORTES AFONSO FRITZEN DO MUNICÍPIO DE SÃO BERNARDINO COM ÁR,230191.07,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
170,11402887000160-1-000057/2026,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",SERVIÇO DE SONDAGEM À PERCUSSÃO COM ENSAIO SPT (STANDARD PENETRATION TEST) PARA CARACTERIZAÇÃO DO SOLO NO CÂMPUS LAGES.,23352.02,Dispensa,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
348,83102293000145-1-000253/2026,MUNICIPIO DE CAMBORIU,"CONCORRÊNCIA ELETRÔNICA PARA CONTRATAÇÃO DE SERVIÇOS DE OBRA E ENGENHARIA COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA, DESTINADOS À EXECUÇÃO DE MURO DE CONTENÇÃO ATIRANTADO ENTRE AS RUAS BRINCO DE PRI",3314722.10,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
330,82916800000111-1-000243/2026,MUNICIPIO DE ICARA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO COM LAJOTAS DA RUA WALDEMAR NAPOLEÃO DE SOUZA NO BAIRRO RIO DOS ANJOS, CONFORME PROJETOS, MEMORIAIS DESCRITIVOS, ESPECIFICAÇÕ",269723.56,Concorrência - Eletrônica,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
105,83102384000180-1-000180/2026,MUNICIPIO DE CANOINHAS,Solicitação de licitação para contratação de empresa para o fornecimento de 15 serventes para serviços gerais e braçais para a secretaria municipal de meio ambiente.,885952.20,Pregão - Eletrônico,open,NÃO_PARTICIPAR,NO_GO,HIGH,discard,,,,,,,
