change_type,opportunity_id
new,169
new,6
new,286
new,170
new,348
new,151
new,330
new,105
new,50
new,89
new,166
new,78
new,137
new,124
new,289
new,304
new,369
new,54
new,134
new,112
new,178
new,174
new,171
new,188
new,122
new,353
new,76
new,119
new,158
new,117
new,184
new,287
new,294
new,297
new,351
new,358
new,374
new,120
new,141
new,116
new,115
new,177
new,179
new,94
new,92
new,91
new,85
new,156
new,83
new,82
new,57
new,30
new,135
new,357
new,140
new,282
new,257
new,214
new,128
new,276
new,67
new,153
new,68
new,110
new,35
new,139
new,111
new,129
new,272
new,60
new,59
new,210
new,206
new,55
new,208
new,103
new,15
new,183
new,209
new,211
new,52
new,98
new,196
new,118
new,14
new,197
new,173
new,90
new,8
new,88
new,13
new,114
new,176
new,199
new,146
new,127
new,190
new,142
new,42
new,150
