opportunity_id,source_id,orgao_nome,objeto,valor_estimado,modalidade,status_canonico,system_recommendation,system_internal_ranking,system_confidence,stratum,human_decision,human_reason,hard_block_confirmed,missing_information,would_present_to_client,reviewed_at,reviewer
177,08345495000100-1-000024/2026,FUNDO MUNICIPAL DE SAUDE DE ARAQUARI - SC,"Contratação emergencial de instituição para a prestação de serviços especializados de saúde, compreendendo consultas médicas especializadas, procedimentos, exames diagnósticos, emissão de laudos, aten",756151.02,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
174,11430842000108-1-000018/2026,FUNDO MUNICIPAL DE SAUDE DE CERRO NEGRO,Contratação de empresa para revisão da conservadora de vacinas a fim de garantir o adequado funcionamento do equipamento e o cumprimento das exigências da ANVISA. Proc. Administrativo 498/2026,1100.00,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
120,83102343000194-1-000137/2026,MUNICIPIO DE BRUSQUE,REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA CONTRATAÇÃO DE SERVIÇO DE CHAVEIRO.,515556.45,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
357,83028639000102-1-000104/2026,MUNICIPIO DE PALMA SOLA,"[Portal de Compras Públicas] - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA AMPLIAÇÃO E REFORMA NAS UNIDADES ESCOLARES: CENTRO EDUCACIONAL FADA MADRINHA, LOCALIZADA NO BAIRRO PALMARES, JARDIM DE INFÂNCIA",382437.16,Concorrência - Eletrônica,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
171,00394502000144-1-007841/2026,COMANDO DA MARINHA,Aquisição de medicamento conforme especificação no Termo de Referência,17229.15,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
170,11402887000160-1-000057/2026,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",SERVIÇO DE SONDAGEM À PERCUSSÃO COM ENSAIO SPT (STANDARD PENETRATION TEST) PARA CARACTERIZAÇÃO DO SOLO NO CÂMPUS LAGES.,23352.02,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
119,11888327000168-1-000003/2026,FUNDO MUNICIPAL DE SAUDE DE SAO DOMINGOS,Aquisição de aparelhos e equipamentos destinados à estruturação da Academia Municipal de Saúde do Município de São Domingos – Santa Catarina.,215285.41,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
169,82513045000124-1-000014/2026,CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DE SANTA CATARINA,"Contratação de empresa especializada na prestação de serviço de transporte (mudança comercial) , na modalidade terrestre, para transportar mobiliários, equipamentos, documentos, materiais de expedient",20130.55,Dispensa,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
76,83021881000154-1-000049/2026,MUNICIPIO DE SAUDADES,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE ESCOLAR PARA ALUNOS DO ENSINO MÉDIO MATRICULADOS NA REDE ESTADUAL DE ENSINO , RESIDENTES EM ZONA RURAL (DENOMINADO ROTEIRO 01, COM 39 KM ",78546.00,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
122,82892274000105-1-000055/2026,MUNICIPIO DE SAO JOSE,"REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA(S) ESPECIALIZADA(S) PARA EVENTUAL FORNECIMENTO E EXECUÇÃO DE SERVIÇOS DE INSTALAÇÃO E SUBSTITUIÇÃO DE REDES DE PROTEÇÃO, REDE DE PROTEÇÃO ANTI POMBOS/PÁS",,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
78,83021881000154-1-000050/2026,MUNICIPIO DE SAUDADES,"[Portal de Compras Públicas] - CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE TRANSPORTE ESCOLAR PARA ALUNOS DO ENSINO MÉDIO MATRICULADOS NA REDE ESTADUAL DE ENSINO , RESIDENTES EM ZONA RURAL (DE",78546.00,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
117,95990115000187-1-000019/2026,MUNICIPIO DE NOVO HORIZONTE,"[Portal de Compras Públicas] - Contratação de empresa especializada para fornecimento, mediante cessão de uso (locação), de solução integrada de Sistema de Gestão Pública, em ambiente de computação em",855062.35,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
116,83102814000164-1-000095/2026,MUNICIPIO DE RODEIO,"Contratação de empresa para prestação de serviços de lavação, engraxe e pulverização da frota municipal",325994.85,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
115,83102277000152-1-000397/2026,MUNICIPIO DE ITAJAI,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA PARA CONDUÇÃO DE VEÍCULOS PESADOS E OPERAÇÃO DE EQUIPAMENTOS PERTENCENTES À SECRETARIA MUNICIPAL DE O,1701125.28,Pregão - Eletrônico,open,REVIEW,REVIEW,LOW,incomplete_data,,,,,,,
