claim_id,statement,source,collection_run_id,normalized_id,rule,product,collection_id,indicator
opp-178,Oportunidade 82940776000156-1-000552/2026 orgão=MUNICIPIO DE CAIBI ranking=REVIEW valor_estimado=20843.05 (valor_total_estimado_informado_pelo_pncp),pncp,30,178,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-286,Oportunidade 82577636000165-1-000104/2026 orgão=MUNICIPIO DE TIJUCAS ranking=REVIEW valor_estimado=451642.78 (valor_total_estimado_informado_pelo_pncp),pncp,31,286,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-151,Oportunidade 02216925000108-1-000015/2026 orgão=FUNDACAO CULTURAL HELMY WENDT MAYER ranking=REVIEW valor_estimado=141432.46 (valor_total_estimado_informado_pelo_pncp),pncp,29,151,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-177,Oportunidade 08345495000100-1-000024/2026 orgão=FUNDO MUNICIPAL DE SAUDE DE ARAQUARI - SC ranking=REVIEW valor_estimado=756151.02 (valor_total_estimado_informado_pelo_pncp),pncp,30,177,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-188,Oportunidade 82782079000114-1-000067/2026 orgão=SERVICO INTERMUNICIPAL DE AGUA E ESGOTO ranking=REVIEW valor_estimado=3800.00 (valor_total_estimado_informado_pelo_pncp),pncp,30,188,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-282,Oportunidade 82926544000143-1-000094/2026 orgão=MUNICIPIO DE ORLEANS ranking=REVIEW valor_estimado=535379.92 (valor_total_estimado_informado_pelo_pncp),pncp,31,282,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-135,Oportunidade 83102574000106-1-000416/2026 orgão=MUNICIPIO DE RIO DO SUL ranking=REVIEW valor_estimado=38877.60 (valor_total_estimado_informado_pelo_pncp),pncp,29,135,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-141,Oportunidade 83102814000164-1-000096/2026 orgão=MUNICIPIO DE RODEIO ranking=REVIEW valor_estimado=325994.85 (valor_total_estimado_informado_pelo_pncp),pncp,29,141,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-158,Oportunidade 83256545000190-1-000085/2026 orgão=INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA ranking=REVIEW valor_estimado=None (valor_total_estimado_informado_pelo_pncp),pncp,30,158,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-174,Oportunidade 11430842000108-1-000018/2026 orgão=FUNDO MUNICIPAL DE SAUDE DE CERRO NEGRO ranking=REVIEW valor_estimado=1100.00 (valor_total_estimado_informado_pelo_pncp),pncp,30,174,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-184,Oportunidade 80673411000187-1-000255/2026 orgão=FUNDO ESTADUAL DE SAUDE ranking=REVIEW valor_estimado=None (valor_total_estimado_informado_pelo_pncp),pncp,30,184,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-119,Oportunidade 11888327000168-1-000003/2026 orgão=FUNDO MUNICIPAL DE SAUDE DE SAO DOMINGOS ranking=REVIEW valor_estimado=215285.41 (valor_total_estimado_informado_pelo_pncp),pncp,29,119,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-214,Oportunidade 80673411000187-1-000264/2026 orgão=FUNDO ESTADUAL DE SAUDE ranking=REVIEW valor_estimado=None (valor_total_estimado_informado_pelo_pncp),pncp,30,214,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-276,Oportunidade 82777343000121-1-000159/2026 orgão=MUNICIPIO DE BOM RETIRO ranking=REVIEW valor_estimado=1770535.58 (valor_total_estimado_informado_pelo_pncp),pncp,31,276,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-115,Oportunidade 83102277000152-1-000397/2026 orgão=MUNICIPIO DE ITAJAI ranking=REVIEW valor_estimado=1701125.28 (valor_total_estimado_informado_pelo_pncp),pncp,29,115,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-134,Oportunidade 95952230000167-1-000102/2026 orgão=MUNICIPIO DE BRACO DO TROMBUDO ranking=REVIEW valor_estimado=137830.36 (valor_total_estimado_informado_pelo_pncp),pncp,29,134,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-140,Oportunidade 10455823000165-1-000029/2026 orgão=FUNDO MUNICIPAL DE SAUDE DE CONCORDIA ranking=REVIEW valor_estimado=252350.00 (valor_total_estimado_informado_pelo_pncp),pncp,29,140,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-85,Oportunidade 82963216000117-1-000066/2026 orgão=MUNICIPIO DE SOMBRIO ranking=REVIEW valor_estimado=313796.00 (valor_total_estimado_informado_pelo_pncp),pncp,29,85,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
opp-122,Oportunidade 82892274000105-1-000055/2026 orgão=MUNICIPIO DE SAO JOSE ranking=REVIEW valor_estimado=None (valor_total_estimado_informado_pelo_pncp),pncp,29,122,opportunity_intel.ranking + status_canonico,opportunities.csv / executive.md,,
