pncp_id,objeto_compra,orgao_cnpj,uf,valor_total_estimado,is_active
00394452000103-1-013530/2026,Aquisição de Material para Área de Lazer do 62ºBI,00394452000103,SC,24888.37,True
00394452000103-1-013548/2026, aquisição de braçadeiras de diversos tamanhos para esfigmomanômetro ,00394452000103,SC,518.33,True
00394452000103-1-013554/2026,"Credenciamento de OCS para prestação de serviços de assistência médico-hospitalar de Clínica Médica e Reabilitação nas áreas de Psicologia, Nutrição, Fonoaudiologia, Psiquiatria, Clinico Geral, Nutrologia, Cirurgia Do Aparelho Digestivo dentre outras especialidades.",00394452000103,SC,21448304.00,True
pcp_492416,"Aquisição de panificados ao Município de Capinzal e seus Entes, via Sistema de Registro de Preços.",,SC,,True
00394502000144-1-007933/2026,Instalação / Remoção / Manutenção - Forro em geral,00394502000144,SC,4300.00,True
00484829000107-1-000020/2026,Contratação de Serviço de Higienização de Tapetes e Bandeiras Institucionais.,00484829000107,SC,860.00,True
95990198000104-1-000082/2026,"CONTRATAÇÃO DE INSTITUIÇÃO/COOPERATIVA FINANCEIRA, PÚBLICA OU PRIVADA, AUTORIZADA A FUNCIONAR PELO BANCO CENTRAL DO BRASIL, PARA A PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO E GERENCIAMENTO DE CRÉDITOS PROVENIENTES DA FOLHA DE PAGAMENTO DOS SERVIDORES ATIVOS, INATIVOS, PENSIONISTAS E ESTAGIÁRIOS DO MUNICÍPIO DE CORDILHEIRA ALTA/SC, EM REGIME DE EXCLUSIVIDADE, SEM ÔNUS PARA O CONTRATANTE E COM O PAGAMENTO DE CONTRAPARTIDA FINANCEIRA (OUTORGA) AO MUNICÍPIO",95990198000104,SC,757019.19,True
sc-59617,"Contratação  de  subscrição  de  licenças  de  uso  de  solução  integrada  em  nuvem  de colaboração  e  comunicação  corporativa,  suíte  de  escritório  Google  Workspace,  com  direito  à atualização   e   suporte,   podendo   ser   prorrogada,   conforme    especificações    e    quantidades indicadas  neste  documento  e  em  seus  anexos.  Além  disso,  serviços  de  consultoria  especializada poderão ser contratados.",,SC,,True
85361863000147-1-000103/2026,"Registro de Preços para futura e eventual aquisição parcelada de acervos e livros literários destinados às unidades escolares da Rede Municipal de Ensino do Município de Palmitos/SC, compreendendo conjuntos completos de obras para a Educação Infantil e o Ensino Fundamental, bem como exemplares de obra específica do gênero Geografia e História, conforme especificações, quantidades, condições e exigências estabelecidas neste Termo de Referência e em seus anexos.",85361863000147,SC,179928.85,True
00484829000107-1-000021/2026,Aquisição de Materiais para Montagem de Extensões Elétricas,00484829000107,SC,1261.08,True
00484829000107-1-000022/2026,Aquisição de Copos Biodegradáveis de Papel,00484829000107,SC,1138.80,True
