source_id,objeto,orgao_cnpj,orgao_nome,uf,municipio,data_encerramento,link_oficial,ranking,ranking_score,ranking_confianca,motivo,fatores_positivos
sc-60218,"Aquisição  de  rações, núcleos,  suplementos  e  outros  insumos  para  alimentação  animal,  para  CEDUPs  Campo  Erê  e  São Miguel  do  Oeste.",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/60218,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60219,"Contratação de empresa especializada para prestação de serviços de apoio à organização de evento, compreendendo a locação, transporte,   montagem,   instalação,   comunicação   visual,   suporte   téc",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/60219,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60220,Aquisição de máquinas secadoras de roupas para a unidade de Araranguá e de máquinas de cortar cabelo para todas as unidades da Regional Sul.,,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/60220,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60212,"Aquisição   de   03   (três)   inscrições   para   membros   do   Conselho   Administrativo (CONAD)  e  do  Conselho  Fiscal  (COFIS),  do  Instituto  de  Previdência  do  Estado  de Santa  Catarina  ",,Instituto de Previdência do Estado de Santa Catarina - IPREV,SC,,,https://compras.sc.gov.br/editais/60212,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60201,"Contratação de concessionária autorizada para realização de revisão preventiva, em razão da garantia de fábrica, em 1 (uma) viatura da frota da Polícia Civil de Santa Catarina",,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/60201,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60185,"PROFISCO II SC - Modalidade: Contratação Direta. Objeto: inscrição de 01 servidor no curso “Terceirização em Foco”, com carga horária de 20h, em formato virtual, a ser realizado entre os dias 8 e 12 d",,Secretaria de Estado da Fazenda - SEF,SC,,,https://compras.sc.gov.br/editais/60185,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60215,"Pagamento de inscrição do doutorando Kleiton Pereira, no 130th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2026) que ocorrerá de 9 e 12 de junho de 2026 em Västerås, Su",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60215,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60207,"Contratação de consultor individual para desenvolver um plano de ação, propor uma solução técnica e elaborar o termo de referência que subsidiará a aquisição de solução tecnológica para a gestão de co",,Secretaria de Estado da Fazenda - SEF,SC,,,https://compras.sc.gov.br/editais/60207,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60211,"Contratação de locação de imóvel comercial para abrigar a abrigar a Delegacia de Polícia do Continente (DP Cap. Cont.), a Delegacia de Combate ao Crime Organizado (DECRIM), a Delegacia de Combate às D",,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/60211,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60216,Contração do serviço de prensagem de CD's em formato digipack contendo composições autorais catarinenses para violão solo ou em duo e confecção de boxes (caixas ou luvas) para que comportem 3 CD’s dig,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60216,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60162,Registro de preço para futura e eventual aquisição de instrumentais cirúrgicos para a Secretaria de Estado da Saúde.,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/60162,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60203,Aquisição do material: Placas de homenagem em aço inox escovado com impressão colorida uv medindo 20x15 cm com estojo de veludo preto que será concedida aos amigos do arquivo público em evento que oco,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/60203,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60196,Pagamento de inscrição do acadêmico Gabriel Victor Venâncio Ramlov para apresentação do trabalho “Development of an Algorithm for Trajectory Correction in Directional Drilling” no evento Congresso Nac,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60196,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60209,Inscrição PROCAPT de das servidoras Aline Volpi Valim (PROAD) Débora Milena da Luz (PROAD)  Letícia  Dutra  Wesendonck  (PROEN)  Fabiane  Isolete  de  Andrade  (PROEX) Maricélia de Morais (PROPPG) Gab,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60209,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60198,"Pagamento de pró-labore ao profissional graduado Marcelo Fernandes contratado para ministrar a oficina de Fotografia, com carga horária de 36h entre os dias 02/07/2026 e 20/08/2026 no Projeto Olhares ",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60198,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60208,"Pagamento de inscrição do servidor da ESAG/UDESC, Prof. Felipe César Marques, no XXIX Encontro de Economia da Região Sul – ANPEC SUL 2026 que será realizado entre os dias 17 e 19 de junho de 2026 em F",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60208,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60169,Registro de preços para futura e eventual aquisição de medicamentos e suplemento alimentar para atendimento de demandas judiciais para a Secretaria de Estado da Saúde.,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/60169,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60200,"Aquisição de 16 banquetas e 04 mesas plásticas, destinadas à utilização nas ações do Programa Verão Seguro, no âmbito da Operação Estação Verão, bem como em outras atividades institucionais que demand",,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/60200,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60174,"Contratação  de  profissional  para  ministrar  palestra  ""As    artes    cênicas    no    contexto    da socioeducação"" e 9h/a de Oficina: Teatro no sistema socioeducativo: pontos  de  partida. Em 15",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60174,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60153,"Aquisição de rádios transmissores, antenas, fones de ouvido e aspirador de pó, destinados ao atendimento das necessidades operacionais da Secretaria Executiva de Articulação Nacional (SAN), localizada",,Secretaria Executiva de Articulação Nacional - SAI,SC,,,https://compras.sc.gov.br/editais/60153,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60214,"Contratação  de  serviço  de  capacitação  profissional,  mediante  inscrição  individual  de  01  (uma)  servidora  da Secretaria  de  Estado  de  Portos,  Aeroportos  e  Ferrovias —SPAF  em  evento ",,"Secretaria de Estado de Portos, Aeroportos e Ferrovias",SC,,,https://compras.sc.gov.br/editais/60214,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60206,"Aquisição de ferramentas manuais (foices, martelos, rastelos em aço e tesouras de poda) destinadas ao controle de espécies exóticas invasoras e manutenção de áreas em recuperação no Parque Estadual da",,Instituto do Meio Ambiente - IMA,SC,,,https://compras.sc.gov.br/editais/60206,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60194,Registro de preços para futura e eventual aquisição de materiais médico-hospitalares de enfermaria e cirurgia para atendimento de demandas judiciais para a Secretaria de Estado da Saúde,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/60194,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60175,Contratação de empresa especializada em fornecimento de 30 luminárias sob medida.,,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/60175,NO_GO,0,HIGH,Sem identificação do órgão,
sc-60204,Pagamento de anuidade do FOPROP - Fórum Nacional de Pró-Reitores de Pesquisa e Pós-Graduação das Instituições de Ensino Superior Brasileiras para o ano de 2026.,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/60204,NO_GO,0,HIGH,Sem identificação do órgão,
