entity_id,razao_social,cnpj_8,municipio,gap_reason
1179,CAMARA MUNICIPAL DE VEREADORES DE ABDON BATISTA SC,05632918,ABDON BATISTA,no_contract_for_org_cnpj_prefix
1180,SECRETARIA MUNICIPAL DE EDUCACAO,31019089,ABDON BATISTA,no_contract_for_org_cnpj_prefix
1178,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,80630080,ABDON BATISTA,no_contract_for_org_cnpj_prefix
1326,CAMARA MUNICIPAL DE VEREADORES DE ABELARDO LUZ,80624711,ABELARDO LUZ,no_contract_for_org_cnpj_prefix
1325,SECRETARIA MUNICIPAL DA EDUCACAO,59960022,ABELARDO LUZ,no_contract_for_org_cnpj_prefix
1890,CAMARA DE VEREADORES DE AGROLANDIA,07295483,AGROLANDIA,no_contract_for_org_cnpj_prefix
2071,"SECRETARIA MUNICIPAL DO DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ESPORTIVO DE AGROLANDIA SC",31394690,AGROLANDIA,no_contract_for_org_cnpj_prefix
1582,AGRONOMICA CAMARA DE VEREADORES,81161838,AGRONOMICA,no_contract_for_org_cnpj_prefix
1834,CAMARA MUNICIPAL DE VEREADORES DE AGUA DOCE - SC,04405472,AGUA DOCE,no_contract_for_org_cnpj_prefix
1727,CAMARA MUNICIPAL DE VEREADORES,00539883,AGUAS DE CHAPECO,no_contract_for_org_cnpj_prefix
2021,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,30378794,AGUAS DE CHAPECO,no_contract_for_org_cnpj_prefix
2004,CAMARA MUNICIPAL DE VEREADORES DE AGUAS FRIAS,23668234,AGUAS FRIAS,no_contract_for_org_cnpj_prefix
1491,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E ESPORTES",59957585,AGUAS FRIAS,no_contract_for_org_cnpj_prefix
1932,CAMARA MUNICIPAL DE AGUAS MORNAS,10978121,AGUAS MORNAS,no_contract_for_org_cnpj_prefix
1816,INST. DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE AGUAS MORNAS - IPAM,03697237,AGUAS MORNAS,no_contract_for_org_cnpj_prefix
1524,SECRETARIA MUNICIPAL DE EDUCACAO,63544853,AGUAS MORNAS,no_contract_for_org_cnpj_prefix
117,CAMARA DE VEREADORES DO MUNICIPIO DE ALFREDO WAGNER,10721533,ALFREDO WAGNER,no_contract_for_org_cnpj_prefix
118,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE ALFREDO WAGNER,15528194,ALFREDO WAGNER,no_contract_for_org_cnpj_prefix
116,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVID. PUBLIC DO MUNICIP DE ALFR WAGNER - IPREALWAG,03688015,ALFREDO WAGNER,no_contract_for_org_cnpj_prefix
114,SECRETARIA MUNICIPAL DA EDUCACAO E DESPORTO,61454242,ALFREDO WAGNER,no_contract_for_org_cnpj_prefix
1287,CAMARA MUNICIPAL DE VEREADORES DE ALTO BELA VISTA - SC,11493326,ALTO BELA VISTA,no_contract_for_org_cnpj_prefix
1449,CAMARA MUNICIPAL DE VEREADORES DE ANCHIETA,06054817,ANCHIETA,no_contract_for_org_cnpj_prefix
1447,HOSPITAL MUNICIPAL ANCHIETENSE,80643117,ANCHIETA,no_contract_for_org_cnpj_prefix
1446,SECRETARIA MUNICIPAL DE EDUCACAO E ESPORTES DE ANCHIETA,60217679,ANCHIETA,no_contract_for_org_cnpj_prefix
31,CAMARA MUNICIPAL DE ANGELINA,04656359,ANGELINA,no_contract_for_org_cnpj_prefix
30,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANGELINA,03863650,ANGELINA,no_contract_for_org_cnpj_prefix
32,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,30774373,ANGELINA,no_contract_for_org_cnpj_prefix
1183,CONSELHO TUTELAR DE ANITA GARIBALDI,07088874,ANITA GARIBALDI,no_contract_for_org_cnpj_prefix
1893,CAMARA MUNICIPAL DE ANITAPOLIS,07417202,ANITAPOLIS,no_contract_for_org_cnpj_prefix
1970,COORDENADORIA MUNICIPAL DE DEFESA CIVIL,16436708,ANITAPOLIS,no_contract_for_org_cnpj_prefix
1815,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANITAPOLIS,03686296,ANITAPOLIS,no_contract_for_org_cnpj_prefix
1776,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,01991631,ANITAPOLIS,no_contract_for_org_cnpj_prefix
1818,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES DE ANTONIO CARLOS,03721066,ANTONIO CARLOS,no_contract_for_org_cnpj_prefix
1585,PREFEITURA MUNICIPAL DE ANTONIO CARLOS,82507229,ANTONIO CARLOS,no_contract_for_org_cnpj_prefix
1526,SECRETARIA DE EDUCACAO E CULTURA,63727362,ANTONIO CARLOS,no_contract_for_org_cnpj_prefix
1906,CAMARA MUNICIPAL DE VEREADORES DE APIUNA,07883607,APIUNA,no_contract_for_org_cnpj_prefix
2056,SECRETARIA DE EDUCACAO DE APIUNA,30949868,APIUNA,no_contract_for_org_cnpj_prefix
2055,SECRETARIA MUNICIPAL DE EDUCACAO DO MUNICIPIO DE ARABUTA,30947140,ARABUTA,no_contract_for_org_cnpj_prefix
397,ARAQUARI CAMARA DE VEREADORES,83545285,ARAQUARI,no_contract_for_org_cnpj_prefix
402,CONSELHO MUNICIPAL DE PROTECAO E DEFESA CIVIL - COMPDEC,15291566,ARAQUARI,no_contract_for_org_cnpj_prefix
400,FUNDACAO MUNICIPAL DE CULTURA DE ARAQUARI,04339964,ARAQUARI,no_contract_for_org_cnpj_prefix
398,FUNDACAO MUNICIPAL DE CULTURA E ESPORTES,03559651,ARAQUARI,no_contract_for_org_cnpj_prefix
401,FUNDACAO MUNICIPAL DO MEIO AMBIENTE - FUNDEMA,10588040,ARAQUARI,no_contract_for_org_cnpj_prefix
395,GUARDA MUNICIPAL DE ARAQUARI-SC,57108846,ARAQUARI,no_contract_for_org_cnpj_prefix
403,SECRETARIA MUNICIPAL DE EDUCACAO DE ARAQUARI SC - FUNDEB,30333695,ARAQUARI,no_contract_for_org_cnpj_prefix
1839,CONSELHO DA COMUNIDADE DO VALE DO ARARANGUA,04555847,ARARANGUA,no_contract_for_org_cnpj_prefix
2077,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE GESTAO PUBLICA DA AMESC,34363129,ARARANGUA,no_contract_for_org_cnpj_prefix
1738,CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA AMESC,01356308,ARARANGUA,no_contract_for_org_cnpj_prefix
1949,FUNDACAO AMBIENTAL DO MUNICIPIO DE ARARANGUA - FAMA,13540482,ARARANGUA,no_contract_for_org_cnpj_prefix
1732,FUNDACAO MUNICIPAL DE ESPORTES,00896228,ARARANGUA,no_contract_for_org_cnpj_prefix
1530,SECRETARIA DE EDUCACAO E CULTURA,64338656,ARARANGUA,no_contract_for_org_cnpj_prefix
1928,CAMARA MUNICIPAL DE VEREADORES DE ARMAZEM,10585021,ARMAZEM,no_contract_for_org_cnpj_prefix
