entity_id,razao_social,cnpj_8,municipio,raio_200km,gap_reason
1179,CAMARA MUNICIPAL DE VEREADORES DE ABDON BATISTA SC,05632918,ABDON BATISTA,False,no_matched_active_bid
1180,SECRETARIA MUNICIPAL DE EDUCACAO,31019089,ABDON BATISTA,False,no_matched_active_bid
1178,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,80630080,ABDON BATISTA,False,no_matched_active_bid
1326,CAMARA MUNICIPAL DE VEREADORES DE ABELARDO LUZ,80624711,ABELARDO LUZ,False,no_matched_active_bid
1327,MUNICIPIO DE ABELARDO LUZ,83009886,ABELARDO LUZ,False,no_matched_active_bid
1325,SECRETARIA MUNICIPAL DA EDUCACAO,59960022,ABELARDO LUZ,False,no_matched_active_bid
1890,CAMARA DE VEREADORES DE AGROLANDIA,07295483,AGROLANDIA,False,no_matched_active_bid
2071,"SECRETARIA MUNICIPAL DO DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ESPORTIVO DE AGROLANDIA SC",31394690,AGROLANDIA,False,no_matched_active_bid
1582,AGRONOMICA CAMARA DE VEREADORES,81161838,AGRONOMICA,False,no_matched_active_bid
1727,CAMARA MUNICIPAL DE VEREADORES,00539883,AGUAS DE CHAPECO,False,no_matched_active_bid
2021,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,30378794,AGUAS DE CHAPECO,False,no_matched_active_bid
1491,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E ESPORTES",59957585,AGUAS FRIAS,False,no_matched_active_bid
1932,CAMARA MUNICIPAL DE AGUAS MORNAS,10978121,AGUAS MORNAS,False,no_matched_active_bid
1816,INST. DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE AGUAS MORNAS - IPAM,03697237,AGUAS MORNAS,False,no_matched_active_bid
1524,SECRETARIA MUNICIPAL DE EDUCACAO,63544853,AGUAS MORNAS,False,no_matched_active_bid
117,CAMARA DE VEREADORES DO MUNICIPIO DE ALFREDO WAGNER,10721533,ALFREDO WAGNER,True,no_matched_active_bid
118,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE ALFREDO WAGNER,15528194,ALFREDO WAGNER,True,no_matched_active_bid
116,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVID. PUBLIC DO MUNICIP DE ALFR WAGNER - IPREALWAG,03688015,ALFREDO WAGNER,True,no_matched_active_bid
115,MUNICIPIO DE ALFREDO WAGNER,83102608,ALFREDO WAGNER,True,no_matched_active_bid
114,SECRETARIA MUNICIPAL DA EDUCACAO E DESPORTO,61454242,ALFREDO WAGNER,True,no_matched_active_bid
1287,CAMARA MUNICIPAL DE VEREADORES DE ALTO BELA VISTA - SC,11493326,ALTO BELA VISTA,False,no_matched_active_bid
1449,CAMARA MUNICIPAL DE VEREADORES DE ANCHIETA,06054817,ANCHIETA,False,no_matched_active_bid
1447,HOSPITAL MUNICIPAL ANCHIETENSE,80643117,ANCHIETA,False,no_matched_active_bid
1446,SECRETARIA MUNICIPAL DE EDUCACAO E ESPORTES DE ANCHIETA,60217679,ANCHIETA,False,no_matched_active_bid
31,CAMARA MUNICIPAL DE ANGELINA,04656359,ANGELINA,True,no_matched_active_bid
30,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANGELINA,03863650,ANGELINA,True,no_matched_active_bid
29,MUNICIPIO DE ANGELINA,82951195,ANGELINA,True,no_matched_active_bid
32,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,30774373,ANGELINA,True,no_matched_active_bid
1181,CAMARA DE VEREADORES DE ANITA GARIBALDI,78498219,ANITA GARIBALDI,False,no_matched_active_bid
1183,CONSELHO TUTELAR DE ANITA GARIBALDI,07088874,ANITA GARIBALDI,False,no_matched_active_bid
1893,CAMARA MUNICIPAL DE ANITAPOLIS,07417202,ANITAPOLIS,False,no_matched_active_bid
1970,COORDENADORIA MUNICIPAL DE DEFESA CIVIL,16436708,ANITAPOLIS,False,no_matched_active_bid
1815,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANITAPOLIS,03686296,ANITAPOLIS,False,no_matched_active_bid
1776,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,01991631,ANITAPOLIS,False,no_matched_active_bid
1892,CAMARA MUNICIPAL DE ANTONIO CARLOS,07409010,ANTONIO CARLOS,False,no_matched_active_bid
1818,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES DE ANTONIO CARLOS,03721066,ANTONIO CARLOS,False,no_matched_active_bid
1585,PREFEITURA MUNICIPAL DE ANTONIO CARLOS,82507229,ANTONIO CARLOS,False,no_matched_active_bid
1526,SECRETARIA DE EDUCACAO E CULTURA,63727362,ANTONIO CARLOS,False,no_matched_active_bid
1906,CAMARA MUNICIPAL DE VEREADORES DE APIUNA,07883607,APIUNA,False,no_matched_active_bid
2056,SECRETARIA DE EDUCACAO DE APIUNA,30949868,APIUNA,False,no_matched_active_bid
1713,CAMARA MUNICIPAL DE VEREADORES DE ARABUTA,95995254,ARABUTA,False,no_matched_active_bid
2055,SECRETARIA MUNICIPAL DE EDUCACAO DO MUNICIPIO DE ARABUTA,30947140,ARABUTA,False,no_matched_active_bid
402,CONSELHO MUNICIPAL DE PROTECAO E DEFESA CIVIL - COMPDEC,15291566,ARAQUARI,True,no_matched_active_bid
400,FUNDACAO MUNICIPAL DE CULTURA DE ARAQUARI,04339964,ARAQUARI,True,no_matched_active_bid
398,FUNDACAO MUNICIPAL DE CULTURA E ESPORTES,03559651,ARAQUARI,True,no_matched_active_bid
401,FUNDACAO MUNICIPAL DO MEIO AMBIENTE - FUNDEMA,10588040,ARAQUARI,True,no_matched_active_bid
395,GUARDA MUNICIPAL DE ARAQUARI-SC,57108846,ARAQUARI,True,no_matched_active_bid
