official_id,source,url,titulo,objeto,observed_at,label,reason
88488366000100-1-000235/2026,pncp,https://pncp.gov.br/app/editais/88488366000100/2026/235,,"Contratação de empresa ou consórcios de empresas de Engenharia Consultiva para prestação de serviços técnicos especializados de apoio operacional na execução de projetos e estudos, abrangendo micro e macro drenagem urbana, desassoreamento e recuperação de áreas degradadas do Município de Santa Maria-RS, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.",2026-07-26T21:33:02.708447Z,,
CIGA-8469042,ciga,https://diariomunicipal.sc.gov.br/?q=id:8469042,,"MOP26CIN206964-BALNEÁRIO PIÇARRAS-DIMEVA DISTRIBUIDORA E IMPORTADORA LTDA-PAL000097/2025 - CINCATARINA — � MANIFESTAÇÃO DO ÓRGÃO PARTICIPANTE Nº MOP26CIN206964 ATA DE REGISTRO DE PREÇOS N° ARP26CIN001529    ÓRGÃO GERENCIADOR: CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA   ÓRGÃO PARTICIPANTE: MUNICÍPIO DE BALNEÁRIO PIÇARRAS   FORNECEDOR: DIMEVA DISTRIBUIDORA E IMPORTADORA LTDA   CNPJ DO FORNECEDOR: 76.386.283/0001-13   OBJETO: MEDICAMENTOS, SUPLEMENTOS ALIMENTARES E CORRELATOS - LEI 14.133/2021   VIGÊNCIA: 26/06/2026 a 12/03/2027   PRAZO DE ENTREGA: EM ATÉ 15 (QUINZE) DIAS, A CONTAR DA DAT",2026-07-26T21:34:23.949875Z,,
46523023000181-1-000079/2026,pncp,https://pncp.gov.br/app/editais/46523023000181/2026/79,,"Aquisição de 01 (um) totem de autoatendimento com monitor touchscreen e computador integrado, destinado à realização de pesquisas de demanda sob responsabilidade da Secretaria Municipal de Turismo e Cultura, visando à coleta estruturada de dados e à melhoria da gestão das políticas públicas de turismo no Município, conforme condições estabelecidas nesse instrumento convocatório e nos seguintes anexos.",2026-07-26T21:32:37.871121Z,,
SC-58930,sc_compras,https://www.sccompras.sc.gov.br/editais/58930,,Aquisição de licença de software - Power BI Premium e Power BI Pro,2026-07-17T10:46:20Z,,
SC-59828,sc_compras,https://www.sccompras.sc.gov.br/editais/59828,,Aquisição de 30 (trinta) prismas veiculares com a frase “veículo em exame”,2026-07-17T10:47:48Z,,
CIGA-8476083,ciga,https://diariomunicipal.sc.gov.br/?q=id:8476083,,"TERMO DE HOMOLOGAÇÃO - DISPENSA ELETRÔNICA N. DE 37/2026 — Termo de Homologação e Adjudicação (unificado) Página: 1 / 2 Nr.: 37/2026 Processo Adm.: Data do Processo: DISPENSA ELETRÔNICA 66/2026 23/06/2026 E-mail: simae@simaecao.sc.gov.br Site: http://www.simaecao.sc.gov.br ESTADO DE SANTA CATARINA SERVIÇO INTERMUNICIPAL DE AGUA E ESGOTO Rua Domingos Omizollo, 447 - Bairro São Luiz - Capinzal CEP: 89665-000 CNPJ: 82.782.079/0001-14 Telefone: (49) 3555-1107 c) Modalidade: O(a) responsável desta entidade, no uso das atribuições que lhe são conferidas pela",2026-07-26T21:34:19.399936Z,,
SC-59393,sc_compras,https://www.sccompras.sc.gov.br/editais/59393,,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA OU ARQUITETURA PARA REFORMA E AMPLIAÇÃO DE 03 UNIDADES ESCOLARES PERTENCENTES À SECRETARIA DE ESTADO DA EDUCAÇÃO/SC, 03 LOTES.",2026-07-17T10:47:06Z,,
SC-58603,sc_compras,https://www.sccompras.sc.gov.br/editais/58603,,"Contratação  de  fornecimento  de  Coffee-break  para  a  realização  do  evento  II  Seminário  do Núcleo de Ciência,  Tecnologia  e  Inovação  do  Leite  –  NCTI,  a  ser  realizado  no  dia  12  de  março  de  2026,  no período matutino, no departamento de Engenharia de Alimentos e Engenharia Química do Centro de Educação Superior do Oeste (CEO), UDESC Oeste, campus de Pinhalzinho-SC.",2026-07-17T10:45:48Z,,
CIGA-8502107,ciga,https://diariomunicipal.sc.gov.br/?q=id:8502107,,"AVISO DE LICITAÇÃO - PREGÃO ELETRÔNICO R.P. N° 017/2024 — Estado de Santa Catarina EXTRATO AVISO DE LICITAÇÃO - MUNICIPIO DE CAIBI/SC Processo Licitatório nº 497/2026, Pregão Eletrônico nº 017/2026, do tipo: Menor Preço - POR LOTE. Objeto: REGISTRO DE PRE- ÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EM- PRESA PARA PRESTAÇÃO DE SERVIÇOS MECÂNICOS EM GERAL DE MANUTENÇÃO PREVENTIVA E CORRETIVA DA FROTA DE MÁQUINAS, EQUIPAMENTOS, CAMINHÕES, ÔNI- BUS E MECÂNICA NA LINHA PESADA DO MUNICIPIO DE CAIBI –SC. Data limite para cadastro de propostas: Até às 08h00min",2026-07-26T21:34:21.529463Z,,
SC-58842,sc_compras,https://www.sccompras.sc.gov.br/editais/58842,,Aquisição de materiais diversos para manutenção predial da sede do Instituto do Meio Ambiente de Santa Catarina.,2026-07-17T10:46:12Z,,
