opportunity_key,source,source_ids,official_url,entity_id,orgao_cnpj,orgao_nome,municipio,distancia_km,objeto,categoria,modalidade,valor_estimado,valor_semantica,data_publicacao,data_abertura,data_encerramento,dias_restantes,status_canonico,status_evidence,data_confidence_score,client_fit_score,triage_recommendation,positive_factors,negative_factors,blockers,missing_fields,first_seen_at,last_seen_at,run_id,generated_at,git_sha,seed_sha256,schema_fingerprint
10635424000186-1-000136/2026,pncp,"[""10635424000186-1-000136/2026""]",,extra-4d150836edb985e99840,10635424000186,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CATARINENSE,SANTA CATARINA,0.0,Contratação de serviços continuados de manutenção predial para atender as necessidades do Instituto Federal Catarinense Campus Fraiburgo.,manutencao_predial,Pregão - Eletrônico,230264.70,valor_total_estimado_informado_pelo_pncp,2026-07-08T00:00:00+00:00,2026-07-08T00:00:00+00:00,2026-07-22T00:00:00+00:00,8,open,future_deadline,89,66,PRIORITARIA,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Objeto aderente: manutencao_predial"", ""Termos positivos: manutencao predial"", ""Distância no raio: 0.0 km""]","[""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:50.081289+00:00,2026-07-13T00:07:50.081289+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
82892282000143-1-000076/2026,pncp,"[""82892282000143-1-000076/2026""]",,extra-d676c6b1962d85b97857,82892282000143,MUNICIPIO DE FLORIANOPOLIS,FLORIANOPOLIS,0.0,"Registro de Preços para contratação de uma empresa especializada na prestação de serviços de manutenção predial, por demanda, com o fornecimento de peças, materiais e mão de obra, no Centro de Valorização de Resíduos (CVR) do bairro Itacorubi em Florianópolis.",manutencao_predial,Pregão - Eletrônico,1000000.00,valor_total_estimado_informado_pelo_pncp,2026-07-08T00:00:00+00:00,2026-07-06T00:00:00+00:00,2026-07-22T00:00:00+00:00,8,open,future_deadline,89,66,PRIORITARIA,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Objeto aderente: manutencao_predial"", ""Termos positivos: manutencao predial"", ""Distância no raio: 0.0 km""]","[""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:50.081289+00:00,2026-07-13T00:07:50.081289+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
00394429000100-1-000815/2026,pncp,"[""00394429000100-1-000815/2026""]",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=12062503900032026,extra-e1755eab67cffaff5afb,00394429000100,COMANDO DA AERONAUTICA,SANTA CATARINA,0.0,Contratação de obras REFORMA E AMPLIAÇÃO DO RANCHO DO CPBV.,,Concorrência - Eletrônica,8390230.93,valor_total_estimado_informado_pelo_pncp,2026-05-04T07:02:58+00:00,2026-05-04T09:00:00+00:00,2026-07-29T10:00:00+00:00,15,open,future_deadline,100,31,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Link oficial disponível"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],[],2026-07-13T00:08:06.879313+00:00,2026-07-13T00:08:06.879313+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
00444232000139-1-000615/2026,pncp,"[""00444232000139-1-000615/2026""]",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16800503920042026,extra-cd30d0f8013a91e538e8,00444232000139,INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL,SANTA CATARINA,0.0,Contratação de Serviços Técnicos de Engenharia para execução da obra de Reforma da Adequação de galpão industrial US III,,Concorrência - Eletrônica,4118861.46,valor_total_estimado_informado_pelo_pncp,2026-06-24T07:15:59+00:00,2026-06-24T08:00:00+00:00,2026-07-29T09:01:00+00:00,15,open,future_deadline,100,31,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Link oficial disponível"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],[],2026-07-13T00:07:52.664775+00:00,2026-07-13T00:07:52.664775+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
00394544000185-1-001293/2026,pncp,"[""00394544000185-1-001293/2026""]",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=25703105900122026,extra-e00ce624dbf5aea1c5c5,00394544000185,MINISTERIO DA SAUDE,SANTA CATARINA,0.0,"O objeto da presente licitação é o Registro de Preços, na modalidade de pregão eletrônico para a Contratação de empresa especializada na prestação de serviços em reforma e ampliação do sistema de abastecimento de água na aldeia JACARÉ para  atender demanda do DSEI AMAPA E NORTE DO PARÁ.",,Pregão - Eletrônico,169416.00,valor_total_estimado_informado_pelo_pncp,2026-06-29T07:08:25+00:00,2026-06-30T08:00:00+00:00,2026-07-15T10:00:00+00:00,1,open,future_deadline,100,31,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Link oficial disponível"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],[],2026-07-13T00:07:51.217049+00:00,2026-07-13T00:07:51.217049+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
00394452000103-1-012296/2026,pncp,"[""00394452000103-1-012296/2026""]",https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16028205900012026,extra-9aff6bbff963ec247bb5,00394452000103,COMANDO DO EXERCITO,SANTA CATARINA,0.0,"Reforma geral do Próprio Nacional Residencial (PNR) – Casa C839, localizada na Vila Militar de Deodoro - RJ. ",,Pregão - Eletrônico,446641.79,valor_total_estimado_informado_pelo_pncp,2026-06-29T07:11:24+00:00,2026-06-29T09:00:00+00:00,2026-07-15T09:00:00+00:00,1,open,future_deadline,100,31,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Link oficial disponível"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],[],2026-07-13T00:07:51.217049+00:00,2026-07-13T00:07:51.217049+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
00394460000141-1-000408/2026,pncp,"[""00394460000141-1-000408/2026""]",,extra-0f2e04ababf83e56fdc7,00394460000141,MINISTERIO DA FAZENDA,SANTA CATARINA,0.0,"Escolha da proposta mais vantajosa para a contratação, por dispensa de licitação, de empresa especializada para elaboração de Projeto Básico de reforma da plataforma elevatória tipo tesoura, marca Skyjack, modelo SJIII 3219, acompanhado de Laudo Técnico de Viabilidade Técnica e Econômica conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexo.",,Dispensa,5518.60,valor_total_estimado_informado_pelo_pncp,2026-06-19T11:53:47+00:00,2026-06-19T14:00:00+00:00,2026-07-14T10:00:00+00:00,0,open,future_deadline,89,26,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:54.709313+00:00,2026-07-13T00:07:54.709313+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
83052191000162-1-000074/2026,pncp,"[""83052191000162-1-000074/2026""]",,extra-93dbf6704c4cd65899ba,83052191000162,EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA,SANTA CATARINA,0.0,Contratação de empresa de engenharia para execução de serviços de reforma e adequação dos espaços denominados gráfica e oficina Epagri Sede,,Pregão - Eletrônico,162491.40,valor_total_estimado_informado_pelo_pncp,2026-06-22T00:00:00+00:00,2026-06-22T00:00:00+00:00,2026-07-14T00:00:00+00:00,0,open,future_deadline,89,26,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:53.997691+00:00,2026-07-13T00:07:53.997691+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
82951344000140-1-000095/2026,pncp,"[""82951344000140-1-000095/2026""]",,extra-0903eddee399a117f6ee,82951344000140,SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE (SIE),SANTA CATARINA,0.0,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EXECUÇÃO DE OBRAS, REFORMA E REGULARIZAÇÃO DA EDIFICAÇÃO OCUPADA PELA DELEGACIA DE POLÍCIA DO MUNICÍPIO DE LONTRAS, LOCALIZADA NA TRAVESSA FRANCISCO DE CARVALHO, 40, CENTRO, LONTRAS/SC.",,Concorrência - Eletrônica,441211.84,valor_total_estimado_informado_pelo_pncp,2026-07-01T16:50:28+00:00,2026-07-02T08:00:00+00:00,2026-07-16T13:45:00+00:00,2,open,future_deadline,89,26,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:50.954726+00:00,2026-07-13T00:07:50.954726+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
83891283000136-1-000591/2026,pncp,"[""83891283000136-1-000591/2026""]",,extra-4657e1df7d1ce1a0fc1c,83891283000136,FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC,SANTA CATARINA,0.0,"Contratação de Empresa para Elaboração de Projetos Executivos de Reforma com Acréscimo de Área contando com Acessibilidade, Esquadrias para fechamento de circulações, Cobertura para o pavimento térreo da FAED e outras demandas pontuais - sem fornecimento de material.",,Concorrência - Eletrônica,375660.00,valor_total_estimado_informado_pelo_pncp,2026-07-03T13:00:35+00:00,2026-07-04T14:00:00+00:00,2026-08-10T14:00:00+00:00,28,open,future_deadline,89,26,REVISAR,"[""Fonte oficial PNCP"", ""Status comprovado: future_deadline"", ""Data de encerramento futura"", ""Correspondência com universo canônico"", ""Registro dentro da janela de freshness"", ""Termos positivos: reforma"", ""Distância no raio: 0.0 km""]","[""Objeto sem correspondência direta com os três tipos priorizados"", ""Modalidades admitidas não configuradas; sem bônus ou bloqueio"", ""Prazo mínimo não configurado; sem bloqueio comercial por urgência""]",[],"[""link_oficial""]",2026-07-13T00:07:50.307876+00:00,2026-07-13T00:07:50.307876+00:00,qw01-20260713T135656Z-44d39e82,2026-07-13T13:56:56.839195+00:00,ce55095fac094ae44b00448a1fa0a746fab19f31,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,2b192ed781a38f2df6d3a5f3ca5d9ee9d1737fc7048ff2c4bb6a4b10a6aeaa4f
