source,target_group,applicable_entities,operational_status,blocker,expected_gap_reduction,selected_for_qw,rationale,run_id,generated_at,git_sha,seed_sha256,schema_fingerprint
pncp,entes canônicos ativos dentro de 200 km + unresolved,1093,selected_for_execution,,unknown,True,Fonte primária oficial do QW-01,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
ciga_ckan,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
pcp,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
compras_gov,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
sc_compras,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
contracts,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
transparencia,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
tce_sc,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
doe_sc,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,"Credenciais ausentes: DOE_SC_LOGIN, DOE_SC_PASSWORD",unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
mides_bigquery,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,Fora da vertical QW-01; operação ponta a ponta não comprovada,unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
dom_sc,entes canônicos ativos dentro de 200 km + unresolved,unknown,registered_not_proven,"Credenciais ausentes: DOM_SC_CPF, DOM_SC_CNPJ, DOM_SC_API_KEY",unknown,False,Não expandir a vertical sem prova ponta a ponta,qw01-20260719T031154Z-dfb87609,2026-07-19T03:11:54.792035+00:00,eef1413e64480c369f82d756b10988dc1474e236,d65f272812cf8dc95f3ca78c5db9a2fb2a39a759e5633eb3fb91891ad10a5486,5efce6b446a18051b8906ceae02be29a206a2b5176a9f727f58cf4ccf5419285
