id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
1088,CONSELHO REGIONAL DE ODONTOLOGIA DE SANTA CATARINA,83930883,SANTA CATARINA,,0.10435089202821368,True,False
944,CONSELHO REGIONAL DE BIOLOGIA 3 REGIAO,04053157,SANTA CATARINA,,0.10435089202821368,True,False
1026,BANCO NACIONAL DA HABITACAO,33633686,SANTA CATARINA,,0.10435089202821368,True,False
855,BESC S/A CORRETORA DE SEGUROS E ADMINISTRADORA DE BENS,82514472,SANTA CATARINA,,0.10435089202821368,True,False
817,FUNDO ESTADUAL DE COMBATE E ERRADICACAO DA POBREZA,13954809,SANTA CATARINA,,0.10435089202821368,True,False
1057,EMPRESA URBANIZADORA DE VIDEIRA SOCIEDADE ANONIMA,75533364,SANTA CATARINA,,0.10435089202821368,True,False
612,SANTA CATARINA SECRETARIA DO DESENVOLVIMENTO ECONOMICO,82951278,SANTA CATARINA,,0.10435089202821368,True,False
1084,CONSELHO REGIONAL DOS REPRESENTANTES COMERCIAIS NO ESTADO DE SANTA CATARINA,83896068,SANTA CATARINA,,0.10435089202821368,True,False
919,FUNDACAO HABITACIONAL DO EXERCITO - FHE,00643742,SANTA CATARINA,,0.10435089202821368,True,False
1002,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,26474056,SANTA CATARINA,,0.10435089202821368,True,False
768,AGENCIA DE DESENVOLVIMENTO REGIONAL - CRICIUMA,05684888,SANTA CATARINA,,0.10435089202821368,True,False
1079,COMPANHIA HIDROMINERAL CALDAS DA IMPERATRIZ,83470716,SANTA CATARINA,,0.10435089202821368,True,False
587,SANTA CATARINA SECRETARIA DO TRABALHO,78266905,SANTA CATARINA,,0.10435089202821368,True,False
858,AGENCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A. - BADESC,82937293,SANTA CATARINA,,0.10435089202821368,True,False
975,5 BATALHAO DE ENGENHARIA DE COMBATE BLINDADO,09586718,SANTA CATARINA,,0.10435089202821368,True,False
850,PROGRESSO E HABITACAO DE SAO CARLOS S.A. - PROHAB/SAO CARLOS,55428072,SANTA CATARINA,,0.10435089202821368,True,False
