cnpj_8,razao_social,municipio,natureza_juridica,has_opportunity,source,opportunity_count
83102228,MUNICIPIO DE ARAQUARI,ARAQUARI,Município,true,pncp,2
83102772,MUNICIPIO DE ASCURRA,ASCURRA,Município,true,pncp,2
83545277,CAMARA DE VEREADORES DE BARRA VELHA,BARRA VELHA,Órgão Público do Poder Legislativo Municipal,true,pncp,1
83102780,MUNICIPIO DE BENEDITO NOVO,BENEDITO NOVO,Município,true,pncp,2
82777343,MUNICIPIO DE BOM RETIRO,BOM RETIRO,Município,true,pncp,1
58854069,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,BRUSQUE,Fundação Pública de Direito Público Municipal,true,pncp,1
83102343,MUNICIPIO DE BRUSQUE,BRUSQUE,Município,true,pncp,3
82562893,MUNICIPIO DE CANELINHA,CANELINHA,Município,true,pncp,1
75438655,MUNICIPIO DE CORREIA PINTO,CORREIA PINTO,Município,true,pncp,1
81531162,MUNICIPIO DE FORQUILHINHA,FORQUILHINHA,Município,true,pncp,1
83102244,MUNICIPIO DE GASPAR,GASPAR,Município,true,pncp,1
82892373,MUNICIPIO DE GOVERNADOR CELSO RAMOS,GOVERNADOR CELSO RAMOS,Município,true,pncp,1
83102475,MUNICIPIO DE GUARAMIRIM,GUARAMIRIM,Município,true,pncp,1
83102418,MUNICIPIO DE IBIRAMA,IBIRAMA,Município,true,pncp,1
82909409,MUNICIPIO DE IMBITUBA,IMBITUBA,Município,true,pncp,1
83102798,MUNICIPIO DE INDAIAL,INDAIAL,Município,true,pncp,2
82572207,MUNICIPIO DE ITAPEMA,ITAPEMA,Município,true,pncp,1
83102640,MUNICIPIO DE ITUPORANGA,ITUPORANGA,Município,true,pncp,1
82960758,MUNICIPIO DE JACINTO MACHADO,JACINTO MACHADO,Município,true,pncp,1
07226794,COMPANHIA AGUAS DE JOINVILLE,JOINVILLE,Empresa Pública,true,pncp,1
83169623,MUNICIPIO DE JOINVILLE,JOINVILLE,Município,true,pncp,5
83509547,CAMARA DE VEREADORES DO MUNICIPIO DE LAGES,LAGES,Órgão Público do Poder Legislativo Municipal,true,pncp,1
82777301,MUNICIPIO DE LAGES,LAGES,Município,true,pncp,3
82928706,MUNICIPIO DE LAGUNA,LAGUNA,Município,true,pncp,1
82558909,MUNICIPIO DE LAURO MULLER,LAURO MULLER,Município,true,pncp,1
82925025,MUNICIPIO DE NOVA TRENTO,NOVA TRENTO,Município,true,pncp,1
82926544,MUNICIPIO DE ORLEANS,ORLEANS,Município,true,pncp,3
16780795,MUNICIPIO DE PESCARIA BRAVA,PESCARIA BRAVA,Município,true,pncp,2
83102251,MUNICIPIO DE POMERODE,POMERODE,Município,true,pncp,2
82575812,MUNICIPIO DE PORTO BELO,PORTO BELO,Município,true,pncp,1
82892357,MUNICIPIO DE RANCHO QUEIMADO,RANCHO QUEIMADO,Município,true,pncp,1
83102574,MUNICIPIO DE RIO DO SUL,RIO DO SUL,Município,true,pncp,2
83102756,MUNICIPIO DE RIO NEGRINHO,RIO NEGRINHO,Município,true,pncp,2
83102814,MUNICIPIO DE RODEIO,RODEIO,Município,true,pncp,2
83043745,CENTRO DE INFORMATICA E AUTOMACAO DO ESTADO DE SC S/A,SANTA CATARINA,Empresa Pública,true,pncp,1
00394502,COMANDO DA MARINHA,SANTA CATARINA,Órgão Público do Poder Executivo Federal,true,pncp,8
00394452,COMANDO DO EXERCITO,SANTA CATARINA,Órgão Público do Poder Executivo Federal,true,pncp,5
82508433,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO CASAN,SANTA CATARINA,Sociedade de Economia Mista,true,pncp,2
83807586,COMPANHIA INTEGRADA DE DESENVOLVIMENTO AGRICOLA DE SC,SANTA CATARINA,Empresa Pública,true,pncp,1
00508903,CONSELHO DA JUSTICA FEDERAL,SANTA CATARINA,Órgão Público do Poder Judiciário Federal,true,pncp,1
79831566,CONSELHO REGIONAL DE MEDICINA DO EST DE SANTA CATARINA,SANTA CATARINA,Autarquia Federal,true,pncp,1
82513045,CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DE SANTA CATARINA,SANTA CATARINA,Autarquia Federal,true,pncp,1
34060183,DEPARTAMENTO ESTADUAL DE TRANSITO,SANTA CATARINA,Autarquia Estadual ou do Distrito Federal,true,pncp,2
00348003,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,SANTA CATARINA,Empresa Pública,true,pncp,1
15126437,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES - EBSERH,SANTA CATARINA,Empresa Pública,true,pncp,1
83052191,EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA,SANTA CATARINA,Empresa Pública,true,pncp,1
