id,razao_social,cnpj_8,municipio,codigo_ibge,natureza_juridica,latitude,longitude,distancia_km,raio_flag,is_target_200km,match_status,match_detail
1,SECRETARIA MUNICIPAL DE EDUCACAO,62.761.279,SANTO AMARO DA IMPERATRIZ,4215703,Órgão Público do Poder Executivo Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
2,SANTO AMARO DA IMPERATRIZ CAMARA DE VEREADORES,80.674.252,SANTO AMARO DA IMPERATRIZ,4215703,Órgão Público do Poder Legislativo Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
3,MUNICIPIO DE SANTO AMARO DA IMPERATRIZ,82.892.324,SANTO AMARO DA IMPERATRIZ,4215703,Município,-27.6852,-48.7813,25.1,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
4,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,02.179.215,SANTO AMARO DA IMPERATRIZ,4215703,Fundação Pública de Direito Público Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
5,FUNDO MUNICIPAL DE TURISMO,02.305.652,SANTO AMARO DA IMPERATRIZ,4215703,Fundação Pública de Direito Público Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
6,FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROPECUARIO,02.307.870,SANTO AMARO DA IMPERATRIZ,4215703,Fundação Pública de Direito Público Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
7,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO M,03.752.747,SANTO AMARO DA IMPERATRIZ,4215703,Autarquia Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
8,DIRETORIA DE DEFESA CIVIL DE SANTO AMARO DA IMPERATRIZ,15.715.814,SANTO AMARO DA IMPERATRIZ,4215703,Órgão Público do Poder Executivo Municipal,-27.6852,-48.7813,25.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
9,SECRETARIA MUNICIPAL DE EDUCACAO,66.233.173,GOVERNADOR CELSO RAMOS,4206009,Órgão Público do Poder Executivo Municipal,-27.3172,-48.5576,30.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
10,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,74.047.341,GOVERNADOR CELSO RAMOS,4206009,Autarquia Municipal,-27.3172,-48.5576,30.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
11,GOVERNADOR CELSO RAMOS CAMARA MUNICIPAL,82.703.018,GOVERNADOR CELSO RAMOS,4206009,Órgão Público do Poder Legislativo Municipal,-27.3172,-48.5576,30.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
12,MUNICIPIO DE GOVERNADOR CELSO RAMOS,82.892.373,GOVERNADOR CELSO RAMOS,4206009,Município,-27.3172,-48.5576,30.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
13,FUNDACAO DO MEIO AMBIENTE DE GOVERNADOR CELSO RAMOS - FAMGOV,32.579.624,GOVERNADOR CELSO RAMOS,4206009,Fundação Pública de Direito Público Municipal,-27.3172,-48.5576,30.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
14,FUNDACAO MUNICIPAL DE ESPORTES,72.254.576,TIJUCAS,4218004,Fundação Pública de Direito Público Municipal,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
15,CAMARA MUNICIPAL DE VEREADORES DE TIJUCAS,80.669.864,TIJUCAS,4218004,Órgão Público do Poder Legislativo Municipal,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
16,MUNICIPIO DE TIJUCAS,82.577.636,TIJUCAS,4218004,Município,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
17,SAMAE - SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,02.396.675,TIJUCAS,4218004,Autarquia Municipal,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
18,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE TIJUCAS,05.048.537,TIJUCAS,4218004,Fundação Pública de Direito Público Municipal,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
19,FUNDACAO CULTURAL TRADICAO DE TIJUCAS,07.790.808,TIJUCAS,4218004,Fundação Pública de Direito Público Municipal,-27.2354,-48.6322,40.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
20,FUNDACAO HOSPITALAR MUNICIPAL DE CANELINHA,81.286.254,CANELINHA,4203709,Fundação Pública de Direito Público Municipal,-27.2616,-48.7658,42.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
21,MUNICIPIO DE CANELINHA,82.562.893,CANELINHA,4203709,Município,-27.2616,-48.7658,42.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
22,CANELINHA PREFEITURA,82.562.935,CANELINHA,4203709,Órgão Público do Poder Executivo Municipal,-27.2616,-48.7658,42.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
23,CAMARA DE VEREADORES DO MUNICIPIO DE CANELINHA,00.525.967,CANELINHA,4203709,Órgão Público do Poder Legislativo Municipal,-27.2616,-48.7658,42.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
24,"SERVICO MUNICIPAL DE AGUA, INFRA ESTRUTURA E SANEAMENTO DE CANELINHA - SEMAIS",10.863.375,CANELINHA,4203709,Autarquia Municipal,-27.2616,-48.7658,42.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
25,SECRETARIA MUNICIPAL DE EDUCACAO,62.800.397,PAULO LOPES,4212304,Órgão Público do Poder Executivo Municipal,-27.9607,-48.6864,42.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
26,CAMARA MUNICIPAL DE PAULO LOPES,79.886.578,PAULO LOPES,4212304,Órgão Público do Poder Legislativo Municipal,-27.9607,-48.6864,42.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
